Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
tieng-duc-so-cap-tat-ca-nhung-gi-ban-muon-biet-ve-tieng-duc,Tiếng Đức sơ cấp: Tất cả những gì bạn muốn biết về tiếng Đức,"Học nói, viết và hiểu tiếng Đức nhanh chóng và dễ dàng để bạn đạt được những mục tiêu nghề nghiệp và mục tiêu cá nhân của mình.",Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1: Giới thiệu,,,,
,,,THAM DỰ CÙNG VỚI HƠN 2800 HỌC SINH XUẤT SẮC VỪA MỚI ĐĂNG KÝ THAM GIA KHÓA HỌC NÀY,- Đây là khóa học cho người mới bắt đầu với yêu cầu là không có kiến thức về tiếng Đức trước đó.,"- Hơn 81 bài giảng và 4,5 giờ nội dung!",Được thiết kế cho cả người mới bắt đầu và trình độ trung cấp,,"Giới thiệu
",3:34,Video,
,,,"Học ngữ pháp, từ vựng và các kỹ năng giao tiếp mà bạn cần để trở thành một người nói tiếng Đức trôi chảy.",- Ngôn ngữ hướng dẫn là tiếng Anh,- Chào hỏi và giới thiệu bản thân và những người khác ở Đức,,,Học tiếng Đức - 5 điều bạn cần biết,Văn bản,Text,
,,,Khóa học này hoàn hảo nếu bạn muốn:,,- Giao tiếp thành công trong các tình huống hàng ngày,,,Làm thế nào để không bao giờ quên từ vựng lần nữa?,4:11,Video,
,,,Làm chủ các tình huống hàng ngày ở một đất nước nói tiếng Đức,,- Nói về thói quen hàng ngày của bạn và thảo luận về thời tiết,,,Bí quyết để sử dụng thành thạo,2:03,Video,
,,,Giao tiếp một cách chính xác những điều mà bạn muốn nói,,- Sắp xếp cuộc hẹn và sắp xếp các buổi gặp mặt/ cuộc họp,,,Làm thế nào để cải thiện sự kỹ năng nghe của bạn,Văn bản,Text,
,,,Tự nhiên trong các cuộc hội thoại và thảo luận,,"- Viết, chỉnh sửa và đọc lại đoạn văn ngắn bằng tiếng Đức",,Phần 2: Gặp gỡ mọi người,,,,
,,,"Phát triển các kỹ năng đọc, viết, nói và kỹ năng nghe của bạn",,,,,"Làm thế nào để giới thiệu bản thân
",7:29,Video,
,,,"""Giảng viên rất giàu kinh nghiệm trong giảng dạy tiếng Đức. Bạn có thể nói về tất cả mọi thừ bạn muốn. Và đây cũng là cách thực hành tốt nhất tiếng Đức. Bạn sẽ biết được các bí quyết hay để hòa nhập với khóa học cũng như trong việc học tiếng Đức. Tiến độ giảnh dạy của giảng viên rất phù hợp với những người mới bắt đầu nên bạn đừng lo lắng! Đây là lời khuyên chân thành của tôi."" - Hanhim117",,,,,Bảng chữ cái và file âm thanh,8:25,Video,
,,,Đề cập các khái niệm cơ bản và sau đó sẽ đẩy nhanh tiến độ giảng dạy.,,,,,Đại Từ Nhân Xưng,1:31,Video,
