Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
tieng-nhat-theo-ngu-canh-khoa-hoc-tieng-nhat-co-ban,Tiếng Nhật theo ngữ cảnh: Khóa học tiếng Nhật cơ bản,"Học để nói, đọc và viết tiếng Nhật thành thạo. Học tiếng Nhật thực hành để thúc đẩy sự nghiệp của bạn, hoặc chỉ để làm phong phú bổ sung cuộc sống của bạn!",Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1: Giới thiệu,,,,
,,,"Tiếng Nhật theo Ngữ cảnh là một khóa học ở trình độ giới thiệu độc đáo, hấp dẫn. Bạn sẽ học để nói, đọc, viết và hiểu tiếng Nhật hiện đại, đích thực -- và có lẽ sẽ có những điều thú vị kèm theo.",- Mong muốn học hỏi,- Hơn 233 bài giảng và 10 giờ nội dung!,- Bất cứ ai yêu thích việc học tiếng Nhật,,"JIC 01-01 Các Âm cơ bản
",6:03,Video,
,,,110 Bài Học Video Định hướng trong 9 Phần chặt chẽ với hơn 7 giờ nội dung.,- Bảng trắng và bảng điểm đánh dấu để nắm bắt bài giảng,- 61 bài giảng với hơn 5 giờ nội dung!,- Bất cứ ai muốn thúc đẩy sự nghiệp của họ hoặc tìm kiếm một kỹ năng mới,,"JIC 01-01 Hoạt động
",1 trang,Document,
,,,Hệ thống Viết và Âm cơ bản,,- 49 video mô tả về cách viết các ký tự tiếng Nhật với hơn 2 giờ nội dung của một người bản xứ!,,,"JIC 01-01 Audio
",1:59,Video,
,,,Con người và Đồ vật,,- 58 hoạt động thực hành từ vựng và ngữ pháp để kiểm tra kỹ năng viết và đọc của bạn,,,"JIC 01-02 Bảng chữ Hán
",5:52,Video,
,,,Kỹ năng cuộc sống hàng ngày,,- 55 tập tin âm thanh được ghi âm bởi người bản xứ!,,,"JIC 01-02 Hoạt động
",1 trang,Document,
,,,Cách Miêu tả,,- Hiểu được cách học tiếng Nhật thành thạo theo cách bạn muốn,,,"JIC 01-02 Audio
",0:19,Video,
,,,Sự hiện hữu và Sở hữu đồ vật,,"- Học để nói, đọc và viết tiếng Nhật hiện đại!",,,"JIC 01-02 Góc chữ Hán
",1:44,Video,
,,,Thảo luận Hành động,,,,,"JIC 01-03 Bảng chữ mềm
",2:15,Video,
,,,Sử dụng thì quá khứ,,,,,"JIC 01-03 Mô tả Bảng chữ mềm
",6:05,Video,
,,,Câu phức,,,,,JIC 01-03 Hoạt động,1 trang,Document,
,,,Nhật Bản theo Ngữ cảnh.,,,,,"JIC 01-03 Audio
",0:19,Video,
,,,"Tài liệu bổ sung bao gồm các Danh sách Từ vựng và Ngữ pháp với các Hoạt động và Giải pháp, cùng với các Mô tả Audio và Video được tạo ra bởi người Nhật bản xứ.",,,,,"JIC 01-04 Bảng từ mượn
",1:07,Video,
,,,Thách thức chính mình bằng cách viết và đọc tiếng Nhật,,,,,JIC 01-04 Mô tả Bảng từ mượn,6:54,Video,
,,,Kiểm tra kỹ năng của bạn với một loạt các hoạt động được viết ra,,,,,"JIC 01-04 Hoạt động
",1 trang,Document,
,,,Cải thiện phát âm bằng cách so sánh bản ghi của bạn với bản ghi âm của một người bản xứ,,,,,"JIC 01-04 Audio
",0:19,Video,
,,,Xem video mô tả về cách viết các kí tự tiếng Nhật một cách chính xác.,,,,,"JIC 01-05 Ôn lại các Âm cơ bản
",4:47,Video,
