Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
hoc-noi-tieng-phap,Học nói tiếng Pháp,"Học nói tiếng Pháp cực chuyên nghiệp bằng cách chỉ tập trung vào ngôn ngữ nói mà không quá quan trọng về sự chặt chẽ của ngữ pháp. Vậy nên, bạn không cần lo lắng gì cả.",Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1: Giới thiệu,,,,
,,,Khóa học được thiết kế với mục đích giúp tất cả những ai chưa bao giờ học tiếng Pháp đến những người muốn ôn lại để chuẩn bị cho chuyến du lịch đến nước Pháp hoặc sắp đi công tác cần sử dụng tiếng Pháp để giao tiếp. Khóa học được phát âm bởi một người nói song ngữ (chính là tôi) và sẽ có bản dịch trên màn hình để học dễ hơn. Ngoài ra còn có hướng dẫn từ vựng có thể in ra để bạn có thể dùng nó bất cứ nơi nào!,"Không cần có bất cứ kinh nghiệm gì về tiếng Pháp. Đối với các tài liệu bổ sung thêm trình đọc PDF như Adobe Reader thì sẽ được yêu cầu.Bạn có thể sử dụng ứng dụng trực tuyến như Google Docs để đọc các bài giảng PowerPoint. Tuy nhiên, nếu có một phiên bản của phần mềm Microsoft PowerPoint hoặc tương đương thì sẽ tốt hơn.",- Hơn 26 bài giảng và 4 giờ nội dung!,Khóa học này phù hợp cho người chưa hề có kiến thức về tiếng Pháp trước đó,,Lợi ích của việc học ngôn ngữ khác,3:10,Video,
,,,"Cập nhật mới nhất: Tháng Tư, năm 2015",,"- Kết thúc khóa học này, bạn sẽ có thể tạo ra được một đoạn hội thoại cơ bản với người nói tiếng Pháp bản xứ.",,,Ngôn ngữ Pháp,4:50,Video,
,,,"Trên 5,200 học sinh đã ghi danh và nhận được sự giúp đỡ từ khóa học này!",,"- Trong khóa học này, bạn sẽ học cách giới thiệu bản thân, hỏi đường đến những địa điểm quan trọng và đặt món ăn và đồ uống.",,,Bí quyết chuyên nghiệp để nâng cao việc học của bạn!,Văn bản,Text,
,,,-----------------------------------------------------------------------------------------------------------------,,,,Phần 2: Chào hỏi và Lý lịch bản thân,,,,
,,,Hãy xem những học viên của tôi nói gì !,,,,,Không chỉ là nói Bonjour!,11:35,Video,
,,,"Mỗi bài giảng đều rất chi tiết và không quá áp lực. Nó thực sự là một khóa phải học để có được một nền tảng tốt và vững chắc về tiếng Pháp giao tiếp! Khóa học giúp bạn nắm bắt tốt các học phần khác nhau. Trình bày rất tốt, giáo viên dễ mến, dễ dàng để theo dõi khóa học trực tuyến. 5/5! Mạnh Chiến nói",,,,,Bí quyết Pro: Có bao nhiêu nụ hôn?,Văn bản,Text,
,,,"Vào Đại học học tiếng Pháp và tốn nhiều tiền vào sách vở, khóa học này thì được coi là khóa từ xa dễ học hơn cả. Định hướng học trực tuyến vừa thú vị vừa đơn giản. Cảm ơn rất nhiều, đây đúng là sự giúp đỡ tôi cần .' Xuân Thành.",,,,,"Tuổi, địa điểm và bạn đến từ đâu.",14:34,Video,
,,,"Điều TỐT NHẤT về khóa học này (ngoài việc nó đang trở nên thực sự hữu ích!) là nội dung được cập nhật và hiện đại. Các lớp học của tôi (Tôi là một giáo viên tiếng Pháp) đôi khi phải học từ sách vở đã lỗi thời nhưng ngôn ngữ trong khóa học thì rất hiện đại, tươi mới và trên hết nó là HỮU DỤNG! Cảm ơn sự làm việc tận tình của bạn! ' La Đăng",,,,,"Thích, không thích và sở thích.",17:09,Video,
,,,"Khóa học này đã làm cho việc học tiếng Pháp trở nên dễ tiếp cận và dễ dàng hơn, quả thực tôi có thể cảm thấy bản thân mình tiến bộ. Thành thật mà nói, bạn sẽ không hối tiếc khi đăng ký học đâu! ' Tuấn Linh",,,,,Câu hỏi trắc nghiệm về Lý lịch bản thân và Chào hỏi.,10 câu hỏi,Quiz,
,,,-----------------------------------------------------------------------------------------------------------------,,,,Phần 3: Dạo quanh Thị trấn,,,,
,,,"Khóa học này giống như một sự kết nối giúp bạn dễ dàng bước vào thế giới của tiếng Pháp và bạn có thể theo được ở tốc độ của riêng bạn. Bạn sẽ được đảm bảo hoàn trả lại tiền trong 30 ngày, vì vậy nếu bạn không thích khóa học thì sau đó bạn có thể lấy lại tiền mà không phải trả lời bất cứ câu hỏi nào cả!",,,,,Hướng và điểm mốc.,16:09,Video,
,,,"Nếu bạn bị thu hút bởi một thứ ngôn ngữ khác và muốn theo đuổi nó vì yêu thích, hoặc đơn giản do bạn cần ôn lại tiếng Pháp giao tiếp trước khi bắt đầu một chuyến du lịch, khóa học này sẽ giúp bạn đạt được mục tiêu của mình và mở ra những con đường, những trải nghiệm cho khoảng thời gian sắp tới!",,,,,Các quốc gia trên thế giới.,6:52,Video,
,,,,,,,,Phương tiện và Thời gian.,14:24,Video,
,,,,,,,,Câu hỏi trắc nghiệm,10 câu hỏi,Quiz,
,,,,,,,Phần 4: Đời sống xã hội và Ăn uống.,,,,
,,,,,,,,Gặp gỡ bạn bè.,15:35,Video,
,,,,,,,,Gọi món: Au café (Ở quán cà phê),16:42,Video,
,,,,,,,,Câu hỏi trắc nghiệm,10 câu hỏi,Video,
,,,,,,,Phần 5: Bộ phận cơ thể và Bệnh.,,,,
,,,,,,,,Bộ phận cơ thể và các Bệnh phổ biến,16:42,Video,
,,,,,,,,Câu hỏi trắc nghiệm,5 câu hỏi,Video,
,,,,,,,Phần 6: Kết luận,,,,
,,,,,,,,Kết luận và Bài học tiếp theo,3:58,Video,
,,,,,,,,Phần 7: Phần phụ bổ sung (hữu ích) - Từ vựng với phiên âm đơn giản.,,Video,
,,,,,,,,"Être and Avoir: Các động từ ""Être"" và ""Avoir"" - RẤT QUAN TRỌNG",Văn bản,Text,
,,,,,,,,Các từ nối hữu ích,1 slide,Slide,
,,,,,,,,Số đếm từ 1 đến 1000.,3 slides,Slide,
,,,,,,,,Từ vựng về Kích cỡ và Trọng lượng.,2 slides,Slide,
,,,,,,,,Đồ ăn và Đồ uống.,3 slides,Slide,
,,,,,,,,Các động từ hữu ích.,1 slide,Slide,
,,,,,,,,Các tình huống khẩn cấp.,1 slide,Slide,
,,,,,,,,Bản thuyết trình đầy đủ khóa học để tải về.,74 trang,Document,
,,,,,,,Phần 8: Mục bổ sung: Video Flashcard 60 giây ,,,,
,,,,,,,,"Video Flashcard 60 giây: Bữa ăn và Đồ ăn vặt 
Xem trước",0:57,Video,
,,,,,,,,"Video Flashcard 60 giây: Đồ uống
Xem trước",0:59,Video,
,,,,,,,,Video Flashcard 60 giây: Màu sắc và Hình dáng,0:59,Video,
,,,,,,,,"Video Flashcard 60 giây: Gia đình, Bạn bè và Các mối quan hệ",1:00,Video,
