Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
tieng-tay-ban-nha-dam-thoai-trinh-do-so-cap,Tiếng Tây Ban Nha đàm thoại: Trình độ sơ cấp,"Bạn có thể sử dụng Tiếng Tây Ban Nha đàm thoại trong những tình huống thực tế thường gặp, cả khi ở nhà và trong khi đi du lịch.",Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1: Giới thiệu,,,,
,,,Những điểm nổi bật của khóa học:,Không có kiến thức về tiếng Tây Ban Nha trước đó.,- Hơn 89 bài giảng và 4.5 giờ nội dung!,Được thiết kế cho cả người mới bắt đầu và trình độ trung cấp,,"Giới thiệu
",2:00,Video,
,,,Khóa học được thiết kế cẩn thận với các cụm từ và từ vựng được sử dụng rộng rãi nhất trong các tình huống thực tế thường gặp.,,"- Kết thúc khóa học này, bạn có thể đặt câu và hỏi các câu hỏi cơ bản trong các tình huống thực tế. Từ việc gặp gỡ những người mới, đến việc đặt món ăn, hỏi/làm theo chỉ dẫn, sử dụng phương tiện công cộng để đi lại và nhiều hơn nữa!",,,"Mẹo: Nhớ nhấp vào nút ""HD"" để có trải nghiệm xem hình tốt hơn",Văn bản,Text,
,,,Hơn 80 bài học về Tiếng Tây Ban Nha đàm thoại (hơn 4 giờ video và file PDF),,,,Phần 2: Hướng dẫn phát âm và học các khái niệm cơ bản,,,,
,,,Các câu hỏi trắc nghiệm và video thực hành giúp bạn kiểm tra kỹ năng nghe và viết của bạn.,,,,,Hướng dẫn Phát âm Phần 1 - Nguyên âm,2:40,Video,
,,,Các kịch bản hội thoại giới thiệu các âm sắc từ 6 quốc gia khác nhau nói tiếng Tây Ban Nha.,,,,,Hướng dẫn Phát âm Phần 2 - Phụ âm,7:13,Video,
,,,Kết nối trực tiếp tới giáo viên của bạn khi có câu hỏi hoặc mở rộng nhiều chủ đề.,,,,,Các khái niệm cơ bản - Giới tính/ Số,3:30,Video,
,,,NỘI DUNG:,,,,Phần 3: Gặp gỡ mọi người,,,,
,,,Bạn sẽ học tiếng Tây Ban Nha đàm thoại thông dụng trong các tình huống thực tế khác nhau như:,,,,,Gặp gỡ mọi người - Từ vựng,3:02,Video,
,,,Hỏi đường và làm theo chỉ dẫn,,,,,Gặp gỡ mọi người - Hội thoại,2:10,Video,
,,,Đặt đồ ăn tại một nhà hàng,,,,,Biểu mẫu bổ sung để dùng cho các video tiếp theo,1 trang,Document,
,,,Đi du lịch bằng phương tiện công cộng hoặc bằng taxi,,,,,Buổi thực hành số 1 - Gặp gỡ mọi người,3:35,Video,
,,,Thanh toán tiền,,,,,Gặp gỡ mọi người,4 câu hỏi,Quiz,
,,,Đặt phòng khách sạn,,,,,Cập nhật tiến độ,0:13,Video,
,,,và nhiều hơn nữa,,,,Phần 4: Tiền,,,,
