Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
tieng-trung-so-cap-hieu-65%-tieng-trung-trong-10-gio,Tiếng Trung sơ cấp: Hiểu 65% tiếng Trung trong 10 giờ,"Học 65% tiếng Trung (tiếng phổ thông), bắt đầu nói và đọc tiếng Trung trong một khoá học hấp dẫn với phương pháp tiếp cận độc nhất",Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,,Chào mừng bạn đến với phiên bản mới của chính mình!,8:24,Video,
,,,MỚI NHẤT: KHOÁ HỌC ĐƯỢC CẬP NHẬT VÀO THÁNG BẢY 2015,Chúng tôi khuyên tất cả các học viên nên tiếp cận với giáo viên để có thể thực hành. Điều này sẽ giúp cải thiện kỹ năng nói tiếng Trung của bạn đáng kể vì điều giáo viên quan tâm không phải là dạy bạn bổ dung kiến thức mà là giúp bạn sử dụng những gì đã học. Hãy tải quảng cáo của chúng tôi về trong bài học đầu tiên và tìm hiểu thêm về khóa học!,- Hơn 265 Bài giảng và 10 giờ nội dung,- Hơn 265 Bài giảng và 10 giờ nội dung,,Đường dẫn,Văn bản,Text ,
,,,HƠN 5000 HỌC VIÊN XUẤT SẮC ĐÃ THAM GIA KHOÁ HỌC!,"Khi bạn đã có giáo viên giảng dạy riêng cho mình, giáo viên sẽ cung cấp cho bạn tất cả các tài liệu bổ sung mà bạn cần.","- Đến cuối khoá học, bạn sẽ có thể trò chuyện bằng tiếng Trung về hầu hết mọi thứ.","- Đến cuối khoá học, bạn sẽ có thể trò chuyện bằng tiếng Trung về hầu hết mọi thứ.",,Bài học 1-4: Từ vựng,6 trang,Document,
,,,"Bắt đầu học tiếng Trung với một cách tiếp cận hoàn toàn mới vừa dễ, vừa vui. Trong khoá học này, bạn sẽ học:","Nếu như bạn chỉ học khoá học online, bạn có thể tải về sách học ở bải học đầu tiên.",- Bạn cũng sẽ có thể đọc và viết những câu chuyện/bài viết/sách báo đơn giản bằng tiếng Trung,- Bạn cũng sẽ có thể đọc và viết những câu chuyện/bài viết/sách báo đơn giản bằng tiếng Trung,,THẺ TỪ TIẾNG TRUNG WCC,7 slides,Slide,
,,,Cách nhận diện hầu hết 350 bộ chữ và hiểu 65% ngôn ngữ này,,,,Phần 1: Bài 5 - Trưởng thành,,,,
,,,Cách đọc và viết ở trình độ trung cấp,,,,,Giới thiệu về những điều tốt đẹp,1:23,Video,
,,,Cách thiết lập đoạn hội thoại về hầu hết các lĩnh vực,,,,,Một người trưởng thành,1:00,Video,
,,,Cái nhìn sâu hơn về Trung Quốc và văn hoá của đất nước này,,,,,Vấn đề,1 câu hỏi,Quiz,
,,,VỀ KHÓA HỌC VÀ CHÚNG TÔI,,,,,Darren có thể chơi bóng đá như người lớn,1:06,Video,
,,,"Công ty dạy tiếng Trung phổ thông dạy bằng tiếng nước ngoài đầu tiên với phương thức tiếp cận tiếng Trung hoàn toàn mới. Các khoá học của chùng tôi được xây dựng cho người nước ngoài và bởi người nước ngoài, và đồng thời bao gồm kinh nghiệm dày dặn từ các giáo viên Trung Hoa",,,,,Vấn đề,1 câu hỏi,Quiz,
,,,"""Tiếng Trung đơn giản: Hiểu 65% tiếng Trung trong 10 giờ"" là một khoá học tiếng Trung mở rộng cho bất kỳ ai muốn bắt đầu học tiếng Trung hoặc kể cả khi bạn muốn học nhưng thấy tiếng Trung khó và nhàm chán.",,,,,Đừng ngại một vài âm sắc nhỏ,1:28,Video,
,,,"Với cách tiếp cận mới, chúng tôi có thể làm việc học trở nên vui hơn qua các video giải trí, và với cách chúng tôi phân tích, gỡ rạc một cách logic ngôn ngữ này cho bạn, bạn sẽ giúp chúng tôi xây dựng lại. Khi bạn hoàn thành việc ""xây dựng"", chúng tôi hứa là bạn sẽ hiểu rõ hơn rất nhiều tiếng Trung và bạn sẽ có thể dạy lại cho người khác (thông tin về cách chúng tôi chuyển biến các học viên thành giáo viên có trong quảng cáo ở bài học đầu tiên.",,,,,Loài cá vô cùng nhỏ bé,2:15,Video,
,,,"Khoá học này cơ bản là dành cho những ai vẫn còn xa lạ với tiếng Trung và muốn nhanh chóng đạt đến trình độ đàm thoại đơn giản. Chúng tôi giảng dạy các kỹ năng đọc, viết, và nói trong một gói. Mục tiêu cuối cùng của khoá học là giúp bạn có thể đọc và thậm chí là viết bài hoàn toàn bằng tiếng Trung ở trình độ trung cấp. Đồng thời, bạn sẽ có đủ vốn từ và hiểu biết về cách thứ ngôn ngữ này được sử dụng để có thể tranh luận trong hầu hết các chủ đề.",,,,,Vấn đề,1  câu hỏi,Quiz,
,,,"Nếu bạn vẫn chưa học với chúng tôi trước đó, chúng tôi khuyên bạn nên đến với khoá học nền tảng ""Tiếng Trung đơn giản: Một bắt đầu hào hứng với tiếng Trung"" hoàn toàn miễn phí với nội dung bằng video lên đến hơn 4 giờ đồng hồ, và bạn sẽ hiểu được cách bạn sẽ học với chúng tôi. Bạn sẽ có thể tìm thấy khoá học này ngay dưới thông tin cá nhân của tôi.",,,,,Nắm bắt được tâm lý người Trung,1:28,Video,
