Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
song-sot-o-y-ma-khong-can-qua-gioi-tieng-y,Sống sót ở Ý mà không cần quá giỏi tiếng Ý!,"Hãy bắt đầu học tiếng Ý, biết được các mẹo nói và hiểu tiếng Ý dù bạn không thành thạo ngôn ngữ này. Việc này rất DỄ DÀNG!",Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1: Giới thiệu,,,,
,,,Khóa học được cập nhật gần đây: Bổ sung thêm Chuyên đề Hỏi đáp qua mạng (các câu hỏi của bạn sẽ được trả lời),Nói được tiếng Anh (giảng dạy bằng tiếng Anh),- Hơn 26 bài giảng và 1.5 giờ nội dung,- Người đang lên kế hoạch du lịch Ý,,Chào mừng tới khóa học,0:26,Video,
,,,Hơn 5000 học viên đã theo học khóa học này!,,- Học cách diễn đạt tiếng Ý cơ bản,- Khách du lịch,,Giới thiệu khóa học,7:58,Video,
,,,Chào buổi sáng!,,- Hiểu cách sử dụng ngôn ngữ của người Ý,- Khách du lịch ba lô,Phần 2: Học phần 1 - Phát âm tiếng Ý,,,,
,,,Bạn lên kế hoạch đi Ý nhưng lại không có thời gian học tiếng?,,- Phát triển kỹ năng nói tiếng Ý trên mức tưởng tượng của bạn,- Người học tiếng Ý,,Thông điệp riêng từ giáo viên,4:36,Video,
,,,Bạn tò mò về ngôn ngữ Ý?,,- Phát triển kỹ năng hiểu tiếng Ý hơn mức tưởng tượng của bạn,- Người mới học tiếng Ý,,Phát âm tiếng Ý - Phụ âm,1:34,Video,
,,,Bạn gặp khó khăn khi học tiếng Ý?,,- Học được cách phát âm chuẩn,- Người yêu nước Ý,,Phát âm tiếng Ý - Nguyên âm,3:20,Video,
,,,Trong khóa học nhập môn này bạn sẽ học được một vài mẹo để đẩy nhanh trình độ tiếng Ý và tăng tốc độ học của bạn,,- Làm quen với kế hoạch học tập,,,Phát âm tiếng Ý - Nguyên âm - Một vài mẹo nhỏ,3:33,Video,
,,,Bạn có biết rằng bạn có thể học 50% vốn từ vựng tiếng Ý ngay lập tức và gần như không tốn chút công sức nào?,,,,,Phát âm tiếng Ý - Nhịp điệu và phách,2:29,Video,
,,,Bạn có biết rằng bạn có thể làm chủ phát âm tiếng Ý chỉ trong vài giờ?,,,,,Học phần 1: kế hoạch làm việc,1:18,Video,
,,,"Bạn có biết rằng bạn có thể giao tiếp những câu dài, phức tạp chỉ trong vài tuần?",,,,Phần 3: Học phần 2 - Diễn đạt tiếng Ý cơ bản,,,,
,,,"Khóa học này không phải là một sự diệu kỳ. Và bạn cũng biết đấy, để có thể học một ngôn ngữ một cách tự nhiên cần dành cho nó một chút thời gian và nỗ lực. Tuy nhiên, nếu muốn tận hưởng vẻ đẹp của đất nước Ý, không nhất thiết phải thành thạo tiềng Ý!",,,,,Biểu cảm tiếng Ý cơ bản - Chào hỏi,3:24,Video,
,,,Nếu bạn đã từng hào hứng với một chuyến du lịch đến đất nước Ý thì khóa học này sẽ giúp bạn chuẩn bị cho cuộc phiêu lưu đó. Hãy tận hưởng khóa học này!,,,,,Biểu cảm tiếng Ý cơ bản - tỏ ra lịch sự,2:58,Video,
,,,Cám ơn bạn!,,,,,Một số ngữ pháp,3:21,Video,
,,,,,,,,Biểu cảm tiếng Ý cơ bản - Gọi đồ ăn và thức uống,4:10,Video,
,,,,,,,,Biểu cảm tiếng Ý cơ bản - Đặt câu hỏi,4:48,Video,
,,,,,,,,Học phần 2: kế hoạch làm việc,1:17,Video,
,,,,,,,Phần 4: Học phần 3 - mẹo và cách được đối xử như VIP,,,,
,,,,,,,,Cách hiểu tiếng Ý hơn trình độ của bạn,5:28,Video,
,,,,,,,,Mẹo để hiểu nhiều hơn,1:21,Video,
,,,,,,,,Cách dự đoán từ gì sẽ ở dạng tiếng Ý,4:11,Video,
,,,,,,,,Cách bịa ra từ tiếng Ý (hoặc cách đoán 50% vốn từ vựng tiếng Ý),4:44,Video,
,,,,,,,,Mẹo để nói tiếng Ý tốt hơn (và dễ dàng hơn),2:20,Video,
,,,,,,,,Được đối xử như VIP,5:30,Video,
,,,,,,,,Học phần 3 - Kế hoạch làm việc,0:57,Video,
,,,,,,,Phần 5: Kết luận,,,,
,,,,,,,,Thu hoạch khóa học,0:35,Video,
,,,,,,,,Kế hoạch để học tiếng Ý dễ dàng và nhanh chóng,7:09,Video,
,,,,,,,,Kết luận,0:24,Video,
,,,,,,,Phần 6: Tặng thêm,,,,
,,,,,,,,Học nhanh tiếng Ý - Một chuỗi các khóa học miễn phí,Văn bản,Text,
,,,,,,,,Khóa học sắp tới,,,
