Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
kham-pha-hanh-phuc-cung-tien-si-elisha-goldstein,Khám phá hạnh phúc cùng tiến sĩ Elisha Goldstein,Tìm hiểu về cơ chế chống lại sự trầm cảm tự nhiên của não bộ và khám phá hạnh phúc thực sự lâu dài,Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1: Chào mừng bạn đến với Chủ đề Khám phá hạnh phúc,,,,
,,,"Trong vòng 15 năm qua, đổi mới tiên tiến trong khoa học thần kinh đã dẫn đến một trong những hiểu biết mạnh mẽ nhất trong lịch sử loài người rằng trong mỗi người chúng ta đều có tiềm năng sinh học tự nhiên đối với hạnh phúc thực sự. Trong khóa học này, bạn sẽ tìm hiểu xem làm thế nào để kiểm soát cơ chế chống lại trầm cảm tự nhiên của não bộ và bộc lộ tiềm năng thực sự của bạn","- Chỉ là những yêu cầu cơ bản của Tudemy, không cần thêm tài liệu nào khác",- Hơn 48 bài giảng với 12.5 giờ giảng dạy,Bất cứ ai quan tâm đến việc được hạnh phúc,,Chào mừng và giới thiệu,2:16,Video,
,,,Về chuyên đề này,- Không nhất thiết phải có kiến thức nền,- Mở khóa những tiềm năng của bạn cho hạnh phúc bền lâu,Bất cứ ai tò mò về việc họ có thể làm gì để cải thiện sự lành mạnh trong tâm hồn mình,Phần 2: Lòng từ bi,,,,
,,,Chuyên đề bộc lộ hạnh phúc là một dự án rất cá nhân đối với tôi. Công việc của cả đời tôi là khám phá ra tiềm năng đạt được hạnh phúc trong mỗi chúng ta và tôi rất vui mừng được mang dự án này tới các bạn ngay bây giờ,,- Biết làm thế nào để sử dụng suy nghĩ thay đổi tư duy trong cuộc sống,Bất cứ ai muốn mở rộng những công cụ của mình với những bài tập đơn giản và đáng tin cậy để tăng hạnh phúc trong cuộc sống hàng ngày,,"Sharon Salzberg Phần 1: ""Tìm kiếm hạnh phúc thực sự"" ",17:01,Video,
,,,Trong dự án này bạn sẽ tìm hiểu,,"- Ap dụng những chính niệm, lòng nhân ái và những kỹ thuật tự tin sẽ mang tới hạnh phúc trong cuộc sống hàng ngày của bạnTìm hiểu sự quan trọng của niềm vui và việc tự yêu quý bản thân mình.",,,"Sharon Salzberg Phần 2: ""Tìm kiếm hạnh phúc thực sự"" ",15:14,Video,
,,,Chìa khóa của hạnh phúc bền lâu,,- Khám phá ra những chất chống trầm cảm tự nhiên và khả năng quản lý căng thẳng,,,"Rick Hanson Phần 1: ""Kéo dài hạnh phúc"" ",17:10,Video,
,,,Làm thế nào để mang chúng tới cuộc sống hàng ngày của bạn,,- Hiểu được việc lựa chọn thực phẩm và phong cách sống của chúng ta sẽ dẫn đến hạnh phúc hay hành xử vô ích,,,"Rick Hanson Phần 2: ""Kéo dài hạnh phúc"" ",17:44,Video,
,,,Và làm thế nào để bạn thay đổi suy nghĩ tốt hơn?,,- Hiểu được việc tại sao việc tìm hiểu nếp suy nghĩ học tập lại giúp bạn có được nhiều thứ hơn trong cuộc sống cùng với giác quan nhạy bén hơn,,,"Jack Kornfield Phần 1: ""Lòng trắc ẩn, sự vị tha và niềm vui bùng cháy"" ",18:33,Video,
,,,"Cuối cùng bạn sẽ tìm hiểu xem làm thế nào để dành quyền kiểm soát tâm trí, tâm trạng và cuộc sống của bạn, gieo mầm cho hạnh phúc dài lâu thực sự",,- Phát triển bộ công cụ toàn diện hơn và chỉ dẫn khôn ngoan để khám phá hạnh phúc ở ngay đây trong cuộc sống hàng ngày,,,"Jack Kornfield Phần 2: ""Lòng trắc ẩn, sự vị tha và niềm vui bùng cháy"" ",10:28,Video,
,,,Về cuộc phỏng vấn của chúng ta,,,,Phần 3: Tự yêu thương bản thân,,,,
,,,"Tôi đã phỏng vấn một vài người trong số những nhà khoa học, nhà thần kinh học, nhà nghiên cứu và nhà hành nghề hàng đầu trong lĩnh vực hạnh phúc cho chuyên đề này. Bạn sẽ nghe từ Byron Katie Tara Brach, Kelly McGonigal, Sharon Salzberg, Dan Harris, Jack Kornfield và những người khác- Kiểm tra ở chương trình học dưới đây",,,,,"Tara Brach Part 1 “Sức mạnh của sự tổn thương"" ",19:22,Video,
,,,"Họ là những người đến từ Harvard, UCLA và nhiều người trong số họ đã từng viết những bài bán chạy nhất về hạnh phúc cho tạp chí New York Times. Thêm vào đó, như một phần thưởng dành cho bạn, tôi đã yêu cầu các diễn giả đưa ra cho bạn những bài tập luyện tập để tạo ra hạnh phúc thiết thực ngay bây giờ. Bạn sẽ có hơn 20 bài luyện tập để sử dụng ở nhà và khi làm việc. Những bài luyện tập này sẽ giúp bạn :",,,,,"Tara Brach Part 2 “Sức mạnh của sự tổn thương"" ",12:41,Video,
,,,Tạo ra một chất chống trầm cảm tự nhiên trong não bộ,,,,,"Kristin Neff Phần 1: ""Sức mạnh của Sự tự yêu quý bản thân "" ",20:11,Video,
,,,Giảm căng thẳng và lo lắng,,,,,"Kristin Neff Phần 2: "" Sức mạnh của Sự tự yêu quý bản thân "" ",16:44,Video,
,,,Có những mối quan hệ tốt đẹp hơn,,,,Phần 4: Chính niệm,,,,
,,,Vượt qua những thói quen xấu trong việc ăn uống và,,,,,"Dan Harris Phần 1: ""Tự giúp mình thật sự rất hiệu quả"" ",17:25,Video,
,,,Tạo ra sự tự tin ở nhà và trong công việc,,,,,"Dan Harris Phần 2: ""Tự giúp mình thật sự rất hiệu quả"" ",16:33,Video,
,,,"Tôi muốn tuyên truyền về khả năng tiềm ẩn để có được hạnh phúc trên toàn thế giới nên bạn có thể nghe những cuộc phỏng vấn này một cách miễn phí. Chúng được phát ngay tại đây- Và sau "" chuyên đề ảo"" này, bạn sẽ có cơ hội để sở hữu toàn bộ những điều này với chi phí thấp gần như là ai cũng có thể mua được",,,,,"Zindel Segal Phấn 1: ""Sức mạnh của MBCT"" (Phương pháp trị liệu dựa trên chính niệm)",19:42,Video,
,,,Tham gia ngay hôm nay và tìm hiểu xem làm sao để chế ngự được cơ chế chống trầm cảm trong não bộ và khám phá ra hạnh phúc bền vững thực sự trong cuộc sống của bạn,,,,,"Zindel Segal Phấn 2: ""Sức mạnh của MBCT"" ",18:40,Video,
,,,,,,,,"Alex Tew phần 1: ""Chánh niệm trong thời đại số"" ",16:45,Video,
,,,,,,,,"Alex Tew phần 2: ""Chính niệm trong thời đại số"" ",15:48,Video,
,,,,,,,,Christiane Wolf Phần 1: Hạnh phúc và nỗi đau liệu có cùng tồn tại? Phần 2,18:07,Video,
,,,,,,,,Christiane Wolf Phần 2: Hạnh phúc và nỗi đau liệu có cùng tồn tại? Phần 2,15:04,Video,
,,,,,,,Phần 5: Vui chơi,,,,
,,,,,,,,Ruby Wax Phần 1: Sổ tay cho lối sống Saner,18:05,Video,
,,,,,,,,Ruby Wax Phần 2: Sổ tay cho lối sống Saner,16:15,Video,
,,,,,,,,Christine Carter Phần 1: Tìm ra thói quen của bạn ở nhà và trong công việc,19:41,Video,
,,,,,,,,Christine Carter Phần 2: Tìm ra thói quen của bạn ở nhà và trong công việc,15:18,Video,
,,,,,,,,"ImprovHQ Phần 1: "" Chơi đùa cùng với sự tự tin "" ",19:36,Video,
,,,,,,,,"ImprovHQ Phần 2: "" Chơi đùa với sự tự tin "" ",13:32,Video,
,,,,,,,,Ellen Langer Phần 1: Tìm kiếm suối nguồn tuổi trẻ,16:48,Video,
,,,,,,,,Ellen Langer Phần 2: Tìm kiếm suối nguồn tuổi trẻ,13:21,Video,
,,,,,,,"Phần 6: Mục đích, ý nghĩa và thói quen sức khỏe",,,,
,,,,,,,,"Byron Katie Phần 1: ""bốn câu hỏi về Hạnh Phúc"" ",19:54,Video,
,,,,,,,,"Byron Katie Phần 2: ""bốn câu hỏi về Hạnh Phúc"" ",18:58,Video,
,,,,,,,,"Kelly MacGonigal phần 1: ""Tại sao căng thẳng lại là tốt và cách để hòa hợp với nó""",16:23,Video,
,,,,,,,,"Kelly MacGonigal phần 1: ""Tại sao căng thẳng lại là tốt và cách để hòa hợp với nó""",13:49,Video,
,,,,,,,,"Pilar Gerasimo Phần 1: ""nghệ thuật để trở nên khỏe mạnh"" ",17:54,Video,
,,,,,,,,"Pilar Gerasimo Phần 2: ""nghệ thuật để trở nên khỏe mạnh"" ",16:03,Video,
,,,,,,,,"Pilar Gerasimo Phần 3: ""nghệ thuật để trở nên khỏe mạnh"" ",7:39,Video,
,,,,,,,,"Tristan Harris Phần 1: ""nhận thức về việc sử dụng thời gian"" ",15:22,Video,
,,,,,,,,"Tristan Harris Phần 2: ""nhận thức về việc sử dụng thời gian"" ",21:49,Video,
,,,,,,,,Dan Siegel Phần 1: Sức mạnh và mục đích của các mối quan hệ,21:32,Video,
,,,,,,,,Dan Siegel Phần 2: Sức mạnh và mục đích của các mối quan hệ,15:16,Video,
,,,,,,,Phần 7: Gia đình và thực phẩm,,,,
,,,,,,,,"Tim Ryal Phần 1: "" Cuộc cách mạng thực sự về thực phẩm""",16:23,Video,
,,,,,,,,"Tim Ryal Phần 2: "" Cuộc cách mạng thực sự về thực phẩm""",7:40,Video,
,,,,,,,,"Susan Albert Phần 1: ""Phá vỡ những thói quen xấu"" ",17:35,Video,
,,,,,,,,"Susan Albert Phần 2: ""Phá vỡ những thói quen xấu"" ",7:57,Video,
,,,,,,,,"Susan Stiffelman Phần 1: "" Nuôi dạy con bằng sự tỉnh táo""",18:07,Video,
,,,,,,,,"Susan Stiffelman Phần 2: "" Nuôi dạy con bằng sự tỉnh táo""",12:20,Video,
,,,,,,,,"Bonnie Goldstein Phần 1: ""Tìm ra ý nghĩa và mục đích của tuổi trưởng thành"" ",15:15,Video,
,,,,,,,,"Bonnie Goldstein Phần 2: ""Tìm ra ý nghĩa và mục đích của tuổi trưởng thành"" ",11:00,Video,
,,,,,,,Phần 8: Phỏng vấn Elisha Goldstein: Khám phá hạnh phúc,,,,
,,,,,,,,Lời kết của Elisha Goldstein Phần 1: Lời cảm ơn và những gì sau khóa học này,11:05,Video,
,,,,,,,,Lời kết của Elisha Goldstein Phần 2: Lời cảm ơn và những gì sau khóa học này,7:31,Video,
