Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
tam-the-dong-nhat-thich-nhat-hanh,Tâm thể đồng nhất - Thích Nhất Hạnh,Khóa đào tạo trực tuyến về Chánh niệm của thiền sư Thích Nhất Hạnh,Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,,Giới thiệu,Văn bản,Text,
,,,"Khi cơ thể và tâm trí bạn hợp nhất làm một, sự hiện diện của bạn sẽ trở nên trọn vẹn và thuận tự nhiên trong hiện tại. Đây là bản chất của việc thực hành Chánh niệm. Tâm Thể đồng nhất: Bài giảng trực tuyến về Chánh niệm sẽ mang đến cho bạn một khóa học chưa từng có từ trước đến nay trong 8 tuần cùng thiền sư Thích Nhất Hạnh đáng kính, người đã thực hành, chia sẻ và trải nghiệm triết lý uyên thâm này trong hơn 7 thập kỉ qua","- 7 tiếng đồng hồ với các video hướng dẫn chất lượng cao của thiền sư Thich Nhất Hạnh, có thể xem bất cứ lúc nào bạn thích",- Hơn 53 bài giảng là 10.5 tiếng đồng hồ nội dung,"- Bất cứ ai muôn tiêu tan các xung đột nội tại, giải tỏa căng thẳng và lo lắng, nhận thức được về những điều cần làm để đạt được tự do và hạnh phúc",Phần 1: Sức mạnh của đạo Phật,,,,
,,,Hơi thở: Cầu nối giữa cơ thể và tâm trí,"- 2 buổi giảng trực tiếp trả lời câu hỏi từ học viên của sư cô Lăng Nghiêm và sư thầy Pháp Hải, 2 học trò lâu năm của thầy Thích Nhất Hạnh","- Tóm tắt về bài bài tập của đạo Phật dùng để điều hòa hơi thở Chánh Niệm nhằm tiêu tan các xung đột nội tại, giải tỏa căng thẳng và lo lắng, giúp bạn nhận thức được về những điều cần làm để đạt được tự do và hạnh phúc",- Bất cứ ai muốn có cơ hội học tập cùng thiền sư Thích Nhất Hạnh và cộng đồng sư sãi và những người tu tậ,,Nhập môn về Sức mạnh của đạo Phật,Văn bản,Text,
,,,"Trong thế giới hiện đại bận rộn, nhiều người trong chúng ta đang cố chạy đua từ đích này sang đích khác, đặt kế hoạch về việc này rồi lo lắng về việc kia. Chúng ta thường héo hon bởi những suy nghĩ và thói quen trong vô thức,chúng khiến chúng ta trở nên vô cảm với những trải nghiệm của bản thân - và với những nối đau mà chúng ta gây ra cho mình và những người xung quanh.",- Một nhật ký cá nhân để bạn tự chiêm nghiệm về các trải nghiệm của bản thân,"- Đàm đạo về tính Không, tính Vô và tính Bất tuyệt với tư cách là cánh cửa dẫn tới sự giải thoát và cũng là ý nghĩa nguyên sơ của ""tương tức""",,,Kết nối với nỗi đau trong tâm bạn,11:08,Video,
,,,"Hai ngàn sáu trăm năm trước đây, Đức Phật đã đưa ra những chỉ dẫn về việc phá vỡ cái vòng luẩn quẩn này và trở về với cơ thể chúng ta - về với sự diệu kỳ của cuộc sống chỉ tìm thấy trong hiện tại. Hơi thở của bạn chính là chìa khóa!",- Các bài tập được đề cử theo tuần,"- Đàm đạo về Dharma (Pháp) trong việc tu tập và chiêm nghiệm về năng lượng thay đổi cuộc sống của Chánh Niệm, sự tập trung và giác ngộ",,,Niệm kinh Quán Thế Âm Bồ Tát,22:22,Video,
,,,"Trong bài giảng ""Tâm Thể Đồng nhất"" , thiền sư Thích Nhất Hạnh sẽ đích thân hướng dẫn bạn từng bước một trong những bài tập truyền lại từ Đức Phật giúp điều hòa hơi thở của bạn nhằm chấm dứt những xung đột bên trong, giải tỏa căng thẳng và lo lắng, giúp bạn nhận thức được về những điều cần làm để đạt được tự do và hạnh phúc.",,- Luyện tập việc chạm vào Phật tính trong bạn - Cách nuôi dưỡng hạt giống bao dung và vị tha trong tâm hồn bạn,,,Đưa Tâm trí nhập lại Thân thể,11:18,Video,
,,,Cùng tham gia với thiền Sư Thích Nhất Hạnh trong chuyến tu tập này.,,- Xác định 5 bài tập Chánh Niệm như một phương thức khám phá nhân quả từ hành động của chúng ta,,,"Chánh Niệm, Sự tập trung và Giác ngộ",9:47,Video,
,,,"Được thu lại trực tiếp từ chuyến tu tập kéo dài 6 ngày ở làng Rocky Mountain tại công viên Estes, khóa học Tâm Thể đồng nhất sẽ mang đến cơ hội học tập cùng thiền sư Thích Nhất Hạnh và cộng đồng sư sãi và những người tu tập. Không chỉ là một khóa học về Chánh niệm, Tâm Thể đồng nhất còn là nơi vị thiền sư đáng kính này giác ngộ và giáo hóa về Phật pháp nhằm giúp người nghe có được một cuộc sống viên mãn.",,"- Đàm đạo về việc vượt lên sự kì thị, nỗi sợ hãi, cơn giận dữ và những phiền não khác trong tâm - nhập thể vào sự hiện diện của bạn - món quà tuyệt vời nhất bạn có thể trao cho thế gian.",,Phần 2: Giác ngộ về sự kết hợp,,,,
,,,Trong khóa học này bạn sẽ học về:,,,,,Nhập môn về Giác ngộ sự Kết hợp,Văn bản,Text,
,,,"Nguồn năng lượng có thể thay đối cuộc sống từ Chánh niệm, sự tập trung tư tưởng và giác ngộ",,,,,Hướng dẫn thiền tập,3:18,Video,
,,,"Sự hiện diện của bạn, món quà tuyệt vời nhất bạn có thể trao cho thế gian.",,,,,Dâng hiến sự tồn tại của mình,10:50,Video,
,,,Sống trong hiện tại: Mục đích đầu tiên của thiền,,,,,Câu thần chú mang lại hạnh phúc,5:38,Video,
,,,Công thức thần kỳ cho hạnh phúc tức thì,,,,,Vượt lên mọi định kiến,13:42,Video,
,,,"Ý nghĩa uyên thâm của ""tương tức""",,,,,Sự sống và cái chết hiện diện trong từng phút giây,5:49,Video,
,,,Sự thật về Vô thường,,,,,Đau khổ và Hạnh phúc,8:26,Video,
,,,Bát Chánh Đạo và Tứ Diệu Đế trong Phật Giáo.,,,,,Con đường dẫn đến khổ đau và con đường đi đến hạnh phúc,6:05,Video,
,,,Ý nghĩa của tính Không,,,,,Tam bảo,15:21,Video,
,,,Dharma (Pháp) với việc tu tập,,,,,Tạo hóa của Tương tức,4:37,Video,
,,,Chạm vào Phật tính trong bạn.,,,,,Bạn là kết quả từ những hành động của mình,12:15,Video,
,,,"Vượt lên sự kì thị, nỗi sợ hãi, cơn giận dữ và những phiền não khác trong tâm",,,,,Các yếu tố trong việc tu tập Chánh niệm,30:22:00,Video,
,,,"Nhân quả với tư cách là hành động của suy nghĩ, lời nói và cơ thể",,,,,Buổi giảng trực tiếp với sư cô Lang Nghiêm,1:06:10,Video,
,,,7 bài tập của đạo Phật về hơi thở Chánh niệm.,,,,Phần 3: Thức tỉnh với Chánh niệm,,,,
,,,Cách nuôi dưỡng hạt giống bao dung và vị tha trong tâm hồn bạn,,,,,Nhập môn về Thức tỉnh với Chánh Niệm,Văn bản,Text ,
,,,5 bài tập Chánh Niệm - một phương thức khám phá nhân quả từ hành động của chúng ta,,,,,Hưỡng dẫn thiền tịnh,5:31,Video,
,,,Sự kỳ diệu vĩ đại nhất,,,,,Mang yên lành trở về,10:59,Video,
,,,"""Thông qua Chánh Niệm"" , theo lời thiền sư Thích Nhất Hạnh, ""chúng ta có thể nhận ra nhiệm màu của việc được sống trên đời, và đó chính là điều kỳ diệu vĩ đại nhất"" . Tâm Thể đồng nhất chào đón bạn đến với trải nghiệm về sự uyên thâm và sự hiện diện của vị thầy giáo vô song. Qua từng nhịp thở, thầy sẽ hướng dẫn bạn đến với ""Cõi NIết Bàn của đức Phật, cõi thiên giới của chư thần, nơi hiện hữu ở ngay lúc này và ngay chốn này""",,,,,Chúng ta đều là sự tiếp diễn,11:05,Video,
,,,,,,,,Đi từng bước một,13:36,Video,
,,,,,,,,Điều kỳ diệu của việc Đi bộ,5:15,Video,
,,,,,,,,Năng Lượng Tập hợp của Chánh niệm,10:17,Video,
,,,,,,,"Phần 4: Điều hòa tình cảm và "" Hành "" ",,,,
,,,,,,,,"Nhập môn Điều hòa tình cảm và thiết lập ""Hành"" ",Văn bản,Text,
,,,,,,,,Nhập đoàn Tăng giả,13:08,Video,
,,,,,,,,Điều hòa những cảm xúc mạnh mẽ,12:08,Video,
,,,,,,,,"Cõi của ""Hành"" ",8:03,Video,
,,,,,,,,Giải phóng bản thân khỏi những xung đột,17:02,Video,
,,,,,,,Phần 5: Chánh niệm trong các mối quan hệ,,,,
,,,,,,,,Nhập môn về Chánh niệm trong các mối quan hệ,Văn bản,Text,
,,,,,,,,Hướng dẫn thiền định,4:46,Video,
,,,,,,,,Cách thức giải tỏa,6:45,Video,
,,,,,,,,Yêu thương không phân biệt,12:53,Video,
,,,,,,,,Biết yêu là biết tỉnh thức,13:20,Video,
,,,,,,,,Điều hòa cơn giận,12:55,Video,
,,,,,,,Phần 6: Vượt trên định kiến,,,,
,,,,,,,,Nhập môn Vượt trên định kiến,Văn bản,Video,
,,,,,,,,Phương thức tập trung tâm trí,22:29,Video,
,,,,,,,,Tục đế và Chân đế,5:02,Video,
,,,,,,,,Vô khứ vô lai,14:04,Video,
,,,,,,,,Loai trừ tạp niệm,12:44,Video,
,,,,,,,,Buổi giảng trực tiếp với sư thầy Pháp Hải,1:03:14,Video,
,,,,,,,Phần 7: Nuôi dưỡng hạt giống Vị tha,,,,
,,,,,,,,Giới thiệu về Nuôi dưỡng hạt giống Vị tha,Văn bản,Video,
,,,,,,,,Hướng dẫn thiền định,8:12,Video,
,,,,,,,,Tin tưởng Phật tính trong tâm bạn,18:50,Video,
,,,,,,,,5 bài tập Chánh niệm,3 trang,Video,
,,,,,,,,Mang đến hòa bình cho thế gian,16:31,Video,
,,,,,,,,Thực hành Nghe ngấm,10:52,Video,
,,,,,,,Phần 8: Sự giải thoát thông qua Chánh niệm,,,,
,,,,,,,,Giới thiệu về Sự giải thoát thông qua Chánh niệm,Văn bản,Text,
,,,,,,,,Tứ thực,21:37,Video,
,,,,,,,,Bước vào Giải thoát Môn,16:32,Video,
,,,,,,,,Chạm đến Niết Bàn,17:31,Video,
