Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
tro-thanh-mot-cao-thu-doc-nhanh-va-ghi-nho-tot,Trở thành một cao thủ đọc nhanh và ghi nhớ tốt,Học nhanh hơn và hiệu quả hơn bằng cách khai thác kĩ năng của những người đọc và ghi nhớ thông tin nhanh nhất thế giới.,Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1: Giới thiệu,,,,
,,,"Là lựa chọn số 1 của nhân viên và được cập nhật vào năm 2015, khóa học này sẽ dạy bạn cách để tăng tốc học tập, đọc và kĩ năng ghi nhớ, tạo động lực để học bất cứ thứ gì một cách nhanh hơn và hiêu quả hơn.","- Học viên cần có khả năng đọc trôi chảy bằng ngôn ngữ của họ và bằng tiếng Anh. Mặc dù những kĩ năng này có thể áp dụng được với bất kì ngôn ngữ nào, những tài liệu sẽ đều bằng tiếng Anh.",- Hơn 39 bài giảng và 2 tiếng nội dung,- Tất cả những ai muốn học tập hiệu quả hơn,,Về chúng tôi: Cái nhìn tổng quan về khóa học,4:44,Video,
,,,"Dù bạn là sinh viên, chuyên viên hay chỉ đơn giản là mới bắt đầu 1 sở thích, bạn bắt buộc phải vật lộn với từng tí thông tin và kiến thức. Trên thực tế, người ta cho rằng thông tin ở New York Times trong 1 tuần nhiều thông tin hơn cả của một người vào 100 năm trước có được trong cả cuộc đời. Chúng ta đều đã từng trả qua sự chán nản của việc số lượng tài liệu cần đọc cứ nhiều lên, vật lộn để học ngoại ngữ mới hay dễ quên đi những điều đã học kể cả khi đó là những môn bạn đã từng yêu thích","- Sẵn sàng phúc đẩy bản thân, phá bỏ thói quen cũ và khát khao thành công.",- 1.5 tiếng dành cho các video bổ sung,- Những người thích học,,Chương trình học và tổng quan - được cập nhật\ vào tháng 4 -2015,2:28,Video,
,,,Mọi người đều có thể nâng cao kĩ năng học tập siêu phàm của mình.,- Học viên bị khuyết tật: liện hệ với người hướng dẫn trước khi mua khóa học để chúng tôi có thể đảm bảo hiệu quả đối với bạn.,"- Bài tập, bài luận về nhà, trò chơi và tài liệu bổ sung thường xuyên",- Sinh viên,,Học cách Học,1:39,Video,
,,,"Khóa học này nói về việc phát triển khả năng của bạn để học những kỹ năng mắc hay tiếp nhận các thông tin mới 1 cách nhanh chóng và hiệu quả. Chúng ra đi xa khỏi giới hạn của việc ""đọc nhanh"" (hay đọc có chọn lọc) mà bạn có thể đã từng thử, đi sâu vào những yếu tố liên quan tới nhận thức và ý thức logic mà giúp cho việc học trở nên hiệu quả hơn. Chúng tôi cũng cung cấp cho bạn những kĩ năng ghi nhớ nâng cao để xử lí với khối lượng thông tin khổng lồ mà bạn có thể xử lý",,"- Kết thúc khóa học, bạn sẽ có thể đọc nhanh ít nhất 3 lần so với những sinh viên bình thường và khả năng hiểu cao hơn mức trung bình",- Các chuyên gia,,Superlearner là gì?,2:29,Video,
,,,bạn sẽ được học cách tiếp nhận và lưu giữu thông tin bằng 1 cách hoàn toàn mới- nhanh hơn và tốt hơn,,- Bạn còn có thể học những kĩ năng mà dùng để chiến thắng giải World Championships in Memorization - những kĩ năng có thể dạy bạn ghi nhớ hàng nghìn thông tin theo thứ tự,- Những người yêu thích và quan tâm,,Tổng quát: bạn sẽ học gì,3:01,Video,
,,,"điều cốt lõi của khóa học bao gồm 3 ""siêu kĩ năng"":",,- Bạn sẽ học được cách để xử lí và tiếp thu thông tin một cách hiệu quả cao và áp dụng để học bất cứ kĩ năng nào khác,,,Chúng ta đang đi chung hướng chứ?,5 câu hỏi,Video,
,,,Đọc nhanh với độ hiểu và bao quát cao (80%),,- Một hệ quả khác của khóa học là mang lại cho bạn công cụ để học tập bất cứ thứ gì nhanh hơn và hiệu quả hơn,,Phần 2: Cải thiện trí nhớ của bạn: Xây dựng cơ sở ban đầu dành cho Super-Learning,,,Video,
,,,Kĩ thuật ghi nhớ để lưu giữ và nhớ lại khối lượng thông tin lớn nhanh chóng và chính xác,,,,,Khả năng đọc nhanh và hiểu hiện tại của bạn đến đâu?,8 câu hỏi,Quiz,
,,,Phát triển cơ sở xử lý để hỗ trợ cho dòng thông tin mới này trong dài hạn,,,,,Sự nhận thức sai - phần 1,5 câu hỏi,Quiz,
