Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
ket-noi-voi-huong-dao-sinh-cua-ban,Kết nối với hướng đạo sinh của bạn,Làm thế nào để những hướng đạo sinh có thể hỗ trợ bạn và cách để tạo dựng một mối quan hệ với họ.,Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1: Phần mở đầu,,,,
,,,"Bạn có đang trên đường phát triển về mặt tinh thần không? Những hướng đạo sinh và những giáo viên luôn sẵn sàng để hỗ trợ,Những hướng đạo sinh có thể và nên là một phần đang diễn ra trong cuộc sống của bạn, Khóa học này đưa ra những cách để giúp bạn xây dựng một sự kết nối, một sự giao tiếp với những người hướng đạo của bạn vào bất cứ lúc nào",Học sinh tham gia khóa học với tư duy mở. Nhiều những chủ đề trong khóa học này có thể gây ra tranh luận vì chúng khá lạ khi đưa vào giảng dạy đối với tín ngưỡng tôn giáo của một số người. Sự liên kết tinh thần có thể chỉ diễn ra nếu người đó đã được làm quen với việc liên kết và có niềm tin vào việc họ đang làm.,- Hơn 27 bài giảng với 2 giờ giảng dạy.,- Khóa học này dành cho những người mong muốn tìm hiểu về hướng đạo sinh,,Chào đón và mô tả,2:29,Video,
,,,Trở nên cởi mở với những hướng đạo sinh,,- Tìm hiểu xem những hướng đạo sinh giao tiếp như thế nào.,- Khóa học này dành cho những người sẵn sàng nhận sự chỉ dẫn và thông điệp tâm hồn.,,Mục sư Justin Terry,4:37,Video,
,,,Tìm hiểu xem những hướng đạo sinh giao tiếp như thế nào?,,- Xác định hướng đạo sinh nào đang giao tiếp với bạn và làm sao họ có thể hỗ trợ bạn.,- Khóa học này không dành cho người không sẵn sàng đón nhận ý tưởng về hướng đạo sinh hoặc không tin tưởng vào việc giao tiếp tinh thần,,Liên lạc với mục sư Justin Terry,2 slides,Document,
,,,Xác định hướng đạo sinh nào đang giao tiếp với bạn và họ có thể hỗ trợ như thế nào,,- Hiểu những công cụ họ có trong việc giao tiếp.,,,Tổng quan về hướng đạo sinh,1:42,Video,
,,,Hiểu những công cụ bạn có trong việc giao tiếp,,- Xây dựng nền tảng cho một sự kết nối bền vững.,,Phần 2: Về hướng đạo sinh?,,,,
,,,Xây dựng nền tảng cho một sự kết nối bền vững,,,,,Hướng đạo sinh là gì?,2:33,Video,
,,,Xây dựng nền tảng cho phát triển tình thần,,,,,Thiên thần là gì?,2:22,Video,
,,,"Hiểu rằng bạn không bao giờ thực sự cô đơn. Những hướng đạo sinh của bạn là người hỗ trợ về mặt tinh thần, và có thể giúp bạn phát triển tinh thần. Họ có những chỉ dẫn có thể giúp đỡ bạn trong con đường dẫn tới hạnh phúc, khỏe mạnh và tự do. Nếu bạn mở cửa ra, tinh thần sẽ ở ngay đó để dẫn lối bạn",,,,,Những tài liệu kinh Thánh tham khảo,8:31,Video,
,,,Bạn không cần phải phát triển hoàn toàn về mặt thể chất để kết nối với tâm hồn. Hướng đạo sinh của bạn là người giúp đỡ cá nhân và luôn sẵn sàng giúp đỡ khi bạn cần.,,,,,Các loại hình hướng đạo,2:57,Video,
,,,Tổng quan khóa học,,,,,Hướng đạo vui vẻ,4:52,Video,
,,,"Trong khóa học này bạn sẽ học những điều cơ bản của hướng đạo sinh và làm cách nào họ có thể hỗ trợ bạn. Chúng ta sẽ đi sâu về các loại chỉ dẫn và vai trò của họ, và làm thế nào bạn có thể bắt đầu tạo dựng sự kết nối. Hướng đạo sinh có thể liên lạc bằng nhiều các, và chúng ta sẽ thảo luận chi tiết những cách thông thường. Tôi sẽ chỉ cho các bạn thấy làm thế nào bạn có thể sử dụng hơi thở và sự điều hòa để hỗ trợ trong giao tiếp tinh thần, và những công cụ thông thường được sử dụng để liên lạc với hướng đạo sinh của bạn,",,,,,Hướng đạo triết học,3:11,Video,
,,,"Và ở cuối khóa học này bạn sẽ được củng cố để xây dựng sự kết nối bền vững với hướng đạo sinh của bạn, và sử dụng tình yêu và ánh sáng của họ để hỗ trợ phát triển tinh thần.",,,,,Hướng đạo hóa học,2:51,Video,
,,,,,,,,Hướng đạo bảo vệ,3:15,Video,
,,,,,,,,Giáo viên bậc thầy,4:09,Video,
,,,,,,,Phần 3: Giao thiệp với những chỉ dẫn của bạn,,,,
,,,,,,,,Xây dựng một mối quan hệ,3:29,Video,
,,,,,,,,Hô hấp và điều hòa,8:05,Video,
,,,,,,,,Điều hòa được chỉ dẫn,16:18,Video,
,,,,,,,,Bắt đầu nhận thức.,3:59,Video,
,,,,,,,,Nhận được tên chỉ dẫn của bạn,2:53,Video,
,,,,,,,,Những dấu hiệu,3:33,Video,
,,,,,,,,Những biểu tượng,5:38,Video,
,,,,,,,,Những màu sắc,4:18,Video,
,,,,,,,,Những con số,2:45,Video,
,,,,,,,,Bạn có thích khóa học này không?,1 slide,Document,
,,,,,,,Phần 4: Sự kết nối lâu dài,,,,
,,,,,,,,Những công cụ giao tiếp.,2:10,Video,
,,,,,,,,"""Con lắc đồng hồ"" ",3:40,Video,
,,,,,,,,Giải thích về Con lắc đồng hồ,8:47,Video,
,,,,,,,,Xây dựng một mối liên kết lâu dài,4:05,Video,
