Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
chuong-chi-hadoop-developer-cho-nguoi-moi-bat-dau,Chứng chỉ Hadoop Developer cho người mới bắt đầu,"Học Hadoop từ chuyên gia, được cấp chứng chỉ và có cơ hội săn được một trong những công việc IT được trả lương cao nhất thời điểm hiện tại",Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1: Chào mừng đến với khóa học,,,,
,,,"""Tôi đã hoàn thành chứng chỉ CCDH!!!"" (CCDH là chứng chỉ công nhận cá nhân có kiến thức kỹ thuật, kỹ năng và khả năng để viết, duy trì và tối ưu hóa các dự án phát triển Apache Hadoop)","Nếu bạn muốn làm thực hành và lập trình với các bài học, bạn cần một máy tính xử lý 64 bit, RAM  tối thiểu là 4GB. Nếu bạn chỉ quan tâm đến lý thuyết, bạn sẽ không cần thiết bị trên.",- Hơn 49 giảng viên và 5h nội dung.,"Những người yêu thích, quan tâm đến Hadoop, Hệ thống phân bố tập tin trên Hadoop (Hadoop distributed file system) và MApReduce.",,Trở thành một nhà lập trình được cấp chứng chỉ Hadoop,2:30,Video,
,,,"""Tôi vừa mới nhận được chứng chỉ CCDH tuần trước. Và tôi thực sự muốn nói rằng khóa học này đã giúp tôi rất nhiều trong việc thành thạo các khái niệm Hadoop và có đủ tự tin để tham dự kỳ thi CCDH đầy khó khăn, thử thách.",,- Mã của tất cả các chương trình thảo luận.,Những người muốn học lập trình bằng MapReduce với yêu cầu là 1 ít kiến thức OOP.,,Chào mừng đến với khóa học,3:34,Video,
,,,"Khóa học được xây dựng một cách rất hợp lý và các khái niệm Hadoop được giải thích rất dễ hiểu khiến việc học của tôi trở nên thú vị. Đây chính là chìa khóa cho bất kỳ ai có mong muốn lấy chứng chỉ CCDH.""",,- Xây dựng MapRuduce và Hadoop bền vững với nền tảng cơ bản.,Yêu cầu kiến thức cơ sở dữ liệu.,Phần 2: Giới thiệu về Hadoop,,,,
,,,"""Khóa học nhất định phải tham gia.""",,- Hơn 200 câu hỏi liên quan để chuẩn bị cho kỳ thi lấy chứng chỉ như Cloudera và Hortonworks.,,,Dữ liệu lớn - Giá trị lớn,5:46,Video,
,,,"""Cách giảng dạy sáng tạo. Tôi nhận thấy có rất nhiều điều bổ ích trong 1 khóa học duy nhất này. Giáo viên luôn cố gắng hết mình và nhiệt tình để bạn hiểu bài. Tôi muốn giới thiệu khóa học này cho tất cả mọi người.""",,- Kho lớn lưu trữ câu hỏi và câu trả lời.,,,Câu hỏi 2-1,2 câu hỏi,Quiz,
,,,"""Khóa học hay về Hadoop cho người mới bắt đầu.""",,,,,Hiểu biết dữ liệu lớn,5:16,Video,
,,,"""Đây có lẽ là một trong những khóa học đầu tư mang lại nhiều lợi luận nhất mà tôi từng thấy và tham gia. Tôi đã từng tham gia một vài khóa học ngắn hạn miễn phí khác để học về Hadoop và mô hình lập trình xử lý tập dữ liệu lớn song song từ một góc độ khác và tôi luôn mong muốn quay trở lại khóa học này.""",,,,,Câu hỏi 2-2,4 câu hỏi,Quiz,
,,,MỤC TIÊU KHÓA HỌC,,,,,Hadoop và những giải pháp khác,7:25,Video,
,,,"Có thể lúc bắt đầu bạn không có kiến thức nào về Hadoop. Khóa học sẽ giúp bạn thiết lập Hadoop, học Hadoop và lập trình MApreduce đến một trình độ bạn có thể sẵn sàng với kỳ thi lấy chứng chỉ từ Cloudera: Cloudera Certified Hadoop Developer (CCD-410)",,,,,Câu hỏi 2-3,4 câu hỏi,Quiz,
