Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
hoc-lap-trinh-game-phat-trien-game-bang-unity-5,Học lập trình game - Phát triển game bằng Unity 5,Phát triển và thiết kế dòng game đầy thú vị. Học lập trình C# sử dụng môi trường Unity 4.6 và Unity 5. 7 game 2D và 3D đầu tiên của bạn trên nền tảng web và các thiết bị di động.,Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1: Giới thiệu và cài đặt,,,,
,,,Unity 5 sẵn sàng: Chúng tôi sử dụng môi trường Unity 4.6 trong phần đầu của khóa học vì tính hoàn thiện và ổn định của nó. Nội dung về Unity 5 sẽ được thêm vào phiên bản mới của khóa học này ngay sau khi các lỗi lớn của môi trường Unity 5 được cải thiện.,- Có máy Mac hoặc PC chạy được phần mềm Unity 3D.,- Hơn 244 khóa học và 45 giờ nội dung!,- Thành thạo và tự tin sử dụng máy tính.,,Mở đầu khóa học,1:08,Video,
,,,Đây là trường học phát triển trò chơi trực tuyến thành công vang dội trên Kickstarter.,- Một bản sao miễn phí của Unity 4.6.3 cho phần đầu.,"- Tìm hiểu ngôn ngữ lập trình C #, một ngôn ngữ hiện đại mạnh mẽ.",- Những nghệ sĩ muốn tìm hiểu để đưa các tác phẩm của mình vào các trò chơi.,,Ghi chú,14 trang ,Document,
,,,"Tìm hiểu cách tạo ra các trò chơi điện tử sử dụng môi trường Unity 3D - một công cụ phát triển game hoàn toàn miễn phí. Bài giảng bắt đầu từ những phần cực kỳ đơn giản, vì vậy không cần bạn phải có kinh nghiệm trước đó. Với phần hướng dẫn trực tuyến của chúng tôi, bạn sẽ phải ngạc nhiên với những gì bạn có thể đạt được.",- Một bản sao miễn phí của Unity 5 cho phần sau.,- Rèn luyện thái độ tích cực khi giải quyết vấn đề.,- Những nhà phát triển muốn rèn luyện lại kỹ năng qua việc viết code,,Cách sử dụng các khóa học,5:11,Video,
,,,"Được hưởng những quyền lợi từ sự hỗ trợ toàn cầu của các học viên khác và trên diễn đàn từ Ben & Brice hàng ngày. Tiếp tục xây dựng một vài PONG game phiên bản 3D có tính năng đa người chơi cùng bảng xếp hạng điểm trực tuyến,...","- Một bản sao của Blender, phần mềm miễn phí từ www.Blender.org",- Có được kiến thức tổng quát về việc sáng tạo trò chơi.,"- Hữu ích hơn nếu có một số kinh nghiệm lập trình, không bắt buộc.",,Câu Hỏi Thường Gặp,11 trang ,Document,
,,,"Bạn sẽ có quyền truy cập vào một diễn đàn trong khóa học để thảo luận về các chủ đề mở rộng ngoài khóa học, hoặc xem các video cá nhân. Diễn đàn thảo luận ngày càng phát triển mạnh mẽ của chúng tôi sẽ giúp bạn học và chia sẻ ý tưởng của mình với các học viên khác. Nếu các bạn xem các đánh giá về chúng tôi thì sẽ biết rằng mọi người yêu thích chức năng này như thế nào.",,Được học cách lập trình định hướng đối tượng bằng thực hành.,- Những người mới bắt đầu luôn sẵn sàng làm việc chăm chỉ.,,Cài đặt phần mềm Unity 3D,6:38,Video,
,,,"Khóa học này là một dự án, do đó bạn sẽ không chỉ được học các khái niệm lập trình đơn thuần mà còn được áp dụng chúng ngay lập tức với các trò chơi thực. Bạn sẽ không bao giờ gặp khó khăn trong việc tìm kiếm tài liệu vì luôn có sẵn tất cả các tập tin dự án cùng những tài liệu tham khảo và nguồn lực bổ sung. Bạn sẽ có những video giới thiệu, sơ đồ dễ hiểu, bản quay màn hình chất lượng cao và hơn thế nữa.",,"- Học hỏi thêm về .NET, các ngôn ngữ khác và nhiều hơn nữa.",,,Đôi nét về Unity & MonoDevelop,2:45,Video,
,,,Hãy xem độ dài và các đánh giá.,,,,,Giới thiệu trình biên soạn Unity (Editor),7:50,Video,
,,,"Với mỗi bản thử nghiệm game mà bạn tạo nên, bạn sẽ tuân theo quy trình này...",,,,,MonoDevelop 101,4:15,Video,
,,,Thử thách tự làm toàn bộ một trò chơi của riêng mình.,,,,,Lưu và đóng dự án của bạn,5:10,Video,
,,,Được chỉ dẫn từng bước cách để tạo nên nó,,,,,3 ngôn ngữ được so sánh,2:54,Video,
,,,Có những thử thách để vận dụng nhuần nhuyễn kiến thức của mình.,,,,,Cách để đưa ra những câu hỏi tốt,15:26,Video,
,,,"Bạn sẽ được học trọn đời chỉ với một lần trả phí. Tác giả của khóa học này là những lập trình viên có kỹ năng và kinh nghiệm; hay những game thủ cuồng nhiệt, vì vậy, họ hoàn toàn có khả năng giải thích những khái niệm phức tạp một cách dễ hiểu cũng như giúp cho việc học trở nên thoải mái. Đa số các khóa học chỉ dạy sử dụng ngôn ngữ lập trình C#. Bạn sẽ được học về C#, bao gồm cả Test Driven Development, một kỹ năng cực kỳ đáng giá. Kết thúc khóa học bạn sẽ cực kỳ tự tin với những kiến thức cơ bản về viết code và phát triển game, và sẽ khao khát được học thêm nhiều hơn nữa.",,,,,Các nguồn thông tin hữu ích,2 trang ,Document,
,,,Khóa học này sẽ KHÔNG dạy điều gì?,,,,,Trắc nghiệm tổng kết chương,6 câu hỏi,Quiz,
,,,"Bởi nội dung của khóa học đã khá lớn, chúng tôi không thể đề cập đến tất cả các vấn nội dung vào lúc này. Đây là một số điều chúng tôi sẽ không đề cập tới:",,,,Phần 2: Number Wizard: Bản phác cơ bản,,,,
,,,- Tính năng Unity Pro,,,,,Giới thiệu về Number Wizard,1:51,Video,
,,,- Tôi ưu hóa hiệu năng,,,,,Ghi chú,2 trang ,Document,
,,,- Các plugin chỉnh sửa và thay đổi,,,,,In ra đoạn chữ trong bảng điều khiển (Console),7:31,Video,
,,,- Procedural generation*,,,,,Sử dụng các biến,4:23,Video,
,,,- Thay đổi engine vật lý*,,,,,Phản hồi khi ấn phím,8:09,Video,
,,,* Đã có các khóa học nhỏ giới thiệu về những nội dung này,,,,,Trắc nghiệm giữa chương,8 câu hỏi,Quiz,
