Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
hoc-va-tim-hieu-ve-angularjs,Học và tìm hiểu về AngularJS,"Nắm vững các khái niệm của AngularJS và Javascript, thiết kế các định hướng tùy chỉnh và xây dựng một trang ứng dựng đơn.",Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1: Bắt Đầu,,,,
,,,CẬP NHẬT KHÓA HỌC NGÀY: 3/24/2015,- Một trình duyệt và một trình biên soạn để lập trình.,- Hơn 54 bài giảng và 7 giờ giảng dạy.,- Lập trình viên Web và thiết kế viên muốn học AngularJS.,,Giới thiệu,2:30,Video,
,,,Bao gồm cả thông tin về phiên bản tiếp theo - AngularJS 2.0!,- Có kiến thức HTML và Javascript căn bản.,"- Học các khái niệm Javascript cơ bản, bước đầu cho AngularJS.",- Những ai đã học về AngularJS nhưng không hiểu rõ.,,Big Words và AngularJS,1:20,Video,
,,,"Hiểu biết về AngularJS có thể giúp bạn kiếm được một công việc hoặc cải thiện công việc hiện tại của bạn. Đó là một kỹ năng có nhu cầu lớn trong ngành công nghiệp phát triển web hiện đại, giúp phát triển phần mềm web trở nên dễ dàng hơn. Đó là lý do tại sao nó trở nên thông dụng và được Google hỗ trợ.",,"- Viết mã nguồn AngularJS nhanh hơn, tốt hơn bằng cách tìm hiểu xem Angular JS được xây dựng như thế nào.",- Lập trình viên và thiết kế viên những người đã sử dụng jQuery nhưng cảm thất chán nản vì phải thực hiện mọi thứ bằng tay.,,Theo dõi khóa học này ở độ phân giải cao,Văn bản,Text,
,,,"Khóa học này sẽ thức tỉnh bạn và giúp bạn tiến bộ nhanh chóng, và sẽ cung cấp cho bạn những kiến thức cốt lõi mà bạn cần để hiểu sâu và xây dựng các ứng dụng Angular JS. Sau đó, chúng ta sẽ xây dựng một trang ứng dựng đơn dựa trên nền tảng này.",,"-  Trở nên thành thạo các thuật ngữ AngularJS, ví dụ như DI (dependency injection), services, directives, transclusion,...",,"Phần 2: Model, View, Whatever...",,,,
,,,"Trong khóa học này chúng ta sẽ thiết kế các dịch vụ tùy chỉnh, xây dựng các tùy chỉnh directives , tìm hiểu về cách gắn kết hai chiều, thiết kế một ứng dụng dự báo thời tiết như một trang ứng dụng đơn lẻ, và nhiều điều hơn nữa. Cả hai mã nguồn ""khởi đầu"" và ""hoàn chỉnh"" sẽ được cung cấp trong khóa học.",,"-  Khám phá sức mạnh của DI, và cách mà AngularJS thực hiện nó.",,,Vấn đề của AngularJS là cố gắng giải quyết mọi thứ,6:03,Video,
,,,CÁC ĐÁNH GIÁ,,"-  Thiết kế tùy chỉnh directives và tiết kiệm thời gian và công sức bằng việc sử dụng các ""uesable component"".",,,"Mô hình, Hiển thị, Bất cứ cái gì ....",2:48,Video,
,,,"""Khóa học hay nhất tôi từng thấy"" ""Một bài giới thiệu về AngularJS tốt nhất mà tôi từng tham gia"" ""Một cách dạy mới mẻ về AngularJS"" ""Một trong những khóa học tốt nhất tôi từng theo học"" ""Giảng viên trực tuyến giỏi nhất tôi từng biết từ trước đến giờ"" ""Tôi đã từng theo học rất nhiều khóa học về Angular và tôi nghĩ đây là khóa học tốt nhất từ trước đến giờ"" ""Phong cách giảng dạy hay nhất tôi từng thấy từ trước đến nay""",,"- Hiểu SPA (Single trang Application - Trang ứng dụng đơn) là gì, và cách mà chúng hoạt động.",,,HTML nói riêng: Các thuộc tính tùy chỉnh,5:23,Video,
,,,"Nếu bạn chưa từng biết tới AngularJS, hoặc nếu bạn đã từng học nó nhưng đôi khi bạn vẫn cảm thấy có gì đó khó hiểu thì đây chính là khóa học AngularJS dành cho bạn. Để học về AngularJS, bạn phải hiểu nó trước đã.",,- Xây dựng một trang ứng dụng đơn (SPA) bằng AngularJS.,,,Javascript nói riêng: Các Không gian tên toàn cục (Global Namespaces),5:12,Video,
,,,Tôi đã xây dựng khóa học theo cách mà tôi muốn học khi tôi bắt đầu tìm hiểu về AngularJS: một khóa học giải thích các khái niệm và cách thực hiện chúng theo trật tự tốt nhất để bạn có thể học và hiểu một cách sâu sắc.,,"- Trở thành lập trình viên AngularJS bằng cách giải thích cho người khác nữa, bởi vì bạn hiểu nó hơn những người khác.",,,Tải về mã nguồn của khóa học này,Văn bản,Text,
,,,"Trong khóa học này, bạn sẽ:",,"- Có thêm các bài giảng mới miễn phí trong suốt năm 2015, tiếp tục với phát triển AngularJS 2.0, và được khuyến mãi học phí khóa học AngularJS 2.0 trong năm 2016!",,,"Modules, Apps, và các trình điều khiển (Controller)",9:20,Video,
,,,"- Tìm hiểu về cách vận hành của AngularJS, bao gồm các vấn đề như các định hướng (directives), DI (dependency injection), cách gắn kết dữ liệu hai chiều (data binding), vòng lặp phân loại, các theo dõi (watcher), và còn nhiều nữa.",,,,Phần 3: Dịch vụ và DI (Dependency Injection),,,,
,,,". Tìm hiểu về các nguyên tắc Javascript và HTML cơ bản được sử dụng trong AngularJS, ví dụ như các thuộc tính tùy chỉnh, mảng, hash, và vòng lặp xử lý sự kiện.",,,,,Javasript nói riêng: DI (Dependency Injection),4:45,Video,
,,,- Lập trình các service tùy chỉnh.,,,,,Scope,4:56,Video,
,,,". Thiết kế các directive tùy chỉnh, hiểu được các khái niệm như biên dịch (compile), đường dẫn (link), và scope.",,,,,Javascript nói riêng: Hàm và Chuỗi,4:01,Video,
,,,- Xây dựng một trang ứng dựng đơn sử dụng AngularJS.,,,,,AngularJS thực hiện DI như thế nào?,3:03,Video,
,,,- Sử dụng phiên bản hiện có của AngularJS - phiên bản 1.3!,,,,,Sử dụng các service khác,20:27,Video,
,,,- Tiếp tục với phiên bản tiếp theo AngularJS 2.0!,,,,,Javascript nói riêng: Mảng và Hàm.,3:05,Video,
,,,AngularJS không khó để học. Sai lầm lớn nhất mà các khóa học lập trình mắc phải đó là hy vọng rằng người học sẽ học được nhờ việc đọc mã nguồn của người khác. Nhưng thực sự thì không bao giờ giống như trong hướng dẫn.,,,,,DI và Tối giản hóa (Minification),11:10,Video,
,,,"Tôi tin rằng cách tốt nhất để học là phải hiểu rõ một công cụ hoạt động thế nào, xem ví dụ và sau đó tự thực hành. Khóa học này được xây dựng, với mục đích giúp các bạn học và hiểu về AngularJS.",,,,Phần 4: Gắn Kết Dữ Liệu (Data binding) và Định Hướng (Directives),,,,
,,,"Lưu ý: Khóa học này sẽ cung cấp cho các bạn các mã nguồn có thể tải về. Bạn sẽ được cung cấp một mã nguồn ""khởi đầu"", và từ đó bạn bắt đầu viết ra đoạn mã nguồn của bạn, và đem so sánh với mã nguồn ""hoàn chỉnh"" sau cùng.",,,,,Phạm vi và Nội suy,9:58,Video,
,,,"(THÔNG BÁO: Các học viên đã tham gia khóa học sẽ được giảm học phí cho khóa học AngularJS 2.0 được xuất bản vào năm 2016, khi AngularJS 2.0 được ra mắt và phát triển!)",,,,,Định hướng và Hai cách Data Binding,13:13,Video,
,,,,,,,,Javascript nói riêng: Vòng lặp xử lý sự kiện,3:21,Video,
,,,,,,,,Trình theo dõi (Watcher) và Vòng lặp phân loại (Digest Loop),17:28,Video,
,,,,,,,,Các định hướng (directives) phổ biến,19:51,Video,
,,,,,,,,Các định hướng (directives) phổ biến (phần 2),4:13,Video,
,,,,,,,,Javascript nói riêng: Object XMLHTTPRequest,9:14,Video,
,,,,,,,,Dữ liệu ngoài và $http,13:17,Video,
,,,,,,,Phần 5: Trang Ứng Dụng Đơn (SPA - Single trang Applications),,,,
,,,,,,,,"Angular Aside: Multiple Controllers, Multiple Views",4:37,Video,
,,,,,,,,HTML và Javascript nói riêng: Trang ứng dụng đơn và Mã Hash,8:47,Video,
,,,,,,,,"Định tuyến (Routing), Bản mẫu (Templates), và Trình điều khiển (Controllers)",14:37,Video,
,,,,,,,,"Định tuyến (Routing), Bản mẫu (Templates), và Trình điều khiển (Controllers) (phần 2)",6:26,Video,
,,,,,,,Phần 6: Các Service Tùy Chỉnh,,,,
,,,,,,,,Javascript nói riêng: Singletons (Duy nhất),6:09,Video,
,,,,,,,,Tạo một Service,12:59,Video,
,,,,,,,Phần 7: Các Directive Tùy Chỉnh,,,Video,
,,,,,,,,HTML nói riêng: Các thành phần dùng lại được (Reusable Components),2:24,Video,
,,,,,,,,Javascript và Angular nói riêng: Tên Biến và Bình Thường Hóa,6:32,Video,
,,,,,,,,Angular và bình thường hóa tên các thuộc tính,1 câu hỏi,Quiz,
,,,,,,,,Tạo một Directive,18:37,Video,
,,,,,,,,Bản mẫu,3:12,Video,
,,,,,,,,"Phạm vi (@, =, và một số ký tự)",13:29,Video,
,,,,,,,,"Phạm vi (@, =, và một số ký tự) (phần 2)",5:59,Video,
,,,,,,,,"Phạm vi (@, =, và một số ký tự) (phần 3)",10:27,Video,
,,,,,,,,Directive lặp lại,3:30,Video,
,,,,,,,,Tìm hiểu về 'Biên dịch' (Compile),18:06,Video,
,,,,,,,,Tìm hiểu về 'Đường dẫn' (Link),3:04,Video,
,,,,,,,,Tìm hiểu về 'Nhúng' (Transclusion),5:44,Video,
,,,,,,,Phần 8: Cùng Nhau Xây Một Ứng Dụng Nào! (Trong Thời Gian Kỷ Lục!),,,,
,,,,,,,,Một Trang ứng dụng đơn (SPA) dự báo thời tiết,12:48,Video,
