Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
kiem-soat-chung-tang-dong-giam-chu-y-tren-nao-bo,Kiểm soát chứng tăng động giảm chú ý (ADHD) trên não bộ,Tối đa hóa năng suất và truyền lệnh cho trí óc bằng cách sử dụng những thói quen và các tế bào thần kinh thông minh.,Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1: Tìm hiểu chuyên sâu về ADHD,,,,
,,,"3 NGÀY ĐẶC BIỆT: Giá đang giảm 30%, chỉ cho 3 ngày tới.",Không yêu cầu phải biết trước những kiến thức liên quan vì tôi sẽ chỉ cho bạn những điều cơ bản về ADHD thông qua những kỹ năng nâng cao mà cả những chuyên gia về tâm thần học cũng chưa biết đâu nhé!,- Hơn 33 bài giảng với mỗi 2.5 giờ mỗi bài!,- Khóa học này dành cho người có người thân bị hội chứng ADHD.,,Giới thiệu,4:21,Video,
,,,"Tham gia khóa học và nhận ngay sách trực tuyến/sách hướng dẫn bán chạy nhất 'Kiểm soát hội chứng tăng động giảm chú ý (ADHD) trên bộ não của bạn', miễn phí cho học viên!",,"- Trước khi kết thúc khóa học, bạn sẽ cảm thấy tự tin đương đầu với thử thách ADHD đang chờ phía trước!","- Khóa học còn dành cho những chuyên gia bận rộn, những bà mẹ đơn thân, những người trên 25 tuổi dễ bị xao nhãng, giáo viên, bác sĩ, bảo vệ, bất cứ ai bị chứng ADHD và muốn học cách quản lý nó tốt hơn.",,Những điều bạn chưa từng biết về ADD/ADHD,5:23,Video,
,,,Tham gia cùng với hơn 4000 học viên khác,,- Bạn sẽ học chính xác cách ADHD hoạt động trong não bộ.,,,Câu hỏi,2 câu hỏi,Quiz,
,,,Thất bại liên miên do không thể tập trung khiến bạn chán nản?,,"- Các việc gây ra tình trạng thiếu tổ chức, dễ bị xao nhãng và mất động lực.",,Phần 2: Xác định phương hướng của bạn,,,,
,,,Bạn hãy tưởng tượng rằng cuộc sống của bạn sẽ tốt hơn nhiều nếu bạn có thể tuyệt đối hóa năng lượng của bộ não và thực hiện được nhiều thứ hơn?,,- Các hoạt động tinh thần đã được khoa học chứng minh để chữa trị ADHD,,,Mục đích của bạn là gì và vì sao nó quan trọng?,4:17,Video,
,,,"Bạn đã bao giờ được nghe câu chuyện về những người đã trở thành luật sư, bác sĩ, doanh nhân thành đạt một cách khó tin dù bị chẩn đoán mắc hội chứng ADHD??",,"- Những công cụ, cách thức giúp bạn sử dụng tất cả những biện pháp trên để có được kết quả tích cực nhanh nhất có thể!",,,Cách sử dụng mục đích của bạn để luôn cảm thấy có động lực?,3:21,Video,
,,,Để tôi bật mí cho các bạn nhé: không phải vì họ thông minh hơn mà bởi họ cố gắng nhiều hơn,,,,,Tài liệu,1 trang,Document,
,,,">>Thực ra khóa học này đến từ chính những điều mà tôi đã từng trải nghiệm từ khi là một trong những đứa trẻ có vấn đề về ADHD đến lúc trở thành doanh nhân điều hành 2 công ty, khởi nghiệp từ năm 22 tuổi (mà vẫn đi du lịch thế giới được). Vậy nên tôi thật lòng muốn chia sẻ với bạn cách đã giúp tôi đạt được thành công ấy, cách mà tôi đã thay đổi thói quen và cách sống !<<",,,,,Bài tập,3 trang,Document,
,,,"Tham gia lớp học để tìm hiểu chiến lược mà cộng đồng này đã thực hiện để thành công trong nhiều năm. Nó giúp bạn tạo được nhiều mối quan hệ tốt hơn, chăm lo cho sự nghiệp, giấc ngủ và ổn định tâm trí!",,,,,Câu hỏi trắc nghiệm,2 câu hỏi,Document,
