Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
ky-thuat-can-chien-doi-khang-kieu-quan-doi,Kỹ thuật cận chiến: Đối kháng kiểu quân đội,"Kỹ thuật phòng thủ cận chiến sẽ giúp bạn hạ gục đối thủ trẻ hơn, khỏe hơn, thậm chí to lớn hơn và giúp bạn có nhiều kinh nghiệm hơn trong chiến đấu",Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1: Cận chiến: Bài học căn bản,,,,
,,,"Hạ gục ngay lập tức bất kì ""kẻ xấu"" nào dám đụng lên người mình hoặc người thân của bạn",,,,,Cận chiến tay không  I,10:16,Video,
,,,"""Hệ thống cận chiến hay nhất thế giới này sẽ giúp Bạn làm nhục những kẻ trẻ hơn, khỏe hơn, bất kể tuổi tác của bạn, giới tính, hay khả năng thể chất ... thậm chí không cần phải quá nỗ lực!",,,,,Cận chiến tay không  II,22:15,Video,
,,,"Hướng dẫn phòng thủ số 1 thế giới của Captain Chris, cho thấy hệ thống rất đơn giản của ông giúp ngăn cản hạ gục được những kẻ tấn công bạo lực mà không cần yêu cầu gì về tuổi tác, kinh nghiệm của bạn hoặc mức độ thể chất đặc biệt nào.",,,,,Cận chiến tay không  III,27:38:00,Video,
,,,"• Có trên những chương trình truyền hình lớn như : ""The Today Show"", ""Eye Witness News"", ""Good Day New York"", và nhiều hơn nữa.",,,,,Cận chiến tay không  IV,19:37,Video,
,,,"• Hệ thống được sử dụng bởi lực lượng Hoa Kỳ và Lực lượng đặc biệt của Vương quốc Anh , những thợ săn tiền thưởng, lính đánh thuê và thậm chí cả những sát thủ chuyên nghiệp - những người không có thời gian để học những kỹ thuật phức tạp về võ thuật hay những sự di chuyển biểu diễn như ta vẫn thường xem, (vốn không có hiệu quả trong những cuộc thực chiến.)",,,,,Cận chiến tay không  V,20:29,Video,
,,,"• Đơn giản, dễ dàng, bạn có thể làm chủ các kỹ thuật này chỉ trong một ngày cuối tuần ngắn ... thậm chí cả khi bạn chưa bao giờ đặt chân vào một lớp học tự vệ nào.",,,,Phần 2: Cận chiến: kỹ thuật bổ sung,,,,
,,,"•Hiệu quả, thậm chí không cần có kinh nghiệm bạn vẫn có thể sử dụng nó để đưa những tên côn đồ, kẻ cướp...ở bất cứ đâu vào phòng cấp cứu .",,,,,Kỹ thuật luyệ xúc giác I,25:29:00,Video,
,,,Chi tiết khóa học,,,,,Kỹ thuật luyệ xúc giác II,17:49,Video,
,,,"Nếu bạn muốn biết làm thế nào, ngay cả một người chậm chạp, quá khổ hay không có nhiều kinh nghiệm thể tự vệ, chỉ trong một giờ hoặc ít hơn, bạn sẽ biết nhiều hơn về cách tồn tại sau những cuộc tấn công và sống sót trên đường phố tàn bạo hơn hầu hết các bậc thầy karate đai đen ... Lá thư dưới đây sẽ cho bạn biết phải làm thế nào.",,,,,Kỹ thuật luyệ xúc giác III,29:36:00,Video,
,,,Đây là câu chuyện,,,,,Cận chiến dành cho phụ nữ I,20:14,Video,
,,,"Tên tôi là Captain Chris ... Tôi là một người hướng dẫn và chiến đấu tự vệ tay không. Tôi giữ đai đen trong 5 võ thuật khác nhau, một Mỹ Huy chương vàng trong Grappling, và các sinh viên của tôi bao gồm những kẻ sát thủ chuyên nghiệp, lính đánh thuê quốc tế, Lực lượng đặc biệt và hàng trăm đại lý quân sự và thực thi pháp luật ưu tú ở các cấp địa phương, tiểu bang và liên bang đặc biệt US & UK",,,,,Cận chiến dành cho phụ nữ II,20:00,Video,
