Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
thiet-ke-ung-dung-dien-thoai-trong-sketch-3-thiet-ke-ux-va-ui-tu-buoc-dau-tien,Thiết kế ứng dụng điện thoại trong Sketch 3: thiết kế UX và UI từ bước đầu tiên,"Thiết kế ứng dụng di động từ những bước đầu tiên bằng cách sử dụng Sketch 3. Nắm rõ được Sketch 3, phương pháp UX, thiết kế biểu tượng và thiết kế giao diện người dùng.",Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1: Giới thiệu,,,,
,,,Rob Percival sẽ đưa bạn đến với Xcode và dạy bạn làm thế nào để thực hiện thiết kế thực tế trong x-code. Bạn sẽ tiến một bước gần hơn để trở thành một front end designer!,- Bạn cần có Mac để chạy Sketch 3,"- Hơn 94 bài giảng và 10,5 giờ nội dung!","Khóa học này được dành cho người mới trong thiết kế đồ họa, tất cả những ai muốn tìm hiểu về sketch 3 để trở thành chuyên gia.",,Giới thiệu,2:44,Video,
,,,"Tìm hiểu các vấn đề cơ bản về UX, thiết kế ứng dụng và các công cụ bạn cần phải có để xây dựng các ứng dụng di động thân thiện và đẹp nhất trên app store hoặc google play store với việc sử dụng Sketch 3.","- Nếu sử dụng một máy tính hệ điều hành Windows, bạn cần phải chắc chắn rằng bạn đang chạy môi trường ảo OS X",- Tạo ra được các thiết kế ứng dụng di động từ đầu,,Phần 2: Tại sao lại chọn Sketch 3?,,,,
,,,Xây dựng một nền tảng vững chắc trong Sketch 3 và thiết kế UX với bản hướng dẫn này cho người mới bắt đầu.,,- Phương pháp tiếp cận thiết kế ứng dụng với UX,,,Photoshop VS Sketch 3,9:04,Video,
,,,Sketch 3: Giới thiệu & Công cụ,,- Biết cách làm tốt nhất để nghiên cứu UX,,,Sự khác biệt lớn nhất giữa Sketch 3 và Adobe Photoshop là gì?,1 câu hỏi,Quiz,
,,,Sketch School 101: Một nghiên cứu kĩ về Sketch 3,,"- Nắm vững các chương trình mới nhất cho các nhà thiết kế đồ họa, Sketch 3",,Phần 3: Bắt đầu với Sketch 3,,,Video,
,,,Nghiên cứu và thiết kế UX với thực hành tốt nhất.,,- Tạo tùy chỉnh các gói biểu tượng,,,Thử học để biết với Sketch 3,14:11,Video,
,,,Xây dựng một trong những ứng dụng thân thiện và đẹp nhất của người dùng trên cửa hàng ứng dụng.,,- Bắt đầu một sự nghiệp mới là một nhà thiết kế UI / UX,,,Một vài Sketch khác,9:00,Video,
,,,Học một kỹ năng mới có thể thay đổi cuộc sống của bạn.,,,,,Nguồn Sketch 3,4:11,Video,
,,,"Sketch 3 giúp mọi người có khả năng xây dựng các thiết kế chuyên nghiệp dù chưa có kinh nghiệm gì. Bạn phải có một Macbook, hoặc đang chạy môi trường OS X trên máy tính của bạn. Sketch 3 miễn phí trong 30 ngày.",,,,,Khái niệm cơ bản về Sketch,3 câu hỏi,Quiz,
,,,"Bạn sẽ trở thành một nhà thiết kế cứng tay về ứng dụng di động vào cuối của khóa học này, và sẽ có những kỹ năng để thiết kế bất cứ cái gì. Bạn thậm chí sẽ có thể ứng dụng được điều này vào thực hiện phát triển ứng dụng di động thực sự.",,,,Phần 4: Học bằng cách thiết kế,,,,
,,,Nhà thiết kế ứng dụng di động kiếm được trung bình trên 100k$/ năm (số US),,,,,Cập nhật: Thay đổi Preset Artboard,2:48,Video,
,,,Nội dung và Tổng quan,,,,,File Acorn Screen Sketch,Văn bản,Text,
,,,"Khóa học này rất hữu ích cho những người chưa hề có kinh nghiệm thiết kế, hoặc các nhà thiết kế có kinh nghiệm mà muốn học và nắm vững được Sketch 3. Với nội dung hơn hẳn các khóa Sketch khác, bạn sẽ tìm hiểu được nguyên tắc cơ bản trong thiết kế ứng dụng và hiểu được rõ các khái niệm thiết kế mà người dùng là trọng tâm (UCD)-User centered design). Nguồn dữ liệu luôn được bổ sung, các câu hỏi và các bài tập sẽ được đưa ra thông qua khóa học để liên tục kiểm tra kiến ​​thức của bạn.",,,,,Bắt đầu màn hình ứng dụng đầu tiên ,14:15,Video,
,,,"Bắt đầu với một giới thiệu về giao diện Sketch 3, chúng ta sẽ nhanh chóng tiến đến học thiết kế về màn hình ứng dụng di động đầu tiên. Vừa học vừa làm, bạn sẽ hiểu rõ được các tính năng cơ bản và các công cụ phác thảo.",,,,,Sự phân trang,10:39,Video,
,,,"Khi bạn đã làm chủ được những vấn đề cơ bản này, khóa học sẽ tiếp tục đưa bạn tới Sketch School 101 và UX School 101. Trong các phần này, bạn sẽ được học mọi thứ để có thể nắm rõ Sketch 3 cũng như các nguyên tắc cơ bản về nghiên cứu trải nghiệm người dùng và ứng dụng.",,,,,Kết thúc Top Content,5:55,Video,
,,,"Sau đó là lúc áp dụng kiến ​​thức và kỹ năng mới học được để tạo ra các ứng dụng riêng của chúng ta, từ ý tưởng, để nghiên cứu, để giả định, để thiết kế, và cuối cùng là tạo mẫu và triển khai cho lập trình viên.",,,,,Bắt đầu đồ thị,8:08,Video,
,,,"Người học hoàn thành khóa học sẽ biết cách tạo ra các ứng dụng tuyệt đẹp và có thể sử dụng, mang lại cho mọi người một nụ cười trên khuôn mặt.",,,,,Thêm đường đứt nét & các giá trị,18:51,Video,
,,,"Bằng cách hoàn thành việc tải hình ảnh và các tập tin sketch, bạn có thể làm việc cùng với tác giả như khi bạn hoàn thành từng bước để nhận được một giấy chứng nhận hoàn thành khi kết thúc khóa học.",,,,,Thách thức 1,1:34,Video,
,,,,,,,,Giải pháp 1,10:01,Video,
,,,,,,,,Các đường cho biểu đồ của chúng ta,9:21,Video,
,,,,,,,,Hiệu ứng Cool ,9:12,Video,
,,,,,,,,Đóng màn hình,6:18,Video,
,,,,,,,Phần 5: Sketch School 101,,,,
,,,,,,,,Chào mừng bạn đến Sketch School,2:59,Video,
,,,,,,,,Giao diện,6:25,Video,
,,,,,,,,Kiến thức về lớp (Layer),11:08,Video,
,,,,,,,,Giới thiệu về Shapes,1:51,Video,
,,,,,,,,Chỉnh sửa Shapes,6:46,Video,
,,,,,,,,Thuật toán Boole,4:03,Video,
,,,,,,,,"Transform, Masking, Scissors, Rotate Copies, Pencil",6:26,Video,
,,,,,,,,Giới thiệu về Text và Text Rendering,8:12,Video,
