Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
tron-bo-cac-huong-dan-cuc-ki-huu-ich-de-tro-thanh-mot-nha-thiet-ke,Trọn bộ các hướng dẫn cực kì hữu ích để trở thành một nhà thiết kế!,Tìm kiếm câu trả lời cho mọi câu hỏi của bạn và giúp bạn theo đuổi đam mê của mình. Học mọi thứ bạn cần biết để trở thành một nhà thiết kế,Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1,,,,
,,,Về khóa học :,Không có điều kiện tiên quyết,- Hơn 60 bài giảng với thời lượng 2h mỗi video,"Khóa học thích hợp cho bất kỳ ai có kế hoạch trở thành một nhà thiết kế nhưng vẫn còn hoài nghi về khả năng của mình, không biết phải bắt đầu từ đâu hay đang tìm kiếm nguồn hướng dẫn.",,Tôi cần những gì để trở thành một nhà thiết kế?,4:41,Video,
,,,Đây là khóa học đầu tiên và duy nhất cung cấp video hướng dẫn đầy đủ về việc làm thế nào để trở thành một nhà thiết kế. Bạn sẽ có hiểu biết nhiều hơn về ngành công nghiệp sáng tạo này và tìm ra cách tốt nhất để bắt đầu công việc của một nhà thiết kế. Khóa học sẽ giúp bạn trả lời một số câu hỏi như:,Không yêu cầu về tài liệu,- Khóa học sẽ hướng dẫn bạn lộ trình để trở thành một nhà thiêt kế,,,Công việc của một nhà thiết kế sẽ như thế nào ?,1:56,Video,
,,,Như thế đã đủ sáng tạo để trở thành một nhà thiết kế chưa?,,- Tìm ra câu trả lời cho mọi câu hỏi của bạn để trở thành một nhà thiết kế,,,Trở thành một nhà thiết kế sẽ kiếm được bao nhiêu?,2:58,Video,
,,,Làm việc tự do hay làm việc toàn thời gian thì tốt hơn?,,- Bạn có thể học được những thông tin và kiến thức vô giá về ngành công nghiệp sáng tạo này,,,Chi phí để trở thành một nhà thiết kế,4:32,Video,
,,,Bạn sẽ kiếm được bao nhiêu nếu trở thành một nhà thiết kế?,,- Khóa học sẽ giúp bạn bước những bước đầu tiên theo đuổi đam mê của mình.,,,Freelancer và làm việc toàn thời gian.,3:50,Video,
,,,Làm thế nào để tìm kiếm công việc trong ngành công nghiệp sáng tạo này?,,,,,Tôi nên làm việc ở đâu?,4:06,Video,
,,,Những lĩnh vực thiết kế nào được gợi ý cho bạn?,,,,,Học tập trọn đời,2:02,Video,
,,,Làm thế nào để tham gia và giật giải các cuộc thi về thiết kế và nhiều hơn nữa,,,,Phần 2 : Không gian làm việc ,,,,
,,,Đến với Martin và học hỏi từ kinh nghiệm qua nhiều năm của anh ấy trong ngành công nghiệp sáng tạo này. Khóa học sẽ cung cấp những hướng dẫn có hệ thống và tỉ mỉ cho bất kì ai đang có kế hoạch bước chân vào ngành công nghiệp sáng tạo này.,,,,,Ghế,1:53,Video,
,,,Khóa học bao gồm:,,,,,Bàn làm việc,2:42,Video,
,,,56 video hướng dẫn giảng dạy,,,,,Giá sách,1:03,Video,
,,,Bản PDF những ký năng cần thiết của các nhà thiết kế và hướng nghiệp,,,,,Bảng ghim,1:03,Video,
,,,Bản PDF các thuật ngữ trong lĩnh vực thiết kế,,,,,Máy tính để bàn,0:56,Video,
,,,Bản PDF về phím tắt hữu ích,,,,Phần 3: Các công cụ,,,,
,,,Bản PDF Bộ sưu tập các trang web hữu ích cho các nhà thiết kế,,,,,Máy tính và màn hình,1:37,Video,
,,,Khóa học sẽ kéo dài bao lâu?,,,,,Bộ sao lưu vào lưu trữ,1:10,Video,
,,,"Hoàn thành chỉ trong 2h, khóa học sẽ giúp bạn tiết kiệm thời gian để có được mọi điều cần biết để trở thành một nhà thiết kế",,,,,Máy tính bảng Wacom và bút cảm ứng,3:05,Video,
,,,Khóa học có cấu trúc như thế nào?,,,,,Máy ảnh,0:49,Video,
,,,"Khóa học bao gồm 56 video, mỗi video giải thích về một chủ đề cụ thể quan trọng cho mỗi nhà thiết kế. Bạn nên xem các video theo thứ tự nhưng bạn cũng có thể xem bất kì cái nào mà bạn muốn.",,,,,Điện thoại di động và máy tính bảng,1:07,Video,
,,,Tại sao lại tham gia khóa học này?,,,,Phần 4 :Ứng dụng,,,,
,,,Khóa học sẽ giúp bạn rất nhiều nếu bạn đang xem xét trở thành một nhà thiết kế để bạn quyết định xem mình có thích hợp với ngành thiết kế này không đồng thời tìm ra con đường thích hợp để bước chân vào ngành công nghiệp sáng tạo này.,,,,,Phần mềm photoshop,4:56,Video,
,,,,,,,,Phần mềm đồ họa,1:07,Video,
,,,,,,,,Ứng dụng thiết kế Indesign,1:31,Video,
,,,,,,,,Ứng dụng đọc file Acrobat,1:17,Video,
,,,,,,,,Ứng dụng làm màu Lightroom,0:45,Video,
,,,,,,,,Ứng dụng kết nối Bridge,0:35,Video,
,,,,,,,Phần 5 : Các kĩ năng cần thiết,,,,
,,,,,,,,Giới thiệu,1:27,Video,
,,,,,,,,Thành phần và bố cục,2:00,Video,
,,,,,,,,Lý thuyết về hình ảnh kỹ thuật số,3:25,Video,
,,,,,,,,Quản lý tập tin,2:15,Video,
,,,,,,,,Các lớp,1:44,Video,
,,,,,,,,Màu sắc,1:59,Video,
,,,,,,,,Sự chọn lựa,1:48,Video,
,,,,,,,,Hóa trang,1:12,Video,
,,,,,,,,Công cụ trang trí,1:32,Video,
,,,,,,,,Điều chỉnh,1:07,Video,
,,,,,,,,Chỉnh sửa hình ảnh và bộ lọc,1:53,Video,
,,,,,,,,Công cụ vẽ,1:19,Video,
,,,,,,,,Trình bày bản in,1:40,Video,
