Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
hoc-cach-thiet-ke-san-pham-de-thu-hut-nguoi-dung,Học cách thiết kế sản phẩm để thu hút người dùng,Học cách áp dụng tâm lý học để tạo ra các sản phẩm thu hút qua đó khiến người xem làm điều mà bạn muốn,Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1: Giới thiệu khóa học,,,,
,,,HƠN 5500 HỌC VIÊN THÀNH CÔNG ĐÃ HỌC QUA KHÓA HỌC NÀY,"Bạn quen thuộc với trang web, ứng dụng và sản phẩm công nghệ",- Hơn 83 bài giảng và 4.5 tiếng nội dung.,"Chuyên gia User Experience (UX), nhà thiết kế, phát triển trang web, chuyên gia thiết kế thân thiện sử dụng và quản lý sản phẩm.",,Chào mừng tới giới thiệu khóa học Thiết kế hấp dẫn,1:38,Video,
,,,"Bạn sẽ học được mọi thứ cần thiết về con người, cách họ suy nghĩ, quyết định, ghi nhớ và động lực của họ là gì. Bạn sẽ học cách áp dụng tâm lý học với thiết kế trang web, ứng dụng và sản phẩm để cho chúng hấp dẫn, thu hút người khác làm điều mà bạn muốn.",,"- Hiểu được yếu tố tâm lý áp dụng cho hành vi sử dụng trang web, ứng dụng và sản phẩm công nghệ của con người.",,,Giới thiệu giáo viên,1:39,Video,
,,,Về khóa học này:,,- Sử dụng những quy luật tâm lý này để tạo ra những thiết kế hấp dẫn.,,,Giới thiệu khóa học sẽ bao gồm những gì,2:50,Video,
,,,Hơn 5000 học viên hài lòng,,- Hiểu cái gì thật sự tạo động lực khiến con người hành động.,,Phần 2: Nhu cầu muốn hòa nhập,,,,
,,,Hàng tá đánh giá 5 sao từ học viên hài lòng,,,,,Giới thiệu về nhu cầu hòa nhập,1:59,Video,
,,,Cam kết hoàn tiền vô điều kiện trong 30 ngày đầu,,,,,Xã hội công nhận,4:29,Video,
,,,Mọi nâng cấp bài giảng trong thời gian tới đều miễn phí.,,,,,Sự có đi có lại giữa con người,3:25,Video,
,,,Bạn sẽ học:,,,,,Nghiên cứu về sự có đi có lại giữa con người,2:12,Video,
,,,Làm thế nào để sử dụng khao khát hòa nhập của con người để khiến họ hành động theo ý mình,,,,,Nhượng bộ,3:17,Video,
,,,Cái gì khiến ý tưởng và sản phẩm trở nên đại trà,,,,,Tin tưởng,3:30,Video,
,,,Tại sao video trên mạng lại hấp dẫn vậy,,,,,Giới thiệu: Danh từ và động từ,1:57,Video,
,,,Cách con người suy nghĩ và quyết định,,,,,Cạnh tranh,2:41,Video,
,,,Một người có thể nhớ được bao nhiêu lượng thông tin,,,,,Trở nên nổi tiếng,3:04,Video,
,,,Trình bày thông tin như thế nào để khách hàng muốn tìm hiểu nhiều hơn nữa,,,,,Ví dụ về nhu cầu hòa nhập ,7:32,Video,
,,,Phông chữ và độ dài của dòng ảnh hưởng tới cách mọi người đọc như thế nào?,,,,,Bài tập về nhu cầu hòa nhập,1:06,Video,
,,,Tại sao quà khuyến mãi không phải lúc nào cũng tốt.,,,,,Câu hỏi trắc nghiệm về nhu cầu hòa nhập.,10 questions,Quiz,
,,,Cách sử dụng những câu chuyện mọi người kể về chính mình để khiến họ hành động.,,,,Phần 3: Bản năng,,,,
,,,Tại sao nỗi sợ thất bại lại là một động lực mạnh mẽ và cách sử dụng nó.,,,,,Giới thiệu về bản năng,3:15,Video,
