Alias,Title,Subtitle,Promo Video,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
huong-dan-hoc-excel-can-ban,Hướng dẫn học Excel căn bản,Excel là một công cụ văn phòng không thể thiếu cho tất cả anh chị em văn phòng,https://youtu.be/FIrbKnYcl10?list=PL-xa1TEVfkucth_q1Dt1SsrT5s-mBAvjz,Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương 1: Làm quen với Excel,,,,
,,,,"Excel là một công cụ văn phòng không thể thiếu cho tất cả nhân viên văn phòng nhất là với những người còn chưa biết gì về Excel. Do vậy, chúng tôi mang đến cho bạn một khóa học đầy đủ nhất về Excel, gúp bạn sử dụng thành thạo công cụ văn phòng cần thiết này. Khóa học được thiết kế từ căn bản qua các video hướng dẫn chi tiết, có ví dụ cụ thể nhằm giúp các bạn có thể nắm bắt và ghi nhớ nội dung trong khóa học",Bạn chỉ cần có một chiếc máy tính để thực hành ngay.,Nắm bắt được các kỹ năng căn bản của excel,Sinh viên sắp ra trường cần thêm kỹ năng Excel để có thể tự tin đi xin việc,,Hướng dẫn học EXCEL cơ bản - 01 - Nhập dữ liệu và tính toán đơn giản trong Excel,4:54,video,https://www.youtube.com/watch?v=l4s_eTwW0q4&list=PL-xa1TEVfkucth_q1Dt1SsrT5s-mBAvjz
,,,,,,Hiểu được các hàm thông dụng trong excel và có khả năng ứng dụng trong công việc tính toán bảng tính.,"Nhân viên văn phòng, kế toán cần bổ trợ thêm công cụ hữu ích là Excel",,"Hướng dẫn học EXCEL cơ bản - 02 - Thêm, bớt hàng hoặc cột trong Excel",2:24,video,https://www.youtube.com/watch?v=al5vkcHJP9s&list=PL-xa1TEVfkucth_q1Dt1SsrT5s-mBAvjz&index=2
,,,,,,Sử dụng excel thành thạo.,Giảng viên Excel của các Trung tâm khác qua học hỏi,,Hướng dẫn học EXCEL cơ bản - 03 - Xoá dữ liệu trong bảng tính trong excel,2:28,video,https://www.youtube.com/watch?v=8G3e5nkaWbw&list=PL-xa1TEVfkucth_q1Dt1SsrT5s-mBAvjz&index=3
,,,,,,,Học viên đã tham gia khóa học Excel tại Trung tâm khác mà không thu được hiệu quả như mong muốn,,Hướng dẫn học EXCEL cơ bản - 04 - Định dạng căn bản trong excel,1:58,video,https://www.youtube.com/watch?v=3jbFc89Mic0&list=PL-xa1TEVfkucth_q1Dt1SsrT5s-mBAvjz&index=5
,,,,,,,,,Hướng dẫn học EXCEL cơ bản - 05 - Chèn hình ảnh vào trong bảng tính trong excel,3:05,video,https://www.youtube.com/watch?v=1YE8Vsbt0W8&index=4&list=PL-xa1TEVfkucth_q1Dt1SsrT5s-mBAvjz
,,,,,,,,,Hướng dẫn học EXCEL cơ bản - 06 - Copy và Paste dữ liệu trong excel,3:05,video,https://www.youtube.com/watch?v=ucA6hX4AIBM&index=6&list=PL-xa1TEVfkucth_q1Dt1SsrT5s-mBAvjz
,,,,,,,,,Hướng dẫn học EXCEL cơ bản - 07 - Copy và Paste dữ liệu (tiếp) trong excel,2:41,video,https://www.youtube.com/watch?v=IsuAZFP4R88&index=7&list=PL-xa1TEVfkucth_q1Dt1SsrT5s-mBAvjz
,,,,,,,,,Hướng dẫn học EXCEL cơ bản - 08 - Cut và Paste dữ liệu trong excel,2:15,video,https://www.youtube.com/watch?v=QSs_7-IQTfw&index=8&list=PL-xa1TEVfkucth_q1Dt1SsrT5s-mBAvjz
,,,,,,,,,Hướng dẫn học EXCEL cơ bản - 09 - Địa chỉ tuyệt đối và địa chỉ tương đối trong excel,2:47,video,https://www.youtube.com/watch?v=cetfjfgthOM&list=PL-xa1TEVfkucth_q1Dt1SsrT5s-mBAvjz&index=9
,,,,,,,,Chương 2: Biểu đồ trong Excel,,,,
,,,,,,,,,Hướng dẫn học EXCEL cơ bản - 10 - Vẽ biểu đồ hình cột,2:26,video,https://www.youtube.com/watch?v=X2Ud30ho9K4&list=PL-xa1TEVfkucth_q1Dt1SsrT5s-mBAvjz&index=10
