Alias,Title,Subtitle,Promo Video,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
hoc-seo-co-ban,Học SEO cơ bản,Cách giúp đưa trang web của bạn lên trang đầu của Google.,https://youtu.be/AF4v5fFhpVA?list=PL-xa1TEVfkueiUJS-cm0B9kjI6hoBIA1K,Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1: Cơ bản về SEO - Search Engine Optimization,,,,
,,,,Nếu bạn đang muốn:,"Cần có kiến thức nền tảng về Marketing, các công cụ tìm kiếm","Sau khóa học này, các bạn sẽ học được cách tối ưu hóa vị trí của mình trên công cụ tìm kiếm của Google.",Những người đang muốn:,,SEO là gì?,16:00,Video,https://www.youtube.com/watch?v=vbJP-3toUUo&list=PL-xa1TEVfkueiUJS-cm0B9kjI6hoBIA1K
,,,,1. Tăng lượng truy cập vào trang web của bạn từ Google,,,1. Tăng lượng truy cập vào trang web của bạn từ Google,,Hướng dẫn lập blog,24:00,Video,https://www.youtube.com/watch?v=Z4t5803dtC4&list=PL-xa1TEVfkueiUJS-cm0B9kjI6hoBIA1K&index=2
,,,,2. Đưa trang web của bạn lên TRANG ĐẦU của công cụ tìm kiếm,,,2. Đưa trang web của bạn lên TRANG ĐẦU của công cụ tìm kiếm,,Phân tích đối thủ cạnh tranh,27:00,Video,https://www.youtube.com/watch?v=w0xZMTb-jnI&index=3&list=PL-xa1TEVfkueiUJS-cm0B9kjI6hoBIA1K
,,,,"Chúc mừng, đây chính là khóa học mà bạn đang cần!",,,,,Phân tích từ khóa,24:00,Video,https://www.youtube.com/watch?v=7o4MM5Y_9lg&index=4&list=PL-xa1TEVfkueiUJS-cm0B9kjI6hoBIA1K
,,,,"SEO là viết tắt của cụm từ Search Engine Optimization - tối ưu hóa công cụ tìm kiếm. Cụ thể, trong khóa học này, các bạn sẽ được học cách tối ưu hóa vị trí của mình trên công cụ tìm kiếm của Google.",,,,,SEO Onpage là gì? Cách viết nội dung cho website của bạn,17:00,Video,https://www.youtube.com/watch?v=Aa1jQtmbEi4&index=5&list=PL-xa1TEVfkueiUJS-cm0B9kjI6hoBIA1K
,,,,Khóa học sẽ bao gồm các phần sau:,,,,,Các yếu tố Onpage khác,18:00,Video,https://www.youtube.com/watch?v=H9Xh5bLHH88&list=PL-xa1TEVfkueiUJS-cm0B9kjI6hoBIA1K&index=6
,,,,- Nghiên cứu từ khóa,,,,,SEO Offpage - Backlink là gì?,27:00,Video,https://www.youtube.com/watch?v=_1l5zGOSwc8&list=PL-xa1TEVfkueiUJS-cm0B9kjI6hoBIA1K&index=7
,,,,- Phân tích đối thủ cạnh tranh,,,,,,,,
,,,,- Thế nào là SEO On-page? Làm thế nào để SEO On-page?,,,,,,,,
,,,,- Thế nào là SEO Off-page? Làm thế nào để SEO Off-page?,,,,,,,,
,,,,- Cách viết nội dung tối ưu cho trang web của bạn.,,,,,,,,
,,,,"Đừng chần chừ, hãy đăng kí học ngay hôm nay để nắm bắt được một trong những công cụ mạnh mẽ nhất trong Online Marketing!",,,,,,,,
