Alias,Title,Subtitle,Promo Video,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
lap-trinh-android-co-ban,Lập trình Android cơ bản,Đây là khóa học cơ bản dành cho những bạn mới bắt đầu và làm quen với lập trình ứng dụng trên nền tảng Android.,https://youtu.be/9FDpRmRt8fs?list=PL-xa1TEVfkufjt98IrGn4diWXZ0hEMpvV,Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương 1: Tổng quan về Android,,,,
,,,,Bạn đam mê lập trình trên thiết bị di động và muốn bắt đầu với Android? Đây là Khóa học cơ bản dành cho những bạn mới bắt đầu và làm quen với lập trình ứng dụng trên nền tảng Android. Hãy bắt đầu với khóa học này nhé.,"Không cần có quá nhiều kiến thức về lập trình Android, tuy nhiên cần hiểu một số thuật ngữ lập trình để có thể hiểu được bài giảng.","Với hơn 20 video và 5 giờ nội dung, khóa học đào tạo trực tuyến Android này được thiết kế để cung cấp cho bạn một nền tảng vững chắc trong lập trình Android. Đây là những kiến thức rất nền tảng để bạn bắt đầu phát triển ứng dụng cho riêng bạn để có thể đưa lên các gian hàng google play và kiếm tiền. Thông qua các video bài giảng được thiết kế theo hướng thực hành được giải thích cặn kẽ từ việc cài đặt môi trường lập trình, các khai báo, quản lý các tài nguyên, cách sử dụng các control đơn giản, vòng đời của các sự kiện trong ứng dụng Android và nhiều hơn thế nữa.",Những ai muốn học và muốn kiếm tiền từ việc lập trình ứng dụng Android.,,"Giới thiệu về Android, các phiên bản của Android",13:07,Video,https://www.youtube.com/watch?v=ZPBVEtu8IqE&list=PL-xa1TEVfkufjt98IrGn4diWXZ0hEMpvV&index=3
,,,,"Với hơn 20 video và 5 giờ nội dung, khóa học đào tạo trực tuyến Android này được thiết kế để cung cấp cho bạn một nền tảng vững chắc trong lập trình Android. Đây là những kiến thức rất nền tảng để bạn bắt đầu phát triển ứng dụng cho riêng bạn để có thể đưa lên các gian hàng google play và kiếm tiền. Thông qua các video bài giảng được thiết kế theo hướng thực hành được giải thích cặn kẽ từ việc cài đặt môi trường lập trình, các khai báo, quản lý các tài nguyên, cách sử dụng các control đơn giản, vòng đời của các sự kiện trong ứng dụng Android và nhiều hơn thế nữa.",Cần có thiết bị Android.,,,,Thực hành cài đặt Android và tạo ứng dụng đầu tiên,08:01,Video,https://www.youtube.com/watch?v=bpS44QuYWj0&list=PL-xa1TEVfkufjt98IrGn4diWXZ0hEMpvV&index=4
,,,,Hãy bắt đầu khóa học Android cơ bản này ngay bây giờ và tìm hiểu làm thế nào viết các ứng dụng Android cho riêng bạn để có thể kiếm tiền nhé!,,,,,Kiến trúc tổ chức thư mục và file trong ứng dụng Android,09:23,Video,https://www.youtube.com/watch?v=4TSZITGfzzY&index=5&list=PL-xa1TEVfkufjt98IrGn4diWXZ0hEMpvV
,,,,,,,,Chương 2: Giao diện người dùng (User Interface UI),,,,
,,,,,,,,,Các khái niệm về Layout,03:51,Video,https://www.youtube.com/watch?v=nkVQ2Qivk3c&index=6&list=PL-xa1TEVfkufjt98IrGn4diWXZ0hEMpvV
,,,,,,,,,Thực hành về LinearLayout,09:06,Video,https://www.youtube.com/watch?v=PIzvglqqoWk&list=PL-xa1TEVfkufjt98IrGn4diWXZ0hEMpvV&index=7
,,,,,,,,,Thực hành về RelativeLayout,17:25,Video,https://www.youtube.com/watch?v=-UZoPCWWmf0&list=PL-xa1TEVfkufjt98IrGn4diWXZ0hEMpvV&index=8
,,,,,,,,,Thực hành TableLayout,11:06,Video,https://www.youtube.com/watch?v=MhUCN2JkV0s&index=9&list=PL-xa1TEVfkufjt98IrGn4diWXZ0hEMpvV
,,,,,,,,,"Thực hành về TextView, Edit Text, Button",15:31,Video,https://www.youtube.com/watch?v=FuS2Fxk4D0s&list=PL-xa1TEVfkufjt98IrGn4diWXZ0hEMpvV&index=10
,,,,,,,,,Thực hành xử lý sự kiện trên button,15:48,Video,https://www.youtube.com/watch?v=hcNqialBgmA&index=11&list=PL-xa1TEVfkufjt98IrGn4diWXZ0hEMpvV
,,,,,,,,,Thực hành về RadioButton,11:43,Video,https://www.youtube.com/watch?v=FN1Xe7Kh1Fg&list=PL-xa1TEVfkufjt98IrGn4diWXZ0hEMpvV&index=12
,,,,,,,,,Thực hành về control Checkbox,14:40,Video,https://www.youtube.com/watch?v=o7YU6vkKMro&index=13&list=PL-xa1TEVfkufjt98IrGn4diWXZ0hEMpvV
,,,,,,,,,Khái niệm về Activity,10:53,Video,https://www.youtube.com/watch?v=D3k8vrMQNYU&index=14&list=PL-xa1TEVfkufjt98IrGn4diWXZ0hEMpvV
,,,,,,,,,Thực hành về Activity,27:50:00,Video,https://www.youtube.com/watch?v=gQ5z_1yZxls&index=15&list=PL-xa1TEVfkufjt98IrGn4diWXZ0hEMpvV
,,,,,,,,,Thực hành về Menu,21:54,Video,https://www.youtube.com/watch?v=tZm61jQE-Do&index=16&list=PL-xa1TEVfkufjt98IrGn4diWXZ0hEMpvV
,,,,,,,,,Thực hành ActionBar,13:32,Video,https://www.youtube.com/watch?v=yHgxMQHFsPY&list=PL-xa1TEVfkufjt98IrGn4diWXZ0hEMpvV&index=17
