Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
chung-chi-amazon-web-services,Chứng chỉ Amazon Web Services (AWS),Bạn muốn vượt qua kỳ thi lấy chứng chỉ kiến trúc sư AWS? Bạn muốn trở thành Nhà cung cấp dịch vụ web Amazon? Hãy tham gia khóa học này!,Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1: Giới thiệu về khóa học,,,,
,,,"Chứng nhận Dịch vụ Web Amazon (AWS) đang nhanh chóng trở thành chứng chỉ cần phải có đối với bất kỳ chuyên gia CNTT nào đang làm việc cùng với AWS. Khóa học này được thiết kế để giúp bạn vượt qua các kỳ thi lấy chứng chỉ Kiến trúc sư giải pháp (CSA) của AWS. Ngay cả khi bạn chưa bao giờ đăng nhập vào hệ thống AWS trước đó, vào cuối kì đào tạo của chúng tôi, bạn sẽ có thể tham dự kỳ thi CSA. Không yêu cầu kiến ​​thức lập trình và cũng đòi hỏi kinh nghiệm về AWS. Với chứng chỉ AWS này trên hành trang của bạn, bạn sẽ được ưa chuộng bởi nhiều nhà tuyển dụng và bạn có thể yêu cầu một mức lương cao.",Bạn sẽ cần phải thiết lập một tài khoản trên AWS (bạn có thể được quyền sử dụng các lớp miễn phí của khóa học này),Hơn 68 bài giảng và 10 giờ nội dung!,AWS hoàn toàn dành cho những người mới bắt đầu. Không yêu cầu kinh nghiệm về AWS.,,Giới thiệu và khái quát,10:36,Video,
,,,"Chúng ta sẽ bắt đầu khóa học này với cái nhìn tổng quan về nền tảng của AWS và sau đó đi sâu vào các yếu tố riêng của AWS. Bạn sẽ khám phá Route53, EC2, S3, Autoscaling, Load Balancing, RDS, RedShift, DynamoDB, EMR, VPC...","Tên miền riêng của bạn (không bắt buộc, nhưng được khuyến khích)",Vượt qua các kỳ thi lấy chứng chỉ AWS Certified Solutions Architect - Associate,Các kiến trúc giải pháp được tạo sẵn,,Diễn đàn trò chuyện trên AWS của các bậc thầy về Điện toán đám mây,2:45,Video,
,,,Hãy đọc những nhận xét tuyệt vời về khóa học của chúng tôi!,"Một máy Mac hoặc PC/Laptop HĐH Windows, Linux",Thiết kế các Websites nổi trội và có khả năng nâng cấp cao trên AWS,Các lập trình viên quan tâm đến các ứng dụng khai triển trên AWS,,Kiểm tra bản thiết kế chi tiết,9:44,Video,
,,,"An miêu tả về khóa học này như là ""khóa học tốt nhất hiện có"".",,Trở nên thành thạo về hệ AWS,"Những người quan tâm đến khả năng mở rộng lưu trữ cao, các ứng dụng chịu lỗi (như Wordpress và Joomla) trên đám mây AWS",,Bắt đầu khóa học - Những thứ bạn sẽ cần,5:18,Video,
,,,"Thành Khôi cho rằng khóa học này là ""của trời cho"".",,Trở thành thành viên Amazon được công nhận,,,Các ứng dụng Android/iPhone tùy chọn,2:23,Video,
,,,"Còn Anh Khoa nhận xét rằng ""Nếu bạn đang luyện thi thì bạn nhất định phải tham gia vào khóa học này"".",,Trở thành một bậc thầy về Điện toán đám mây,,Phần 2: Cái nhìn khái quát chung nhất về AWS,,,,
,,,"AWS liên tục phát triển nền tảng của các khóa học, trong năm 2014 đã có hơn 500 sản phẩm mới. Trong năm 2015, chúng tôi sẽ liên tục cập nhật các khóa học này với nội dung mới, do vậy bạn sẽ không phải lo lắng lỡ hay trượt bài kiểm tra chứng nhận AWS vì những nội dung này.",,,,,Lịch sử cho đến nay,5:02,Video,
,,,"Hầu hết các bài giảng kéo dài từ 5 đến 12 phút, hầu như không bài giảng nào dài quá 20 phút. Tôi là một nhà Quản trị các hệ thống, nhà Phát triển, và người nhận được chứng chỉ AWS Certified Solutions Architect với hơn 17 năm kinh nghiệm trong lĩnh vực CNTT. Khóa học này rẻ hơn so với các khóa học khác bởi vì tôi không có ý định làm công việc này như một công việc toàn thời gian, mà còn hơn thế, bởi vì tôi yêu thích việc dạy về Điện toán đám mây. Vì vậy, tham gia cùng với tôi để trở thành Bậc thầy về đám mây điện toán ngay hôm nay và nhận chứng chỉ AWS qua việc hoàn thành khóa học trực tuyến trên AWS của chúng tôi ngay hôm nay!",,,,,Các khái niệm và những bộ phận cấu thành - Phần 1,10:05,Video,
,,,,,,,,Các khái niệm và những bộ phận cấu thành - Phần 2,14:34,Video,
,,,,,,,,Tinh thần quá tải? Đừng căng thẳng!,2:17,Video,
,,,,,,,,Các câu hỏi kiểm tra chung nhất,10 câu hỏi,Quiz,
,,,,,,,Phần 3: Quản lý Truy cập Danh tính (IAM),,,,
,,,,,,,,Các khái niệm IAM ,3:12,Video,
,,,,,,,,Cấu hình IAM cho tài khoản của bạn,16:37,Video,
,,,,,,,,Tích hợp thư mục hoạt động,3:15,Video,
,,,,,,,,IAM - Tóm tắt,1:18,Video,
,,,,,,,,IAM - Câu hỏi trắc nghiệm,7 câu hỏi,Quiz,
,,,,,,,"Phần 4: Hệ thống lưu trữ đối tượng AWS và CDN - S3,  Glacier and CloudFront",,,,
,,,,,,,,Phần mềm S3 Essentials,12:12,Video,
,,,,,,,,Tạo ra một thùng chứa S3,4:23,Video,
,,,,,,,,Kiểm soát phiên bản S3,6:06,Video,
,,,,,,,,Quản lý Cycle Life S3 và Glacier ,7:12,Video,
,,,,,,,,Tổng quan về Cloud Front,4:46,Video,
,,,,,,,,Tạo ra một hệ thống máy chủ (Content Delivery Network),9:42,Video,
,,,,,,,,S3 - Tóm tắt,2:35,Video,
,,,,,,,,S3 - Câu hỏi kiểm tra,11 câu hỏi,Quiz,
,,,,,,,"Phần 5: Dịch vụ điện toán đám mây của Amazon, Amazon Elastic Computer (EC2) - Thư viện Javascript của AWS",,,,
,,,,,,,,Giới thiệu và khái quát,12:19,Video,
,,,,,,,,Chúng ta hãy cùng tham gia nào! Khởi động phiên bản EC2,19:31,Video,
,,,,,,,,Cơ bản về Thông tin bảo mật Nhóm,7:59,Video,
,,,,,,,,Âm lượng và thiết bị chụp nhanh,14:06,Video,
,,,,,,,,Tạo một phiên bản EC2 Windows và Nhóm RAID,11:22,Video,
,,,,,,,,Tạo một Amazon Machine Image (AMI),7:46,Video,
,,,,,,,,Cân bằng tải và Kiểm tra tình trạng máy chủ,9:23,Video,
,,,,,,,,Cloud Watch EC2,8:18,Video,
,,,,,,,,Dòng lệnh AWS và EC2,12:25,Video,
,,,,,,,,Sử dụng các vai trò của IAM cùng với EC2,9:46,Video,
,,,,,,,,Sử dụng các tập lệnh tự khởi động,6:14,Video,
,,,,,,,,Phiên bản siêu dữ liệu EC2,2:18,Video,
,,,,,,,,Khởi động các nhóm Config,3:54,Video,
,,,,,,,,Cơ bản về Tự động cân bằng,13:27,Video,
,,,,,,,,Việc gộp nhóm hợp lý của các phiên bản EC2 - Một bài kiểm tra cần phải biết!,3:16,Video,
,,,,,,,,Lambda - Các khái niệm,8:17,Video,
,,,,,,,,Tóm tắt về EC2,3:40,Video,
,,,,,,,,Câu hỏi kiểm tra về EC2,9 câu hỏi,Quiz,
,,,,,,,Phần 6: Route53,,,,
,,,,,,,,Giới thiệu và khái quát về Route53,19:43,Video,
,,,,,,,,Câu hỏi kiểm tra về Route53,5 câu hỏi,Quiz,
,,,,,,,Phần 7: Các cơ sở dữ liệu trên AWS,,,,
,,,,,,,,Giới thiệu và khái quát,12:22,Video,
,,,,,,,,Khởi động phiên bản Cơ sở dữ liệu quan hệ (RDS),12:06,Video,
,,,,,,,,Kết nối RDS bằng việc sử dụng các nhóm bảo mật,18:26,Video,
