Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
thanh-thao-linux-chi-trong-5-ngay-nang-su-nghiep-cua-ban-len-tam-cao-moi,Thành thạo Linux chỉ trong 5 ngày - Nâng sự nghiệp của bạn lên tầm cao mới,"Trong khóa học này, bạn sẽ học cách sử dụng các kỹ năng Linux được nhiều người yêu cầu để được thăng tiến hoặc bắt đầu một công việc mới như là một nhà Linux chuyên nghiệp.",Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1: Tổng quan,,,,
,,,HÃY THAM GIA CÙNG 9000 HỌC VIÊN ĐÃ THÀNH ĐẠT KHÁC TRONG KHÓA HỌC NÀY,Mong muốn học hỏi.,"Hơn 40 bài giảng với nội dung kéo dài 4,5 giờ!
",Những người bị hạn chế về mặt thời gian.,,Tổng quan khóa học,2:30,,
,,,"Nếu bạn muốn học cách sử dụng Linux và nâng sự nghiệp của bạn lên một cấp độ mới nhưng lại bị áp lực về  thời gian thì xin hãy đọc tiếp. Xin chào. Khi tôi hỏi mọi người cho tôi biết khó khăn lớn nhất của họ khi học Linux là gì, tất cả đều trả lời giống nhau: Thời gian.","Đến cuối khóa học, bạn sẽ hiểu được những nguyên tắc cơ bản của hệ điều hành Linux và có khả năng áp dụng kiến ​​thức đó một cách thiết thực và hữu ích.","Đến cuối khóa học, bạn sẽ hiểu được những nguyên tắc cơ bản của hệ điều hành Linux và có khả năng áp dụng kiến ​​thức đó một cách thiết thực và hữu ích.",Bất cứ ai mong muốn học về Linux.,Phần 2: Ngày thứ nhất,,,,
,,,"Đó là lý do tại sao tôi đã tạo ra khóa học này. Hãy cho tôi 45 phút mỗi ngày trong 5 ngày tới và tôi sẽ dạy cho bạn biết chính xác những gì bạn cần biết về hệ điều hành Linux. Bạn sẽ tìm hiểu các khái niệm và các lệnh quan trọng nhất, và tôi thậm chí sẽ hướng dẫn bạn từng bước thông qua một số ví dụ thực hành.",,,"Những người có kinh nghiệm về Linux, nhưng muốn học về các giao diện dòng lệnh Linux.",,Khái quát và Giới thiệu,6:46,,
,,,"Vì vậy, nếu bạn có thể dành vài phút một ngày và muốn học chi tiết, muốn biết tường tận về hệ điều hành Linux thì hãy tham gia cùng với tôi và các học viên khác trong khóa học này ngay hôm nay.",,,Người dùng đang sử dụng Linux muốn trở thành người sử dụng chuyên nghiệp.,,Truy cập vào một hệ thống Linux,7:41,,
,,,Tặng thêm miễn phí khóa học - Làm thế nào để cài đặt WordPress trên hệ thống Linux riêng của bạn.,,,Người cần kiến ​​thức về Linux cho một dự án cá nhân hoặc doanh nghiệp như việc lưu trữ trang web trên một máy chủ Linux.,,Cài đặt VirtualBox trên Windows,1:28,,
,,,"Như là phần thưởng cho việc đăng ký tham gia khóa học này, bạn sẽ nhận được một danh sách kiểm tra từng bước một và video dạy cho bạn làm thế nào để cài đặt WordPress trên hệ thống Ubuntu Linux. Đầu tiên, bạn sẽ học phần mềm nào được yêu cầu cho WordPress để chạy trên một hệ thống Linux. Tiếp theo, bạn sẽ được cung cấp các lệnh chính xác để cài đặt tất cả các phần mềm và WordPress cần thiết.",,,"Các chuyên gia cần phải học về Linux để trở nên hiệu quả hơn trong công việc. Nhân viên Helpdesk, kỹ sư hỗ trợ ứng dụng, và các nhà phát triển ứng dụng được yêu cầu để sử dụng các hệ điều hành Linux.",,Cài đặt VirtualBox trên Mac,1:11,,
,,,"Bạn sẽ học cách cài đặt máy chủ của một trang web, cách làm thế nào để cài đặt một máy chủ cơ sở dữ liệu, làm thế nào để tạo ra người sử dụng cơ sở dữ liệu, và làm thế nào để cấu hình WordPress. Trước khi bạn biết điều đó, bạn sẽ có một blog đầy đủ chức năng. Đây là một cách tuyệt vời để đưa kỹ năng Linux mới tìm thấy của bạn để sử dụng tốt. Hoàn toàn ngẫu nhiên, nhưng rất thú vị: Nếu bạn muốn lưu trữ blog của bạn trên bộ cài đặt Linux, tôi sẽ cho bạn thấy được bạn có thể có được kho lưu trữ chỉ với 5 đô một tháng.",,,"Những người muốn theo đuổi sự nghiệp như là một quản trị viên hệ thống Linux hoặc kỹ sư, nhưng cần những kiến thức cơ bản đầu tiên.",,Cài đặt Linux bằng cách sử dụng một hình ảnh cho VirtualBox,4:50,,
,,,____________________,,,"Các nhà nghiên cứu, giáo sư đại học, và sinh viên đại học sẽ được sử dụng các máy chủ Linux để tiến hành nghiên cứu hoặc làm việc khóa học hoàn chỉnh.",,Cài đặt Ubuntu từ đầu,10:24,,
,,,"Học về Linux chỉ trong 5 ngày mà không có bất kỳ yêu cầu nào về kiến thức nền hoặc kiến ​​thức về Linux. Bạn không cần kiến thức trước đó để tạo lợi thế trong khóa học này. Bạn sẽ được hướng dẫn từng bước thông qua một cách tiếp cận hợp lý và có hệ thống. Bởi vì các khái niệm, các lệnh, hoặc biệt ngữ mới mà bạn gặp phải, chúng được giải thích bằng ngôn ngữ đơn giản, làm cho bất cứ ai cũng có thể hiểu được một cách dễ dàng. Dưới đây là những gì bạn sẽ được học khi tham gia vào khóa học Học về Linux trong 5 ngày:",,,,,Kết nối,11:27,,
