Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
oracle-sql,Oracle SQL (Ngôn ngữ truy vấn có cấu trúc - Structured Query Language),Khám phá các kỹ thuật SQL cần thiết với khóa học của chúng tôi! Bạn có thể trở thành nhà phát triển SQL kiếm được hơn 70k đô la trong ngành công nghiệp CNTT.,Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,,Chào mừng bạn đến với khóa học!,5:45,Video,
,,,"Đến với khóa học của chúng tôi, bạn có thể trở thành nhà phát triển SQL và cthậm chí có thể kiếm ra tiền chỉ trong 7 tuần.
",Bất kỳ sinh viên có kiến thức điều khiển máy tính thì đều đủ điều kiện để tham gia khóa học này,Hơn 111 bài giảng và 5.5 giờ nội dung!,"Khoá học SQL này rất hữu ích cho người mới bắt đầu, những người không quen sử dụng các cú pháp SQL.",,Bí quyết giúp bạn tận dụng khóa học tốt nhất,1 trang,Document,
,,,"Khóa học hiệu quả, dễ dàng và nhanh chóng này sẽ nâng bạn lên một trình độ hiểu biết mới, từ người không có chút kinh nghiệm nào về kỹ năng viết SQL có thể kiếm được tiền như các nhà phát triển SQL chuyên nghiệp.",,Hiểu thuật ngữ Cơ sở dữ liệu,"Khóa học cũng rất phù hợp với các bạn sinh viên, những người đang tìm kiếm một lớp học nâng cao về SQL và một số khái niệm cơ sở dữ liệu quan trọng.",Phần 1: Cài đặt phần mềm,,,,
,,,"Khóa học này sẽ dạy cho bạn tất cả mọi thứ bạn cần biết về SQL, từ học các khái niệm cơ sở dữ liệu đến viết SQL để tương tác với cơ sở dữ liệu.",,Đọc dữ liệu từ cơ sở dữ liệu,Kiến thức lập trình không yêu cầu phải có.,,Cài đặt Oracle,4:07,Video,
,,,"Trong suốt khóa học, tôi sẽ sử dụng phương pháp dưới đây để giúp bạn tư duy và giúp đỡ bạn trong việc hình thành các câu lệnh SQL.",,Tạo dữ liệu trong cơ sở dữ liệu,,,Cài đặt Java SDK,2:20,Video,
,,,Bài toán về nhu cầu kinh doanh: Nhà quản lý của bạn đưa cho bạn một báo cáo về tổng khối lượng bán hàng trong tháng Một theo ngày và ở các thành phố khác nhau,,Giải quyết các hạn chế về kiểu dữ liệu được lưu trữ,,,Cài đặt SQL Developer,3:21,Video,
,,,Các câu hỏi sẽ phải xuất hiện trong đầu của bạn để bạn có thể xây dựng truy vấn:,,Nâng cao hiệu suất sử dụng Index,,,Chạy các tập lệnh cần thiết cho khóa học,2:12,Video,
,,,Câu hỏi / Câu trả lời,,,,,Các tập lệnh cho các bài tập thực hành,4 trang,Document,
,,,Chọn? / SELECT,,,,Phần 2: Các khái niệm Cơ sở dữ liệu,,,,
,,,"Cột nào? / NGÀY, THÀNH PHỐ",,,,,Tập tin là gì?,2:05,Video,
,,,Gộp? / SUM(VOLUME),,,,,Bảng là gì?,2:23,Video,
,,,Giới từ? / FROM,,,,,Cơ sở dữ liệu là gì?,3:15,Video,
,,,Bảng nào bao gồm dữ liệu các đơn đặt hàng bán hàng? / SALES,,,,,Cơ sở dữ liệu quan hệ (RDBMS) là gì?,1:47,Video,
,,,Lọc? / WHERE SALES_DATE BETWEEN ’01-JAN-2015’ and ’31-JAN-2015’,,,,,Giao dịch là gì?,2:27,Video,
,,,"Gộp nhóm? / GROUP BY NGÀY, THÀNH PHỐ",,,,,"Bốn thuộc tính Tính nguyên tố (Atomicity), Tính nhất quán (Consistency), Tính tách biệt (Isolation), Tính bền vững (Durability) (ACID) là gì ??",2:40,Video,
,,,Kết hợp các câu trả lời ở trên để tạo thành các SQL dưới đây,,,,,Nhà cung cấp RDBMS,1:17,Video,
,,,"SELECT NGÀY, THÀNH PHỐ, SUM(volume)",,,,,Quy tắc CODD,2 slides,Slide,
