Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
khoa-hoc-toan-dien-ve-hacking-tu-co-ban-den-nang-cao,Khóa học toàn diện về Hacking từ cơ bản đến nâng cao!,"Học cách thực hiện kiểm thử thâm nhập, kiểm thử web. Ngoài ra, bạn cũng có thể biết cách hacking wifi, khám phá các lỗ hổng trong các hệ thống, và sử dụng phần mềm bảo mật Kali Linux!",Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1: Kiểm thử xâm nhập và tìm lỗi hệ thống. Nó là gì và bạn có thể sử dụng nó như thế nào?,,,,
,,,"Thông qua khóa học này, bạn sẽ học được cách thực hiện kiểm thử thâm nhập và kiểm tra các lỗi của hệ thống! Thêm nữa, nếu có bất kỳ câu hỏi nào liên quan đến khóa học, các chuyên gia CNTT giàu kinh nghiệm sẽ giải đáp giúp bạn, từ vấn đề cài đặt phần mềm bảo mật Kali Linux, phép nội xạ ánh đơn SOL, đến việc cracking các mật khẩu Linux, và nhiều các chủ đề khác nữa được bổ sung mỗi tháng!",Kết nối Internet nhanh và hiệu quả.,"Trên 89 bài giảng và 19.5 giờ nội dung!
","Chuyên viên CNTT tự do trực tuyến tìm kiếm thêm kỹ năng vào oDesk, Elance, hay hồ sơ của người lao động trực tuyến.",,Bạn nên làm gì để học một cách tốt nhất?,3:08,Video,
,,,"Nếu bạn cũng giống như tôi, bạn sẽ muốn đọc tiếp bởi bạn muốn biết chắc chắn rằng khóa học này đáng để bạn đầu tư tiền và thời gian vào nó. Có hơn 6000 người vừa mới hoàn thành xong quá trình đăng ký tham gia khóa học và tôi hy vọng rằng việc chia sẻ một vài kinh nghiệm của họ có thể chứng minh khóa học này hữu ích cho bạn. Dưới đây là những nhận xét cá nhân của 3 học viên đã đăng ký học:",Thẻ mạng không dây.,Sử dụng kỹ năng tìm lỗi hệ thống và kiểm thử thâm nhập để kiếm tiền như các cộng tác viên trực tuyến.,Người quản trị mạng muốn tìm hiểu cách kiểm tra các lỗ hổng trên hệ thống mạng riêng của họ.,,Giới thiệu về đạo đức Hacking. Cụ thể nó là gì?,8:02,Video,
,,,"- ""Một khóa học tuyệt vời"" được đăng bởi Nguyễn Thị Hà vào tháng Năm, năm 2015.",,Kiểm soát nặc danh trong các hoạt động tìm lỗ hổng hệ thống và kiểm thử xâm nhập.,Các hacker Mũ Trắng muốn củng cố và mở rộng thực hành hiện có về việc học hacking và kiểm thử xâm nhập.,,Trang web mà bạn có thể kiếm được tiền như một freelancer trực tuyến bằng cách sử dụng những kỹ năng này,1 trang,Document,
,,,"- ""Tôi đã học được 11 videos và yêu thích khóa học này ngay tức thì. Giảng viên rất cẩn thận, tỉ mỉ. Tôi chắc chắn sẽ giới thiệu khóa học này đến những người khác bởi vì tôi chỉ mới bắt đầu học lý thuyết về kiểm thử và hacking, tôi cảm thấy rằng đây chính là những gì mà tôi đang tìm kiếm. Cảm ơn bạn rất nhiều vì đã dành thời gian và nỗ lực để tạo ra một khóa học tuyệt vời.""",,Cài đặt VirtualBox và tạo ra một môi trường ảo.,,,Làm thế nào để nhận được chứng chỉ của bạn và thêm vào hồ sơ LinkedIn,10:23,Video,
,,,"- ""Khóa học tốt nhất từ trước đến giờ..."" được đăng bởi Phương Phạm vào tháng Sáu, năm 2015.",,Cài đặt phần mềm bảo mật Kali Linux.,,,Cảm ơn bạn vì đã trở thành học viên ở đây! Điều gì tiếp theo?,2:46,Video,
,,,"- ""Cảm ơn bạn vì đã tạo ra một khóa học tuyệt vời như vậy. Nó là một trong những khóa học tốt nhất từ trước đến nay trên Tudemy, đáng giá đến từng đồng. Bạn đã đề cập tất cả mọi vấn đề về Hacking trong khóa học. Các học sinh nên biết đến khóa học này! Những gì bạn sẽ học trong khóa học này sẽ thổi tung tâm trí của bạn!! Tuy nhiên, bạn nên sử dụng những kiến thức này được một cách khôn ngoan! Nếu bạn sử dụng nó không đúng cách, bạn có thể nhận án tù từ 5 đến 10 năm. Vậy nên! Hãy sử dụng nó thật đúng cách!""",,Hiểu về các thuật ngữ cơ bản về kiểm thử xâm nhập và tìm lổ hổng hệ thống.,,,Phần thưởng đầu tiên của bạn khi bạn là học viên trong khóa học này!,2 trang,Document,
,,,"- Tùng Nguyễn đã đăng ""Giảng viên giúp ích tôi rất nhiều trong việc học về Hacking"" vào tháng Sáu, năm 2015. Giảng viên đã giúp ích rất nhiều trong việc giải đáp các thắc mắc liên quan đến khóa học này. Đặc biệt là việc cân nhắc vấn đề về khác biệt thời gian giữa chúng tôi. Tôi đánh giá cao sự giúp đỡ của ông ấy.""",,Xác định việc tìm lỗ hổng hệ thống đạo đức và kiểm thử xâm nhập.,,Phần 2: Điều kiện tiên quyết cho việc bắt đầu với khóa học này,,,,
,,,"Từ những nhận xét phản hồi của các học viên, bạn có thể thấy rằng chúng tôi luôn sẵn sằng cung cấp thông tin và giải đáp các thắc mắc của học viên qua việc trả lời các câu hỏi về tất cả các chủ đề được trình bày trong khóa học, ngay cả các yêu cầu hỗ trợ kỹ thuật - nếu được yêu câu. Hơn thế nữa, tự thân các bài giảng của chúng tôi cũng rất hữu ích và chắc chắn sẽ truyền cảm hứng cho bạn để thực hành những gì bạn được học. Bạn có thể hỏi bất cứ điều gì liên quan đến khóa học và chúng tôi sẽ cung cấp cho bạn câu trả lời trọn vẹn nhất để giúp bạn giải quyết những vấn đề bạn đang gặp phải trong việc học tìm ra các lỗ hổng hệ thống và thử nghiệm thâm nhập.",,,,,Bí quyết thành công tiên quyết để học hiệu quả nhất,7:28,Video,
,,,"Cảm ơn bạn rất nhiều vì đã tìm hiểu về khóa học này! Việc bạn đã dành thời gian quý giá của bạn để tìm hiểu về khóa học này làm cho tôi tin rằng bạn muốn trở thành một học viên của khóa học này là rất cao! Tìm nút ""tham dự khoá học"" hoặc ""bắt đầu học thử miễn phí"" trên trang web của chúng tôi để trải nghiệm khóa học thú vị này ngay hôm nay!",,,,Phần 3: Các trường về hacking cơ bản bạn sẽ muốn biết để bắt đầu,,,,
,,,"Nếu bạn muốn tìm hiểu thêm về khóa học này bao gồm những gì thì đây là một danh sách tóm tắt các câu hỏi, giúp bạn đưa ra quyết định có nên tham gia khóa học này hay không! Tuy nhiên, bản danh sách chỉ là phần giới thiệu những kiến thức hiện tại của khóa học. Chúng tôi sẽ tạo ra các bài giảng mới mỗi tháng dành cho bạn! Bạn sẽ nhận được ảnh chụp màn hình hướng dẫn trực tiếp và sẽ thấy tất cả mọi thứ bạn cần phải làm để bắt đầu với việc tìm các lỗ hổng hệ thống và kiểm thử thâm nhập, bao gồm cả thông tin về tất cả các chủ đề dưới đây!",,,,,"Thuật ngữ cơ bản như hacking mũ trắng, mũ xám, và mũ đen",12:00,Video,
,,,Cách để cài đặt VirtualBox.,,,,,"Thuật ngữ cơ bản bao gồm SQL injections, VPN, proxy, VPS, và keyloggers",18:18,Video,
,,,Phải làm gì để tạo ra các môi trường ảo.,,,,Phần 4: Xây dựng môi trường hacking của bạn!,,,,
,,,Cài đặt VirtualBox trong một môi trường Windows 8.1.,,,,,Cài đặt VirtualBox với gói RPM và tại sao sử dụng một máy ảo,8:58,Video,
,,,Thiết bị đầu cuối Linux cơ bản.,,,,,Cài đặt VirtualBox bằng cách sử dụng trình quản lý gói mặc định từ kho,15:01,Video,
,,,Ngăn chặn nặc danh với phần mềm mã nguồn mở miễn phí (The Onion Router),,,,,Tạo một môi trường ảo,13:35,Video,
,,,Mạng riêng ảo (VPN),,,,,Cài đặt VirtualBox trong Windows 8.1,5:16,Video,
,,,"Bạn có thể truy cập suốt đời đối với khóa học hơn 15 giờ này. Các video hướng dẫn chia sẻ tất cả mọi thứ mà bạn cần để trở thành một chuyên gia kiểm thử xâm nhập và hacker có đạo đức! Nếu bạn vẫn không chắc chắn, đây là ba câu hỏi mà bạn có thể sử dụng để đưa ra quyết định cuối cùng!",,,,,Cài đặt Kali Linux trong môi trường ảo,16:00,Video,
,,,"Bạn có muốn học cách để xâm nhập vào mạng, khai thác hệ thống, đột nhập vào máy tính, và các thiết bị định tuyến thỏa hiệp hay không?",,,,,Cài đặt Kali Linux sau khi nó đang chạy và bắt đầu sử dụng nó,12:18,Video,
,,,Bạn có muốn sử dụng những kỹ năng chuyên nghiệpị để làm việc cho các công ty cần những kỹ năng này để kiểm tra an ninh mạng của họ và chỉ cho họ cách nâng cao an ninh mạng?,,,,,Cài đặt VirtualBox Guest Additions,14:40,Video,
,,,"Bạn sẽ cảm thấy như thế nào nếu bạn có thể áp dụng những kỹ năng này kết hợp với những kiến thức bạn đã biết để nâng cao sự nghiệp của bạn lên tầm cao mới, như là một chuyên gia mạng, quản trị mạng, hoặc người làm về CNTT tự do trực tuyến?",,,,Phần 5: Linux Terminal: các chức năng cơ bản và giao diện dòng lệnh (Command Line Interface),,,,
,,,"Nếu bạn trả lời ""Có"" cho bất kỳ một câu hỏi nào bên trên, tôi đoán, dựa trên kinh nghiệm mà tôi đã dạy cho hơn 50.000 học sinh trên Tudemy, bạn có thể tận hưởng khóa học này. Nếu khóa học không giống như những gì mà bạn mong muốn, bạn có 30 ngày để yêu cầu Tudemy hoàn tiền. Với 98% số học sinh yêu thích khóa học này, và hơn 50 sinh viên đánh giá tốt về khóa học này, tôi cược rằng bạn cũng sẽ thích thú với khóa học này thôi! Cảm ơn bạn rất nhiều vì đã đọc bài này! Chúng tôi hy vọng sẽ thấy bạn là học viên trong khóa học khi chúng ta gặp lại lần tới!",,,,,Giới thiệu về Linux Terminal,9:31,Video,
,,,,,,,,Cơ sở giao diện dòng lệnh của Linux (Command Line Interface),14:04,Video,
,,,,,,,,The Linux CLI được giải thích chi tiết hơn để cung cấp cho bạn một sự hiểu biết tốt,15:26,Video,
,,,,,,,Phần 6: Phần mềm mã nguồn mở miễn phí (The Onion Router) là gì? Làm thế nào bạn có thể sử dụng nó để bảo vệ danh tính của bạn trực tuyến?,,,,
,,,,,,,,Phần mềm mã nguồn mở miễn phí phần 1,10:58,Video,
,,,,,,,,Phần mềm mã nguồn mở miễn phí phần 2,15:05,Video,
,,,,,,,"Phần 7: ProxyChains cho việc sử dụng máy chủ proxy, ẩn ip của bạn, và việc tiếp cận",,,,
