Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
huong-dan-toan-tap-ve-arduino,Hướng dẫn toàn tập về Arduino,"Học cách tạo ra các dự án điện tử với bo mạch Arduino, nền tảng điện tử mẫu thân thiện nhất trên thế giới!",Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1: Bắt đầu với Arduino,,,,
,,,"Arduino là một nền tảng thiết bị điện tử mã nguồn mở dựa trên phần cứng và phần mềm dễ sử dụng. Cảm nhận môi trường bằng cách tiếp nhận đầu vào từ nhiều cảm biến. Arduino ảnh hưởng đến môi trường xung quanh của nó bằng việc điểu khiển đèn, động cơ, và một số phụ kiện khác. Andruino là thiết bị điện tử dành cho bất cứ ai làm về các dự án phần cứng tương tác.",Nếu bạn chỉ muốn xem các khóa học thì không yêu cầu tài liệu gì,Hơn 114 bài giảng và 19 giờ nội dung!,Bất cứ ai tò mò với việc làm ra các thiết bị điện tử,,Giới thiệu,1:54,Video,
,,,Khóa học này được thiết kế với mục đích giới thiệu các phần cứng và lập trình môi trường Arduino để giúp bạn bắt đầu xây dựng dự án càng sớm càng tốt.,"Máy tính (Windows, Linux, Mac)",Chương trình nền tảng tạo mẫu Arduino,Những người không có kinh nghiệm trong ngành điện tử,,Danh sách các phần,IFrame,IFrame,
,,,"Hãy giải phóng ""người sắt"" bên trong bạn với khóa học toàn diện này: ",Một bảng tạo nguyên mẫu Arduino,Hiểu được nguyên tắc của lập trình vi điều khiển,Những người có kiến thức trung bình về thiết bị điện tử,,Hệ sinh thái Arduino,7:50,Video,
,,,- Hệ sinh thái Arduino và Giới thiệu lập trình,Danh sách chi tiết của tài liệu được cung cấp trong Bài 1,Hiểu và sử dụng nhiều loại cảm biến và các thành phần cấu tạo của chúng,Trẻ em trên 12 tuổi (hoặc dưới 12 tuổi nhưng có sự giám sát),,Hệ sinh thái Arduino - câu hỏi trắc nghiệm,6 câu hỏi,Quiz,
,,,"- Các màn chắn, phụ kiện và cảm biến",,Kết nối Arduino của bạn với Internet để báo cáo và kiểm soát,,,Các công cụ và tiến trình tạo mẫu,7:51,Video,
,,,- Tích hợp Internet và Truyền thông,,Sử dụng các công cụ để xây dựng các thiết bị điện tử,,,Các công cụ và tiến trình tạo mẫu - câu hỏi trắc nghiệm,5 câu hỏi,Quiz,
,,,"- Tích hợp nâng cao với động cơ, thiết bị phụ tùng và chuyển động",,Hiểu được các nguyên tắc cơ bản trong thiết kế thiết bị điện tử,,,Nào chúng ta hãy làm đèn nháy!,11:35,Video,
,,,- Các dự án DIY (Do It Yourself) và một vài mẹo nhỏ.,,,,,Đèn LED nhấp nháy - câu hỏi trắc nghiệm,3 câu hỏi,Quiz,
,,,"Arduino là nền tảng để thiết kế bất kỳ thiết bị nào bạn có thể tưởng tượng được được ra đời vào năm 2005 từ một dự án cho sinh viên tại Viện Thiết kế Tương tác Ivrea tại Ivrea, Ý. Thiết bị này dành cho các nghệ sĩ, nhà thiết kế, người có sở thích và bất cứ ai quan tâm đến việc tạo các đối tượng tương tác với nhau hoặc tương tác với môi trường. Trong những năm gần đây Arduino đã trở thành mạch tự động rất được yêu thích bởi những người đam mê điện tử và các DIYers (những người thích tự mình làm ra sản phẩm) do tính tiện dụng và chi phí rất thấp của nó.",,,,,"Làm mờ và tắt đèn LED
Xem trước ",4:40,Video,
