Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
hoc-quickbooks-pro-2014-mot-cach-don-gian,Học QuickBooks Pro 2014 một cách đơn giản.,Học phần mềm kế toán cho doanh nghiệp nhỏ để giúp bạn tiết kiệm thời gian và thu lợi nhuận.,Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1: Giới thiệu,,,,
,,,Tiết kiệm thời gian và tiền bạc bằng việc học chương trình kế toán thông dụng.,QuickBooks Pro 2014,"Hơn 75 bài giảng với 7,5 giờ nội dung",Các chủ doanh nghiệp nhỏ hoặc những người quản lý QuickBooks cho một doanh nghiệp nhỏ,,Giới thiệu và tổng quan,1:03,Video,
,,,Quản lý kế toán cho doanh nghiệp nhỏ của bạn.,,Tạo ra tập tin riêng cho công ty của bạn,,Phần 2: Làm quen,,,,
,,,"Tạo ra Dự toán, Báo cáo và Các khoản đặt cọc.",,Làm việc với ưu tiên QuickBooks,,,"Các tính năng mới của QuickBooks 2014
",4:53,Video,
,,,Theo dõi các khoản thanh toán và hóa đơn.,,Tạo dự toán,,,Tạo tập tin cho công ty của bạn - Phần 1,11:28,Video,
,,,Đối chiếu với sổ phụ ngân hàng.,,"Làm việc với ""Customers"" và ""Jobs""",,,Tạo tập tin cho công ty của bạn - Phần 2,2:45,Video,
,,,"""Quản lý tài khoản của bạn bằng phần mềm phổ biến này.",,Lập và thanh toán hóa đơn,,,Tổng quan về công ty của tôi,3:28,Video,
,,,"QuickBook là một gói phần mềm kế toán cực kỳ phổ biến, được sử dụng ở những doanh nghiệp nhỏ trên toàn thế giới. Nó được phát triển và giới thiệu bởi Intuit, và được tung ra đầu tiên vào năm 1994. Suốt lịch sử phát triển của nó, rất nhiều những tính năng tiện lợi đã được phát triển, bao gồm việc bổ sung QuickBooks trực tuyến, một dịch vụ đăng kí theo dõi mà có thể thay thế hoàn toàn việc phải mua phầm mềm QuickBooks và QuickBooks Point of Sale. Điều này sẽ thay thế lượng tiền mặt của một doanh nghiệp và theo dõi các hóa đơn bán hàng.",,Đối chiếu với sổ phụ ngân hàng,,,Xác định các thành phần trong QuickBooks,8:03,Video,
,,,"Nếu bạn là chủ một công ty nhỏ, hoặc một kế toán làm việc tự do, bạn có thể sử dụng QuickBooks để theo dõi các tài khoản phải trả, phải thu, hóa đơn phải trả, theo dõi các khoản thanh toán và các khoản nợ, và để duy trì tổ chức về mặt kinh doanh và tài chính cá nhân.",,Xử lý các khoản vay,,,Chuyển từ phiên bản QuickBook offline sang bản online,3:12,Video,
,,,TỔNG QUAN VÀ NỘI DUNG,,Sử dụng báo cáo để cung cấp các thông tin cần thiết,,Phần 3: Tùy biến môi trường QuickBooks,,,,
