Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
khoa-hoc-freelancer,Khóa học Freelancer,"Trở nên vượt trội, tìm kiếm được những khách hàng tốt hơn và làm nên chuyện.",Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1: Cách tiến lên,,,,
,,,NỘI DUNG VÀ TỔNG QUAN,Không có yêu cầu nào! Duy chỉ động lực làm người chủ của riêng bạn và làm ra kết quả xuất sắc là quan trọng.,Hơn 87 bài giảng và 3 giờ nội dung!,Những Freelancer hiện nay mà muốn xây dựng và làm khác biệt hóa doanh nghiệp của họ.,,Tại sao bạn muốn trở thành Freelancer?,2:34,Video,
,,,"Khóa học này mở đầu bằng việc giới thiệu ý nghĩa của việc trở thành một freelancer, bất kể bạn đang làm việc trong ngành nghề nào.",,"Thành thạo cách làm ra một kết quả độc đáo, tạo ra một thương hiệu nổi tiếng, tìm ra khách hàng, và tăng nhu cầu cho sản phẩm và dịch vụ.",Bất cứ ai quan tâm đến việc trở thành một freelancer chuyên nghiệp.,,Một chiến binh không có vua,2:32,Video,
,,,"Bạn sẽ nhận ra rằng bạn có cơ hội kiểm soát sự nghiệp của mình, không liên quan đến những kinh nghiệm trước kia, bằng việc quan sát thế giới từ quan điểm khách hàng của bạn.",,Hiểu những gì cần để làm tốt hơn những freelancer trung bình.,"Đây không phải là một khóa học cho những người tìm kiếm đường tắt, kết quả được đảm bảo trước hay một con đường dễ dàng.",,Thăng tiến,1:26,Video,
,,,"Tôi sẽ dẫn dắt bạn cách để chọn lọc khách hàng và làm cách nào để tìm được họ đúng lúc đúng chỗ. Bằng việc tự thúc đẩy bản thân để tạo ra những công trình xuất sắc, khách hàng sẽ bắt đầu tìm tới bạn.",,"Trở nên chuyên nghiệp, cũng như cam kết tìm ra các khách hàng tốt hơn và làm ra kết quả tốt hơn.",,,Cất nhắc,1:04,Video,
,,,"Mỗi bài giảng ngắn và tập trung (và đôi khi rất hài hước) giúp bạn tìm ra các cách để xây dựng danh tiếng và xúc tiến doanh nghiệp của bạn để bạn có thể bước ra khỏi sự vô hình. Bạn sẽ làm cho công trình của bạn có giá trị hơn, và bạn sẽ biết cách định giá công trình của bạn để thu hút và giữ chân khách hàng.",,,,,Bài tập - Bạn là ai,3 pages,Document,
,,,"Bạn có cơ hội để trở thành một chuyên gia nổi tiếng trong lĩnh vực của bạn. Bạn sẽ học được các nền tảng để luôn tạo ra các đầu mối khách hàng, giúp bạn vươn tới thu nhập tự do cao hơn.",,,,,5 loại nghề tự do,4:24,Video,
,,,"Cũng bao gồm: các đáp án sâu sát đối với các câu hỏi thường gặp (FAQ) mà tôi đã thu thập từ học viên của anh ấy trong việc chuẩn bị cho khóa học này. Các câu hỏi thường gặp sẽ giúp làm rõ mối bận tâm chung mà những người hành nghề tự do có, cũng như giúp bạn hiểu thấu cách để vượt qua các thách thức hằng ngày.",,,,,Bạn có đáng tin cậy?,1:03,Video,
,,,"Trong toàn bộ thời gian của khóa học, bạn sẽ có cơ hội hoàn thành các bài tập giúp bạn hình thành nên một lối đi dễ theo. Bạn sẽ nhận được nhiều từ khóa học này khi bạn chọn bỏ thời gian và nỗ lực cho nó.",,,,,Bài tập - Bạn cung cấp gì,1 page,Document,
,,,"Vào cuối khóa học, bạn sẽ biết cái mà bạn cần làm để chuẩn bị cho một nghề nghiệp tự do có lợi và vừa ý hơn. Bạn sẽ đủ tự tin làm người chủ của riêng bạn, và bạn sẽ biết cách vận hành các mục tiêu của bạn.",,,,Phần 2: Xây dựng tài sản,,,,
,,,"Dù bạn có hiện làm freelancer toàn thời gian hay bạn bị mắc kẹt trong một công việc mà bạn muốn thoát khỏi, tôi sẽ chỉ cho bạn những gì cần để làm một freelancer hoàn hảo - hay, ""một chiến binh không có vua"".",,,,,Các dạng xuất sắc khác nhau,2:28,Video,
