Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
nhung-dieu-co-ban-ve-quyen-tac-gia-bao-ve-cac-tac-pham-khoi-vi-pham-ban-quyen,Những điều cơ bản về quyền tác giả: Bảo vệ các tác phẩm khỏi vi phạm bản quyền,Bảo hộ tài sản quý giá nhất của bạn - sở hữu trí tuệ,Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,,Phần này nói về vấn đề gì?,3:24,Video,
,,,"Bạn là một họa sỹ…một người thiết kế đồ họa… bạn đang viết một cuốn sách…bạn đang phát triển 1 website, bạn là một nhiếp ảnh gia,. Bạn vừa ghi âm một bản nhạc… bạn là một người khởi nghiệp.",Không có,Hơn 10 bài giảng và 1 tiếng học các nội dung.,"Bất kỳ người nào có nhu cầu được bảo vệ những tác phẩm sáng tạo của họ khỏi việc vi phạm bản quyền - tác giả, họa sĩ, thiết kế đồ họa, người sở hữu website và những nhà phát triển, nhiếp ảnh gia, nhạc sĩ và những người khởi nghiệp.",Phần 1: Bảo hộ quyền tác giả,,,,
,,,"Trong trường hợp đó, bạn thật sự cần phải hiểu cách để bảo vệ quyền sở hữu trí tuệ của mình. Đó có thể là tài sản quý giá nhất của bạn - đồng thời cũng là thứ dễ bị đánh cắp nhất.",,"Trong khóa học này, bạn sẽ học về những nền tảng cần thiết để bảo vệ các tác phẩm của bạn khỏi việc vi phạm bản quyền - bao gồm cách làm thế nào để tạo biểu tượng quyền tác giả © trên máy tính để bàn hoặc Macbook.",,,Lời mở đầu và một số vấn đề chính,5:45,Video,
,,,"Một người đột nhập vào cơ sở của Coca Cola và đánh cắp một chiếc xe tải. Đây là một trường hợp dễ để phân biệt. Chiếc xe tải là một vật thể hữu hình. Coca Cola sở hữu nó, họ đăng ký sở hữu nó và nộp thuế cho nó. Họ thậm chí đã đăng ký bảo hiểm để chống lại việc bị đánh cắp.",,"Sự khác biệt giữa quyền tác giả, bằng sáng chế và bảo hộ nhãn hiệu thương mại. Tại sao việc bảo hộ thiết kê sản phẩm lại khác với việc bảo hộ thiết kế đồ họa?",,,DOWNLOAD NOTES - Lời mở đầu và một số vấn đề chính,7 trang,Document,
,,,SỞ HỮU TRÍ TUỆ,,Tất cả những điều cần biết về đăng kí quyền tác giả.,,,Bảo hộ quyền tác giả các tác phẩm của bạn,4:53,Video,
,,,"Những bức ảnh của bạn. Những thiết kế của bạn. Cuốn tiểu thuyết của bạn. Bài nhạc soạn thảo của bạn là những tác phẩm thuộc quyền sở hữu trí tuệ của bạn, vì vậy bận cần phải hiểu những điều cơ bản nhất về việc bảo hộ quyền tác giả.",,Những kiến thức sai lệch - rất nhiều!!!,,,DOWNLOAD NOTES - Bảo hộ quyền tác giả tác phẩm của bạn,6 trang,Document,
,,,"Bạn sẽ học những gì trong ""Những điều cơ bản về Quyền tác giả: Bảo vệ các tác phẩm khỏi vi phạm bản quyền""?",,Cách để phát hiện nếu có ai đó đã đăng ký một nhãn hiệu thương mại.,,,Những bằng chứng không thể chối cãi,8:56,Video,
,,,"Một ví dụ thực sự cơ bản, ví dụ như cách để gõ biểu tượng quyền tác giả © trên máy tính của bạn - là một chữ C nằm trong một vòng tròn.",,Cách để nền công nghiệp âm nhạc và các nhà phát hành sách bảo hộ tác phẩm khỏi internet.,,,DOWNLOAD NOTES - Những bằng chứng không thể chối cãi,10 trang,Document,
,,,"Sự khác biệt giữa quyền tác giả, bằng sáng chế và bảo hộ nhãn hiệu thương mại . Tại sao việc bảo hộ thiết kế sản phẩm lại khác với bảo hộ thiết kế đồ họa?",,Làm thế nào để ngăn chặn một người vi phạm bản quyền tác phẩm của bạn mà không cần đến pháp luật.,,,Vi phạm bản quyền online,5:27,Video,
,,,Tôi sẽ chỉ ra tất cả những sự hiểu lầm thường thấy. Vi dụ: Không có.,,,,,DOWNLOAD NOTES - Vi phạm bản quyền online - đặc biệt trong nền công nghiệp âm nhạc,5 trang,Document,
,,,Cách phát hiện nếu có người đã đăng ký một nhãn hiệu thương mại.,,,,Phần 2: Kết luận,,,,
,,,Cách để nền công nghiệp âm nhạc và các nhà phát hành sách bảo hộ tác phẩm khỏi các trang download thiếu bản quyền.,,,,,Kết luận,11 trang,Document,
,,,"Tôi sẽ chỉ cho bạn cách để tìm ra những người vi phạm bản quyền các tác phẩm của bạn, kể cả khi bạn làm việc một mình, để ngăn chặn họ mà không cần đến pháp luật.",,,,,,,,
,,,"Thực tế, tôi sẽ chia sẻ cho bạn những case study thực tế về một tác giả khác đã sao chép website của tôi - trang web bán buôn. Cách tôi đã chấm dứt hành động của cô ấy.",,,,,,,,
,,,"Và, tôi sẽ tặng bạn rất nhiều đường link hữu ích. Thêm vào đó là một số giai thoại và lích sử về quyền tác giả để hấp dẫn bạn.",,,,,,,,
,,,Hãy đăng kí khóa học này ngay.,,,,,,,,
