Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
thiet-ke-gamification-level-1-co-ban-chung-nhan,Thiết kế Gamification Level 1 (cơ bản) + Chứng nhận,Tìm hiểu những điều cơ bản về gamification (trò chơi hóa) và thiết kế trò chơi để đạt được sự gắn kết và lòng trung thành từ phía khách hàng và nhân viên + được chứng nhận khi hoàn thành khóa học,Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1: Tại sao bạn cần Gamification - Giới thiệu,,,,
,,,"Thiết kế Gamification (Level 1) là các khóa học trực tuyến chỉ được công nhận bởi Engagement Alliance để cung cấp chứng nhận tham gia cùng chuyên gia ở mức nhập môn. Sau khi hoàn thành, bạn có thể yêu cầu chứng chỉ và viết trên hồ sơ online của mình, đơn xin việc hay trang web.",Khóa học giới thiệu này không yêu cầu kiến thức sẵn có ... chỉ cần bạn quyết tâm học.,Hơn 29 bài giảng và 7 giờ giảng dạy.,Chuyên gia quản trị nguồn nhân lực và vốn nhân lực.,,Giới thiệu về Gamification,10:46,Video,
,,,"Trong khóa học này, bạn sẽ học được những điều cơ bản về gamification và khoa học về sự gắn kết, làm thế nào mà xu hướng thiết kế mới mạnh mẽ này có thể ảnh hưởng đến doanh nghiệp của bạn, nhìn từ một lăng kính phi học thuật và thực tế. Cho dù bạn đang làm Marketing, Nhân sự, Vận hành, Phát triển sản phẩm hay Quản lý chiến lược, bạn đều có thể sử dụng các nguyên tắc của Gamification để thay đổi các mối quan hệ của bạn với khách hàng và nhân viên.",,Hiểu được các vấn đề cơ bản của gamification.,Giảm đốc sản phẩm và marketer của sản phẩm.,,Giảng viên của bạn,2:39,Video,
,,,"Hoàn thành khóa học này, BẠN SẼ HIỂU ĐƯỢC:",,Tìm hiểu xem khoa học về sự gắn kết sẽ thay đổi tổ chức của bạn như thế nào.,"Các nhà chiến lược marketing, CMO.",,Bonus: Niềm vui chính là tương lai,59:22:00,Video,
,,,Gamification là gì,,Bắt đầu hình thành một tầm nhìn xem gamification có thể được sử dụng như thế nào trong tổ chức của bạn.,Giám đốc IT/CIO/CTO.,,Bonus: Tầm nhìn,7:50,Video,
,,,Những nguyên tắc căn bản,,Nắm bắt kiến thức nền tảng và nghiên cứu sâu hơn về gamification.,Những người khởi nghiệp.,,Khái niệm cơ bản của Gamification,5 câu hỏi,Quiz,
,,,Gamification sẽ thay đổi ngành công nghiệp bạn đang làm việc như thế nào,,Giải mã các ví dụ và trường hợp có thể làm kim chỉ nam cho cách tiếp cận của bạn.,Chuyên gia về UX UI.,,Tham gia vào thảo luận nhóm,Text,Text,
,,,Các loại hình kinh điển của gamification,,Có chứng chỉ khóa học.,,,Độc quyền: nhận bản sao MIỄN PHÍ thiết kể của gamification,Text,Text,
,,,Giới thiệu yếu tố then chốt về khoa học của sự gắn kết,,,,Phần 2: Khoa học về sự gắn kết,,,,
,,,Các ví dụ về Gamification trong các ngành công nghiệp và loại hình thiết kế,,,,,Khoa học về sự gắn kết,10:20,Video,
,,,"Thêm vào đó, bạn sẽ được nghe các chuyên gia được tuyển chọn kĩ lưỡng giảng dạy những bài giảng mang tính hỗ trợ. Những bài học này được lấy từ kho lưu trữ của Gamification Co - công ty được coi như ""bom tấn"" nhờ Gamification. Bạn còn có cơ hội nhận được một đoạn trích độc quyền từ cuốn sách mới của Gabe, The Gamification Revolution.",,,,,Bonus: Michael Wu - Khoa học của Gamification,19:26,Video,
,,,,,,,,Bonus: Andrea Kuszewski - Tăng cường nhận thức & Gamification,19:28,Video,
,,,,,,,,Bonus: Csikszentmihalyi về dòng chảy,18:56,Video,
,,,,,,,,Khoa học về sự gắn kết,4 câu hỏi,Quiz,
