Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
chuyen-gia-phat-trien-marketing-tro-thanh-cao-thu-marketing-ky-thuat-so,Chuyên gia phát triển Marketing: Trở thành cao thủ marketing kỹ thuật số,"Học về phân tích tinh gọn và phân tích web, thiết kế kênh kỹ thuật số, marketing xã hội, marketing lan tỏa, marketing email, marketing nội dung, SEO, PR, Adwords và nhiều hơn thế nữa",Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1: Giới thiệu khóa học,,,,
,,,Khóa học chính thức về Growth Hacking hàng đầu của Tudemy // phiên bản 2.2 ra mắt tháng 6 năm 2015.,"Học viên cần có những kĩ năng điều hướng trực tuyến vững chắc và sự hiểu biết về những khái niệm này là gì ( ví dụ như SEO, Truyền thông xã hội, quảng cáo trực tuyến, marketing email). Họ không cần phải là chuyên gia trong các lĩnh vực này, nhưng tất nhiên không bao gồm ""101"" loại bài giảng giới thiệu về các công nghệ web.",Hơn 115 Phần giảng và 7 giờ giảng dạy.,"Khóa học này lý tưởng cho người muốn phát triển kho người dùng sẵn có hoặc khách hàng quen thuộc, phát triển kỹ năng cần thiết để bắt đầu sự nghiệp về marketing kỹ thuật số, hay tìm kiếm cách thêm khía cạnh số cho bộ kỹ năng marketing có sẵn.",,Bạn có thể trở thành một nhà Growth Hacker,6:10,Video,
,,,"Tìm hiểu cách sử dụng Phân tích tinh gọn, số liệu lưu lượng truy cập web, kênh chuyển đổi kỹ thuật số, LTV và tính toán CAC, phương tiện truyền thông xã hội, marketing lan tỏa, quan hệ công chúng, SEO, marketing nội địa, marketing email, và thu hồi thanh toán để tăng trưởng nhanh.",,Hiểu được cách văn hóa growth hacking đã phá vỡ thế giới marketing và tạo ra một cuộc cách mạng marketing công nghệ như thế nào.,,,SideBYSide: Làm thế nào để tận dụng các lợi thế nền tảng ,3:33,Video,
,,,"Bộ công cụ marketing kỹ thuật số cho các nền kinh tế kết nối nằm trong tầm tay của bạn,",,Làm thế nào các doanh nghiệp và các tổ chức nhận ra được lợi ích tối đa từ các khoản đầu tư vào các sáng kiến về growth hacking.,,,Growth hackers là lãnh đạo ngành marketing của tương lai,1:59,Video,
,,,"Học cách tư duy và marketing như một Growth hacker để đưa bạn vào sân chơi với các công ty lớn ở Thung lũng Silicon. Và dĩ nhiên, một khi bạn nắm giữ được những kỹ năng này, bạn sẽ có những kiến thức cơ bản cho phép bạn vượt trội giống như một nhà marketing kỹ thuật số hiện đại. Nhu cầu về các kỹ năng marketing kỹ thuật số ngày càng tăng. Vì thế, khi nào bạn biết cách để thu hút và giữ chân khách hàng thông qua các kênh truyền hình trực tuyến thì bạn có thể sở hữu một khối tài sản có giá trị.",,"Làm thế nào để sử dụng kênh hoạt động tùy chỉnh, các bài thực hành phân tích tinh gọn, và sự phát triển của mục tiêu các nhân thông báo quyết định thông minh hơn.",,Phần 2: Trau dồi tư duy Growth hacking của bạn,,,,
,,,"Khóa học hàng đầu này được phát triển trong mối quan hệ đối tác với các nhà thiết kế giảng dạy hàng đầu. Bạn sẽ áp dụng các khái niệm như bạn tìm hiểu, đọc về tăng trưởng đột phá trong Marketing, và học từ các mô-đun học hoạt hình đẹp được phát triển bởi đội ngũ hoạt hình của chúng tôi (đọc: không có slide power point nhàm chán ở đây!).",,"Cách kể các câu chuyện hay hơn, viết nội dung marketing hấp dẫn và nâng tầm mạng xã hội để đạt được tăng lợi nhuận lẫn tiết kiệm chi phí.",,,Giới thiệu về phần 2,1:43,Video,
,,,Gói học Marketing Kỹ thuật số toàn tập dánh cho các Growth Hacker.,,"Biết được điều gì làm cho một chiến dịch ""viral"" và cách tổ chức có thể hỗ trợ các tia viral và biến đổi chúng thành công thành những virial thực sự.",,,Sự phù hợp giữa Sản phẩm/ Thị trường và thời điểm để Growth Hacking,1:53,Video,
,,,"Mở đầu khóa học, bạn sẽ được học một vài khái niệm ở trình độ MBA về marketing như sự phù hợp giữa sản phẩm/thị trường, sự phân mảng về đặc tính khách hàng và ""trung tâm mua bán"" khách hàng. Sau đó khóa học phát triển từng kỹ năng marketing kỹ thuật số cần thiết và biến chúng theo lối tư duy của một growth hacker.",,Cách sử dụng chiến lược marketing email tự động và quảng cáo trong việc tìm kiếm và cầm chân khách hàng.,,,Cách sử dụng 3 khái niệm marketing MBA trong Growth Hacking,3:57,Video,
,,,"Trong nửa đầu của khóa học, bạn sẽ phát triển các kỹ năng phân tích cho phép bạn hiểu cái gì có hiệu quả, kênh nó phát huy hiệu quả, và những gì cần phải được thay đổi. Bạn sẽ bắt đầu với một chương về phân tích tinh gọn trước khi chuyển sang phân tích lưu lượng truy cập web. Sau đó bạn sẽ phát triển khả năng thiết kế và theo dõi kênh chuyển đổi kỹ thuật số mà khi kết hợp với giá trị vòng đời khách hàng (LTV) và giá mua của khách hàng (CAC), bạn sẽ có thể tìm cơ hội để mang tới khách hàng mới vào hệ sinh thái của mình trên một cơ sở thu nhập dương.",,"Cách áp dụng LTV, CAC và làm tăng tỉ lệ khách hàng phải trả tiền.",,,Ai là trung tâm mua sắm của bạn?,Văn bản,Text,
,,,"Trong nửa thứ hai của khóa học, bạn sẽ phát triển một bước tiếp cận với người dùng làm trung tâm để làm marketing. Bạn sẽ bắt đầu với một phần của môi trường marketing trên mạng xã hội mới, sau đó chuyển sang marketing lan truyền và quan hệ công chúng. Sau đó, bạn sẽ nhận được một khóa học cấp tốc về SEO cho các trang web trực tuyến cũng như marketing nội dung để bạn có thể đảm bảo rằng nội dung của bạn sẽ tìm được trên web. Phần marketing email sẽ giới thiệu bạn với các chiến lược marketing email tự động cũng như phát triển khả năng của bạn để sử dụng các nền tảng marketing email nhằm quản lý nhóm đăng ký danh sách email. Khóa học kết thúc với một phần vào việc mua lại và quảng cáo trực tuyến để khi bạn có một ngân sách dành cho quảng cáo, bạn sẽ biết làm thế nào để sử dụng nó.",,,,,Cách cải thiện Lý lịch tâm lý học khách hàng,3:33,Video,
