Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
bi-mat-ve-copywriting,Những bí mật về viết quảng cáo - Làm như thế nào để vừa viết hay vừa bán được hàng,"Khám phá những bí mật về việc viết quảng cáo thành công từ những bậc thầy quảng cáo. Sáng tạo nên những ý tưởng hay, độc đáo, tạo nên sự khác biệt giữa bạn với hàng trăm đối thủ khác. ",Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,,PROMO - Bí mật về viết bài quảng cáo đến từ những chuyên gia bậc thầy.,3:36,Video,
,,,Hãy để tôi chia sẻ những bí mật viết quảng cáo của tôi cho bạn.,Có khát khao trở thành một người viết bài giỏi. Link miễn phí được cung cấp cho tất cả các phần mềm. (ngay cả Word cũng có!),Hơn 35 bài giảng và 3 giờ giảng dạy.,Những người viết bài quảng cáo muốn nâng cao kỹ năng của mình và muốn trở nên chuyên nghiệp hơn nữa.,Phần 1: Thử trước!,,,,
,,,"Viết quảng cáo có thể đẩy mạnh doanh thu, nâng cao khả năng thâm nhập thị trường và tỷ suất lợi nhuận cho bạn. Bài viết quảng cáo tốt có thể làm mọi thứ dễ dàng hơn. Và những bài viết quảng cáo có đẳng cấp sẽ được công nhận. Tôi sẽ cho bạn thấy được điều đó.",,Viết được bài viết quảng cáo với cấu trúc chặt chẽ và đầy sức thuyết phục,"Bất kỳ ai đã hoàn thành khóa học ""Làm thế nào để trở thành một người viết bài quảng cáo"" của tôi.",,"Thử trước! Chỉ là để chắc chắn bạn phù hợp với khóa học này, tôi sẽ mở cho bạn xem bản đầy đủ của bài số 6 - cách chúng ta xử lý nhu cầu và mong muốn khi làm copywriting.",5:20,Video,
,,,Ý KIẾN CỦA HỌC VIÊN,,Áp dụng được sức mạnh của cảm xúc vào bài viết kể cả khi viết trong trường hợp B2B (Business to Business: Mô hình kinh doanh thương mại điện tử giữa các doanh nghiệp với nhau),"Doanh nhân, những người khởi nghiệp và những người làm kinh doanh muốn bứt phá trong sự nghiệp.",Phần 2: Làm thế nào để tiếp thu được tốt nhất trong khóa học này?,,,,
,,,"Tôi là một người viết bài quảng cáo hàng đầu hơn 30 năm nay với khách hàng là những doanh nhân mới khởi nghiệp cho đến những tập đoàn lớn. Có thể kể tên như IBM, Vodafone Lloyds, PricewaterhouseCoopers, đài BBc, Travlex, Oracle - một trong những trường học kinh doanh hàng đầu thế giới, những công ty dược phẩm lớn và rất nhiều công ty dịch vụ tài chính. Đấy là còn chưa đề cập đến chương trình TV ""Secret Millionaires"".",,"Đánh bại những kẻ viết tầm thường, những kẻ chỉ quan tâm đến nhu cầu bản thân",Các nhà thiết kế web đang kiếm thêm thu nhập thêm từ khách hàng hiện tại.,, Làm thế nào để tiếp thu được tốt nhất trong khóa học này?,3:02,Video,
,,,Rõ ràng đây là một khóa học mà bạn hoàn toàn có thể tin tưởng!,,Biiết cách viết phần Calls To Action sao cho hấp dẫn,Những nhà thiết kế đồ họa muốn hiểu vai trò của việc viết bài quảng cáo.,Phần 3: Viết quảng cáo nhanh chóng,,,,
,,,"Giống như những khóa học khác của tôi, tôi luôn luôn sẵn sàng trả lời những thắc mắc của bạn hoặc giải thích kỹ hơn, 24/24. Tôi thích giúp đỡ mọi người mà! Và cũng giống các khóa học khác của tôi, khi bạn tiếp tục đưa ra những chủ đề mới thì nó sẽ phát triển thêm mỗi ngày.",,"Hiểu cách cân bằng các Đặc trưng, lợi ích và lợi thế",Bất cứ ai đang mong muốn tiếp cận khách hàng mới.,,Bí mật về viết quảng cáo của Warrent Buffet. ,4:56,Video,
,,,Khóa học này KHÁC BIỆT như thế nào?,,Kỹ thuật xử lý những thông cáo báo chí chuyên nghiệp đã xuất bản.,Những nhà maketing chuyện nghiệp đang tìm kiếm cơ hội phát triển sự nghiệp của mình.,,Vai trò của cảm xúc trong lĩnh vực B2B,6:08,Video,
,,,"Có rất nhiều khóa học cực kì hay dạy viết bài quảng cáo nhưng đáng tiếc là phần lớn lại gống như một bản copy từ bên sales bởi chúng tập trung vào toàn thể người tiêu dùng, những lợi nhuận từ thị trường B2B.",,Biết cách làm thế nào để có được tiếng nói trong ngành công nghiệp viết quảng cáo.,,,Điều mà trẻ con cũng biết nhưng người viết copywriting lại thường quên (nhu cầu/ mong muốn/ cảm xúc),5:20,Video,
,,,"Trong khóa học này, tôi chỉ tập trung vào toàn bộ mảng viết bài quảng cáo cho doanh nghiệp.",,Phỏng vấn khách hàng để tạo những case study thật sự thuyết phục.,,,Ví dụ thực tế khác,2:32,Video,
