Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
cac-bai-giang-trong-sach-day-tieng-latin-cua-truong-wheelock-chuong-1-15,Các bài giảng trong sách dạy tiếng Latin của trường Wheelock: Chương 1-15,Hỗ trợ những học viên mới sử dụng cuốn sách ngữ pháp chính thống của Wheelock,Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1: Những điều đầu tiên cần biết,,,,
,,,"Qua nhiều năm giảng dạy tiếng Latin dựa theo cuốn giáo trình chính thống nổi tiếng ""Wheelock's Latin"", tôi đã và đang soạn ra chuỗi các bài giảng nhằm giúp các sinh viên học tiếng Latin trực tuyến và giúp họ tiếp thu được hầu hết toàn bộ nội dung của cuốn sách này. Trong khóa học này, bạn sẽ nhận được hướng dẫn tìm hiểu về một số khái niệm khó hiểu về ngữ pháp --Tiếng Anh và tiếng Latin -- những rào cản gây khó khăn trong quá trình tiếp thu tiếng Latin mà học viên ngày nay thường gặp. Tuy nhiên, học viên cũng nên lưu ý rằng, các bài giảng trong khóa học này không dùng để thay thế cho cuốn giáo trình của Wheelock. Tôi mong muốn, chúng sẽ chỉ là một công cụ giúp bạn học cuốn sách này dễ dàng hơn. Các bài giảng sẽ bám sát nội dung các chương trong cuốn giáo trình và sẽ cung cấp cho bạn một ""nội dung đặc biệt"" khi bạn cần.",Giáo trình Wheelock ( bản đã sửa đổi lần 6 hoặc 7),Hơn 91 bài giảng với thời lượng nội dung 17.5h,Dành cho những người tự học hoặc học tại nhà,,Những ghi chú về Phát âm tiếng Latinh cổ,19:36,Video,
,,,"Sẽ không có lời giải nào cho phần bài tập hay bất cứ bài giải nào đã được nhà xuất bản của sách Wheelock đăng ký bản quyền. Do đó, để có thể tiếp thu bài giảng này một cách tốt nhất, cũng như để bạn nhận được những lợi ích từ khóa học, bạn bắt buộc phải có giáo trình của Wheelock,",,Nắm vững ngữ pháp Latin sơ cấp,Sinh viên các trường trung học hay đại học mô hình học thuật truyền thống cần giúp đỡ,,Bổ sung nhanh chóng dấu thanh cho các nguyên âm trong từ,2:35,Video,
,,,"Một lớp học trình độ đại học điển hình bao gồm 15 chương đầu trong học kỳ học đầu tiên. Lớp học trình độ trung học sẽ giảng dạy 15 chương đầu này trong cả năm thứ nhất,",,Hiểu biết sâu hơn về từ vựng và ngữ pháp tiếng Anh,,,Làm thế nào để học tiếng Latin,14:55,Video,
,,,Tham gia khóa học tiếng Latin trực tuyến ngay bây giờ và học các chương 1-15 trong cuốn giáo trình Latin của Wheelock.,,,,"Phần 2: Những nét cơ bản về động từ, liên từ",,,,
,,,Chúc bạn may mắn!,,,,,Bài 1: Nét cơ bản về động từ,29:08:00,Video,
,,,,,,,,Bài 2: Các gốc động từ và hậu tố đi kèm,26:47:00,Video,
,,,,,,,,Bài 3: Ôn tập về động từ,11:26,Video,
,,,,,,,,Bài 4: Ôn tập hình thái từ và các khái niệm,3 trang,Document,
,,,,,,,,Bài 5: Trang từ vựng,3 trang,Document,
,,,,,,,,Bài 6: Thảo luận bài tập tự luyện,15:57,Video,
,,,,,,,,Bài 7: Phần đọc các câu tự luyện,5:23,Video,
,,,,,,,"Phần 3: Các danh từ, ngữ cảnh và ngôi  thứ nhất",,,,
,,,,,,,,Bài 1: Các ngữ cảnh và ngôi thứ nhất,51:19:00,,
,,,,,,,,Bài 2: Từ vựng,3 trang,,
,,,,,,,,Bài 3: Bảng ôn tập,3 trang,,
,,,,,,,,Bài 4: Thảo luận bài tập tự luyện ,18:21,,
,,,,,,,,Bài 5: Tự luyện đọc các câu  tiếng Latin,6:00,,
,,,,,,,"Phần 4: Ngôi thứ 2, hiểu hơn về các tính từ; phần chêm, ghi chú về trật tự từ",,,,
,,,,,,,,Bài 1: Ngôi thứ 2,15:36,,
,,,,,,,,Bài 2: Tìm hiểu bổ sung về các tính từ,5:51,,
,,,,,,,,Bài 3: Ôn tập tài liệu mới,8:42,,
,,,,,,,,Bài 4: Trang ôn tập,2 trang,,
,,,,,,,,Bài 5: Trang từ vựng,3 trang,,
,,,,,,,,Bài 6: Thảo luận bài tập tự luyện,22:05,,
,,,,,,,,Bài 7: Các câu tự luyện cho phần Đọc,4:36,,
,,,,,,,"Phần 5: Các giống của biến cách, các tính từ, trợ động từ Sum, cụm chủ vị, danh từ ",,,,
,,,,,,,,Bài  1: Động từ trung lập ngôi thứ 2,16:20,,
,,,,,,,,Bài  2: Các động từ cùng gốc,6:18,,
,,,,,,,,Bài 3: Trợ Động từ To be,5:37,,
,,,,,,,,Bài 4: Tính chất danh từ của các tính từ,4:16,,
,,,,,,,,Bài 5: Trang ôn tập,3 trang,,
,,,,,,,,Bài 6: Trang từ vựng,3 trang,,
,,,,,,,,Chương 4: Thảo luận tự học,7:26,,
,,,,,,,,Chương 4: Đọc các câu tự luyện,4:24,,
,,,,,,,"Phần 6: Chia động từ ngôi thứ nhất và ngôi thứ 2, tương lai và khứ lai, các tính từ in -er",,,,
,,,,,,,,Bài 1: Các thì tương lai và khứ lai,24:11:00,,
,,,,,,,,Bài 2: Tính từ,11:19,,
,,,,,,,,Bài 3: Trang ôn tập,3 trang,,
,,,,,,,,Bài 4: Trang từ vựng,3 trang,,
,,,,,,,,Chương 5: Tự thảo luận có hướng dẫn,8:17,,
,,,,,,,,Chương 5: Các câu tự đọc có hướng dẫn,4:17,,
,,,,,,,"Phần 7: Động từ sum và chi, túc từ",,,,
,,,,,,,,"Bài 1: Động từ Sum, chi và các túc từ",18:14,,
,,,,,,,,Bài 2: Trang ôn tập,3 trang,,
,,,,,,,,Bài 3: Trang từ vựng,3 trang,,
,,,,,,,,Chương 6: Tự thảo luận có hướng dẫn,8:26,,
,,,,,,,,Chương 6: Các câu tự đọc có hướng dẫn,5:15,,
,,,,,,,Phần 8: Các danh từ ngôi thứ 3,,,,
,,,,,,,,Bài 1: Các danh từ ngôi thứ 3,26:57:00,,
,,,,,,,,Bài 2: Trang ôn tập,2 trang,,
,,,,,,,,Bài 3: Trang từ vựng,3 trang,,
,,,,,,,,Chương 7: Tự thảo luận có hướng dẫn,10:01,,
,,,,,,,,Chương 7: Các câu tự đọc có hướng dẫn,5:56,,
,,,,,,,Phần 9: Các câu tự đọc có hướng dẫn,,,,
,,,,,,,,Bài 1: Chia động từ ngôi thứ 3,14:55,,
,,,,,,,,Bài 2: Trang ôn tập,2 trang,,
,,,,,,,,Bài 3: Trang từ vựng,3 trang,,
,,,,,,,,Chương 8: Thảo luận có hướng dẫn,47:18:00,,
,,,,,,,,Chương 8: Các câu luyện phần đọc có hướng dẫn,5:00,,
,,,,,,,"Phần 10: Chỉ từ với đuôi Hic, Ille, Iste; các tác tính từ đặc biệt",,,,
,,,,,,,,Bài 1: Chỉ từ,39:10:00,,
,,,,,,,,Bài 2: Trang ôn tập,4 trang,,
,,,,,,,,Bài 3: Trang từ vựng,3 trang,,
