Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
ngon-ngu-va-van-hoc-nga,Ngôn ngữ và văn học Nga,Một khóa học tương tác trực tuyến dành cho sinh viên muốn học tiếng Nga như một khóa học tại trường đại học,Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1: Giới thiệu và hướng dẫn,,,,
,,,TÓM TẮT KHÓA HỌC,Trình độ tiếng Anh trung bình/nâng cao,- 5 bài giảng và 50 phút nội dung,Dành cho học viên có hứng thú với với tiếng Nga ở trường đại học,,Cách thức để tham gia khóa học này,SCORM,,
,,,"Học tiếng Nga không chỉ mở ra cánh cửa tới một ngôn ngữ mới mà còn mở ra cánh cửa bước vào một nền văn hóa đa dạng, sôi nổi với một lịch sử hào hùng và các di sản văn hóa. Khóa học này đi theo mô hình các văn bằng ngôn ngữ của nhiều trường đại học thông qua việc cung cấp lời giới thiệu bảng ngôn ngữ và bảng chữ cái tiếng Nga, kết hợp với một bài thảo luận về văn học Nga, tâp trung vào nhiều nhà văn nổi tiếng như Pushkin, Tolstoy và Dostoyevsky.",Đam mê học ngôn ngữ và học hỏi văn hóa khác,"Nắm bắt được bảng chữ cái Cyrillic, một số từ và cụm từ tiếng Nga cơ bản","Dành cho bất kỳ ai có hứng thú với với ngôn ngữ, văn học và văn hóa",Phần 2: Tại sao học tiếng Nga?,,,,
,,,"Khóa học bắt đầu với ngôn ngữ Nga, mà trước tiên là giới thiệu cho học viên bảng chữ cái Cyrillic, nó chỉ có một chút khác biệt với bảng chữ cái La Mã cổ, và khác ở cách các chữ được phát âm. Một vài từ và cụm từ được giới thiệu cùng với cách chia động từ đơn giản, học viên được khuyến khích học cách đọc những từ, cụm từ này to với phát âm chính xác. Mục tiêu của chúng tôi là trang bị cho học viên sự tự tin cần có để học tiếng Nga như ở trường đại học. Phần thứ 2 của khóa học sẽ đi sâu vào văn học thế kỷ 19 và 20, lần lượt khám phá các tác giả lớn, cũng như các tác phẩm của họ đầu thế kỷ này. Học viên được khuyến khích để đánh giá sự khác biệt giữa 2 thế kỷ. Đây đều được coi là cột mốc chuyển giao xã hội và chính trị thời đầu thế kỷ 20 trước thềm Cách mạng Nga.",Học viên nên ghi chép lại các bài giảng để hiểu bài và ghi nhớ tốt hơn,"Biết được các kiến thức then chốt trong xã hội và nền văn hóa, và gốc rễ lịch sử của nền văn hóa này",Dành cho bất kỳ ai có hứng thú với với văn học quốc tế,,Tại sao học tiếng Nga,SCORM,,
,,,"Mục tiêu chung của khóa học là giúp bạn tìm hiểu bản sắc văn hóa của người Nga - văn hóa, ngôn ngữ, văn học, chính trị, và nhiều hơn nữa! Thậm chí các học viên không quen thuộc gì với đất nước xinh đẹp và giàu có này, chúng tôi sẽ giúp họ tìm hiểu và tìm ra con đường học vấn cao hơn ở đại học, và còn nhiều điều thú vị nữa!",,"Thêm yêu mến các tác phẩm của các tác giả lớn người Nga thế kỷ XIX, XX",,,Bài kiểm tra hướng dẫn 1,9 câu hỏi,Quiz,
,,,KHÓA HỌC NÀY BAO GỒM NHỮNG GÌ?,,,,Phần 3: Cải thiện vốn tiếng Nga của bạn,,,,
,,,"Khóa học này bao gồm 4 bài giảng trực tuyến - file ghi âm đi kèm theo tài liệu thuyết trình - mỗi bài kéo dài 1 tiếng đồng hồ. Hệ thống phân phát độc nhất, tương tác và theo nhu cầu của chúng tôi giúp học viên có thể bắt đầu ngay lập tức và làm việc qua thiết bị tùy thèo trình độ của họ. Cấu trúc tương tác của khóa học đảm bảo một môi trường học tập hấp dẫn và thoải mái. Các câu hỏi nhỏ và các bài kiếm tra sẽ giúp các học viên theo dõi quá trình học của mình một cách hiệu quả nhất. Khóa học này có thể bắt đầu ngay lập tức qua cách tương tác trực tuyến thông qua Tudemy - Nếu bạn đã chọn được khóa học mình muốn tham gia, bạn có thể bắt đầu ngay!",,,,,Cải thiện vốn tiếng Nga của bạn,SCORM,,
,,,KHÓA HỌC ĐƯỢC GIẢNG DẠY NHƯ THẾ NÀO?,,,,,Bài kiểm tra hướng dẫn 2,10 câu hỏi,Quiz,
,,,"Khóa học được chia ra các phần hướng dẫn, cùng với các bài thuyết trình tương tác trực tuyến, đi kèm bài giảng ghi âm kéo dài 1 giờ. Mỗi phần hướng dẫn sẽ được chia thành các chủ đề lớn, và các chương. Tất cả đều được điều khiển qua các tab ở đầu màn hình. Điều này đảm bảo khóa học được chia ra thành các phần dễ học, đồng thời mang tính giáo dục cao, tạo điều kiện cho họa viêm dễ dàng học tập.",,,,Phần 4: Văn học Nga thế kỷ 19  ,,,,
,,,TẠI SAO CHỌN KHÓA HỌC NÀY?,,,,,Văn học Nga thế kỷ 19,SCORM,,
,,,"Khóa học này là khóa học lý tưởng cho những ai đang chuẩn bị học tiếng Nga ở đại học, hoặc những người chưa từng học tiếng Nga ở trường vì đến với khóa học của chúng tôi, bạn có được cái nhìn đầy đủ nhất về tiếng Nga, văn học và văn hóa con người Nga.",,,,,Bài kiểm tra hướng dẫn 3,10 câu hỏi,Quiz,
,,,,,,,Phần 5: Văn học Nga thế kỷ 20,,,,
,,,,,,,,Văn học Nga thế kỷ 20,SCORM,,
,,,,,,,,Bài kiểm tra hướng dẫn 4,10 câu hỏi,Quiz,
,,,,,,,Phần 6: Kiểm tra cuối,,,,
,,,,,,,,Bài kiểm tra cuối kỳ,15 câu hỏi,Quiz,
