Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
ngon-ngu-co-the-cua-tinh-yeu-va-ho-hen,Ngôn ngữ cơ thể của tình yêu và hò hẹn,Tìm kiếm một mối quan hệ thành công cùng khoa học phi ngôn ngữ của sự quyến rũ. Tìm hiểu những dấu hiệu lãng mạn tinh tế để giải mã cuộc hẹn của bạn,Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1: Chào mừng,,,,
,,,Tôi muốn mang tới cho các bạn một cách tiếp cận hoàn toàn mới về tình yêu và hẹn hò.,Đang tìm kiếm tình yêu,Hơn 24 bài giảng với hơn 4 giờ giảng dạy,Đàn ông,,Giới thiệu,10:05,Video,
,,,"Khóa học này sẽ giúp bạn làm chủ sự lãng mạn, từ tán tỉnh, hẹn hò, thu hút cho tới kết nối.",Những chàng trai cô gái còn độc thân,Thu hút một nửa hoàn hảo của bạn,Phụ nữ,,Thách thức,3:25,Video,
,,,Quan trọng là khóa học này sẽ chỉ ra cho làm như thế nào để thu hút một nửa hoàn hảo của bạn.,Quan tâm tới tất cả các phương diện của các mối quan hệ,Có một cuộc hẹn thật tự tin,,,Tài liệu,2:10,Video,
,,,Bạn muốn biết làm như thế nào chứ?,,Có khả năng thu hút ngay từ ấn tượng đầu tiên,,Phần 2: Ngôn ngữ cơ thể của tình yêu,,,,
,,,Mọi thứ đều xuất phát từ cơ thể bạn. Tôi sẽ dạy bạn khoa học phi ngôn từ của tình yêu.,,Sử dụng ngôn ngữ cơ thể để tạo sự lãng mạn,,,Ngôn ngữ cơ thể của tình yêu,7:18,Video,
,,,Đây là lời hứa của tôi:,,Giải mã những cảm xúc thầm kín trong cuộc hẹn của bạn,,Phần 3: Khoa học của sự thu hút,,,,
,,,"Khi bạn hiểu về ngôn ngữ cơ thể trong hẹn hò, nó sẽ giống như việc bạn đi hẹn hò với một tâm thế được nâng lên một bậc. Bạn có thể sẽ phát hiện ra những dấu hiệu bị bỏ lỡ, thấy được những cảm xúc ẩn, và bạn biết chính xác làm thế nào để đánh giá sự kết nối của giữa hai người",,"Làm chủ cuộc hẹn trực tuyến, tán gẫu điện thoại và tán tỉnh",,,Khoa học về sự thu hút,12:58,Video,
,,,"Mỗi bài học sẽ có các bước hành động, giải pháp mang tính chiến thuật và những ví dụ thực tế trong cuộc sống. Chúng tôi sử dụng tất cả các công cụ thích hợp để đưa tới các bạn một khóa học tốt nhất. Chúng ta có những khán giả trực tiếp trong từng phần chúng ta cần, ví dụ như những video truyền hình thực tế, khoa học hấp dẫn và những thử thách thú vị",,"Tìm hiểu xem làm thế nào để hành động đúng cách, vào đúng thời điểm",,,"Khoa học về sự thu hút: ôn tập, ví dụ và thử thách",7:16,Video,
,,,Tôi rất mong được gặp các bạn trong khóa học. Có thể có đôi lúc tôi hơi ủy mị nhưng hãy chiều lòng tôi và tham gia cùng tôi trong khóa học này.,,Xây dựng sự kết nối bền vững,,Phần 4: Tán tỉnh căn bản,,,,
,,,"Khóa học này dành cho cả nam và nữ, thực tế bạn sẽ thấy được giới tính khác nhau thì tiếp cận chuyện hẹn hò như thế nào.",,Tìm hiểu làm thể nào để phát hiện ra những dấu hiệu lãng mạn bị bỏ lỡ,,,Tán tỉnh căn bản,20:35,Video,
,,,,,,,,"Tán tỉnh cơ bản: Ôn tập, ví dụ và thử thách",9:58,Video,
,,,,,,,Phần 5: Tâm lý học về sự tán tỉnh,,,,
,,,,,,,,Tâm lý học về sự tán tỉnh ,13:44,Video,
,,,,,,,,"Tâm lý học của sự tán tỉnh: Ôn tập, ví dụ, thử thách",5:01,Video,
,,,,,,,,Hành động nhướn mày ,2:07,Video,
,,,,,,,Phần 6: Động lực hẹn hò,,,,
,,,,,,,,Động lực hẹn hò,30:00:00,Video,
,,,,,,,,"Động lực hẹn hò: Ôn tập, Ví dụ, và Thử thách",11:03,Video,
,,,,,,,Phần 7: Khả năng kết nối mối quan hệ,,,,
,,,,,,,,Khả năng kết nối mối quan hệ ,8:15,Video,
,,,,,,,,"Khả năng kết nối mối quan hệ: Ôn tập, ví dụ và thử thách",6:16,Video,
,,,,,,,Phần 8: Hãy rèn luyện thể chất,,,,
,,,,,,,,Hãy rèn luyện thể chất,17:48,Video,
,,,,,,,,"Hãy rèn luyện thể chất: Ôn tập, Ví dụ và thử thách",9:12,Video,
,,,,,,,Phần 9: Đi vào hành động,,,,
,,,,,,,,Đi vào hành động,2:28,Video,
,,,,,,,,Bước tiếp theo,12:44,Video,
,,,,,,,,Kiểm tra kỹ năng tình yêu của bạn,20 câu hỏi,Quiz,
,,,,,,,Phần 10: Kết luận,,,Video,
,,,,,,,,Xem xét lại thử thách,2:37,Video,
,,,,,,,,Video tặng kèm: Tán tỉnh qua điện thoại,13:36,Video,
,,,,,,,,Video tặng kèm: Hẹn hò trực tuyến,13:23,Video,
,,,,,,,,Phần thưởng hài hước,4:03,Video,
,,,,,,,,Lời cuối,6:19,Video,
