Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
kich-ban-phim-tri-gia-hang-trieu-do-hay-viet-len-bo-phim-cua-chinh-ban-ngay-hom-nay,Kịch bản phim trị giá hàng triệu đô! Hãy viết lên bộ phim của chính bạn ngay hôm nay,"
Học các bí quyết đằng sau kịch bản những bộ phim thành công trên thế giới",Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1: Hãy viết câu chuyện mà bạn muốn viết. Hãy bắt đầu,,,,
,,,Kĩ thuật viết kịch bản chuyên nghiệp,Sự sẵn sàng học cách viết để kể câu chuyện mà bạn muốn. Máy tính xách tay hoặc bảng và bút là đủ.,- Hơn 21 bài giảng với 1.5 giờ nội dung!,Những biên kịch mới hoặc chuyên nghiệp.,,Giới thiệu chung,6:33,Video,
,,,Phát triển nội dung cho màn ảnh rộng,,"- Ở cuối khóa học, bạn sẽ có thể tạo ra 1 kịch bản phim hoàn thiện đầy ấn tượng.",,,Cốt truyện,4:36,Video,
,,,Tạo ra những nhân vật hấp dẫn để thu hút các ngôi sao điện ảnh,,,,,Câu tóm tắt truyện,4:17,Video,
,,,Những đoạn thoại xuất sắc,,,,,Tiêu đề,2:13,Video,
,,,Cấu trúc đóng vai trò như một bản kế hoạch cho bộ phim,,,,Phần 2: Tạo ra các nhân vật và hình ảnh để đưa bộ phim tới đời thực,,,,
,,,Cảnh phim tạo nên sự hồi hộp,,,,,Vai chính,4:20,Video,
,,,Diễn biến kịch bản để kiểm soát dàn diễn viên,,,,,Vai phản diện,3:45,Video,
,,,Ý tưởng phim tốt để viết một kịch bản nổi bật,,,,,Hình ảnh mở đầu,3:31,Video,
,,,Và nhiều hơn thế nữa,,,,Phần 3: Bố cục của kịch bản là sơ đồ cho chúng ta sáng tạo ngôn ngữ!,,,,
,,,Những chuyên gia trong ngành công nghiệp giải trí nhận xét về giảng viên:,,,,,TÌnh tiết cao trào,2:21,Video,
,,,"""Một trải nghiệm đầy cảm hứng. Tôi đã hoàn thành lớp học này và cảm thấy sẵn sàng hơn. Thật vô giá"" Tuấn Khanh",,,,,Trang 1,3:22,Video,
,,,"""Giảng viên đã tạo được tiếng vang về tình yêu và sự cống hiến của ông đối với học viên của mình và viết kịch bản. Ông ấy là một nghệ sĩ và là một giáo viên điềm tĩnh và thực tế nhưng giàu trí tưởng tượng"" Thái Anh",,,,,Trang 30,2:53,Video,
,,,"""Khóa học này dạy về viết kịch bản một cách toàn diện "" Phương Quỳnh",,,,,Trang 45,3:06,Video,
,,,"""Khóa học không nằm ngoài dự đoán, cực kì có kĩ năng với những kịch bản của mình "" Thùy Dung",,,,,Trang 60,4:56,Video,
,,,"""Giảng viên là một trong số những biên kịch giỏi nhất tôi từng biết trong 50 năm có lẻ làm việc trong ngành điện ảnh"" Đức Hòa",,,,,Trang 75,4:06,Video,
,,,"""Thật là một tuyệt tác "" Hà Phương",,,,,Trang 90,7:19,Video,
,,,"""Phong cách dạy của giảng viên hết sức tinh tế "" Đức Bình",,,,,Tình tiết kết thúc,4:25,Video,
,,,"""Tôi đã bị cuốn đi bởi những hiểu biết của ông ấy về viết kịch bản phim: Hà Phương",,,,Phần 4: Bí quyết viết kịch bản mà những nhà biên kịch chuyên nghiệp tận dụng và giờ tới lượt bạn,,,,
,,,"""Một nhà biên kịch với ý tưởng mạch lạc và súc tích. Các công cụ cần thiết cho những kịch bản sơ khai cho tới những người làm chuyên nghiệp. Tôi mãi mãi khâm phục"" Ngọc Hải",,,,,Dựng cảnh,4:26,Video,
,,,"""Giảng viên đơn giản là một trong số những người giỏi nhất tôi từng làm việc chung""",,,,,Tuyến nhân vật,4:16,Video,
,,,Trà Giang,,,,,Mạch viết,6:11,Video,
,,,,,,,Phần 5: Sự khác biệt giữa kịch bản thương mại và phi thương mại,,,,
,,,,,,,,"Tin tốt, tin xấu, khung giờ, giờ giấc",4:53,Video,
,,,,,,,,Làm rõ nội dung,2:48,Video,
,,,,,,,,Kết luận,4:23,Video,
