Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
gia-tri-cua-dau-tu-bootcamp-tim-hieu-de-dau-tu-tien-cua-ban-mot-cach-khon-ngoan,Giá trị của đầu tư Bootcamp - Tìm hiểu để đầu tư tiền của bạn một cách khôn ngoan,Tìm hiếu bí mật của các nhà đầu tư chứng khoán giỏi nhất để tự tin quản lý danh mục đầu tư của bạn và kiếm được tiền lãi trên mức trung bình.,Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1: Giới thiệu về đầu tư,,,,
,,,"""Đầu tư vào kiến thức là sự đầu tư có lời nhất"" Benjamin Franklin",- Tinh thần cởi mở và quyết tâm tạo ra khác biệt so với đám đông.,- Hơn 25 bài giảng và 4.5 giờ giảng dạy,- Những người muốn quản lý tiền của họ và kiếm lời trên mức trung bình,,Một đoạn giới thiệu ngắn về đầu tư giá trị,14:02,Video,
,,,"Bạn có muỗn tìm hiểu về ""Những bí mật đầu tư"" của các nhà đầu tư xuất chúng nhất mọi thời đại không?",- Không cần có kiến thức về thị trường chứng khoán,- Hơn 3 giờ giảng dạy thông qua video sẽ cung cấp cho bạn những chiến lược đầu tư được những nhà đầu tư giỏi nhất trên thế giới tin dùng.,"- Những nhà đầu tư tìm kiếm những chiến lược đã được thử nghiệm, ít rủi ro để liên tục phát triển khối tài sản của họ.",,Tại sao bạn có thể khá hơn mà không cần đến một tư vấn viên?,10:19,Video,
,,,"Những người quan tâm tìm hiểu đầu tư thường đắm chìm trong các bản tin bất tận về tài chính và kế hoạch làm giàu nhanh chóng, đến nỗi không còn biết cái gì nên làm cái gì không. Đó là lý do vì sao họ mất tập trung và thường làm mất tiền của mình.",- Không cần tài liệu bắt buộc,"- Ngoài các video, bạn cũng sẽ có 3 cuốn sách điện tử ebook, 5 bộ câu hỏi trắc nghiệm, 1 bảng tính và một danh sách đầu tư 25 mục",- Những người muốn hiểu sâu về đầu tư giá trị,,Vì sao mọi người lại đánh mất tiền của mình trên thị trường chứng khoán?,11:28,Video,
,,,Bạn đã bao giờ cảm thấy choáng bởi luồng thông tin quá tải? Bạn đã bao giờ cảm thấy lạc trong những từ ngữ chuyên môn và những chiến lược mà giới đầu tư đưa ra? Khóa học này có thể giúp ích cho bạn.,,"- Từ những khái niệm cơ bản cho đến nâng cao, khóa học này có mọi thứ bạn cần biết về đấu tư giá trị",- Khóa học này KHÔNG dành cho những người trông chờ trở thành triệu phú trong một ngày!,,Xác định những mục tiêu đầu tư của bạn,10:50,Video,
,,,Khóa học đầu tư này dạy bạn những chiến lược hiệu quả của những nhà đấu tư xuất chúng như Warren Buffett và Seth Klarman dùng để kiếm hàng tỷ đô trong thị trường chứng khoán: đầu tư giá trị,,- Việc được học trọn đời với khóa học này cho phép bạn dễ dàng ôn tập và tiếp tục tìm hiểu tài liệu mới.,,,10 nhà đầu tư giỏi nhất trên thế giới,14 pages,Document,
,,,"Trên thực tế có nhiều khóa học chỉ bàn luận qua loa nhưng khóa học này thì hoàn toàn khác. Nó đi sâu vào nghiên cứu các vấn đề cốt lõi cùng những câu hỏi để kiểm tra kiến thức của bạn. Ngoài ra còn có thêm sách điện tử ebook giúp bạn hiểu sâu hơn, bảng tính giúp bạn đẩy nhanh những tính toán quan trọng và bản checklist liệt kê những việc cần kiểm tra giúp ra quyết định tốt hơn.",,"- Sau khi tham gia khóa đào tạo này, bạn sẽ trở thành một chuyên gia về đầu tư giá trị cùng với sự tự tin khi quản lý danh mục đầu tư của riêng mình.",,,Trắc nghiệm 1,4 questions,Quiz,
,,,"Những khái niệm được giới thiệu dần dần nên một người mới cũng dễ dàng theo dõi và ngay lập tức trở thành một nhà đầu tư đầy tự tin. Đầu tư giá trị là một chiến lược đầy sức mạnh, rủi ro thấp và đã được chứng minh. Nó cho phép bạn kiếm về lợi nhuận trên trung bình một cách thích hợp. Sau khi hoàn thành khóa học này bạn sẽ:",,,,Phần 2: Giá cả so với giá trị,,,,
,,,"- Hiểu được mọi khía cạnh của đầu tư giá trị, những chiến lược của các nhà đầu tư chuyên nghiệp",,,,,"Giá cả là cái mà bạn phải trả, giá trị là cái mà bạn có được",11:08,Video,
,,,"- Tính toán được ""giá trị nội tại"" của mọi cổ phiếu",,,,,Tại sao cố phiếu bị định giá sai?,12:44,Video,
