Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
khoa-hoc-git-cap-toc-trong-1-gio,Khóa học Git cấp tốc trong 1 giờ,"Tìm hiểu các khái niệm và quy trình làm việc cơ bản cho Git và GitHub với điều này dễ làm theo, đánh giá hàng đầu, tất nhiên khởi động trại phong cách!",Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1: Giới thiệu khóa học và tổng quan,,,,
,,,Git Going Fast: Khóa học cấp tốc trong 1 giờ,Kĩ năng máy tính cơ bản.,Hơn 31 bài giảng và 1 giờ hướng dẫn nội dung!,Bất cứ ai quan tâm đến việc sử dụng điều khiển nguồn đặc biệt là công cụ Git.,,Video mẫu xem trước,0:58,Video,
,,,"Khóa học này được thiết kế với mục đích giảm nội dung lí thuyết, chỉ tập trung vào những khái niệm quan trọng và những nội dung cơ bản trong Git để đạt hiệu quả nhanh chóng. Học sinh có thể học được những kiến thức cơ bản, cần thiết để bắt đầu sử dụng Git trong vòng chưa đầy một giờ.",Kĩ năng cài đặt phần mềm trên máy tính.,Tìm hiểu các khái niệm then chốt của hệ thống kiểm soát nguồn Git.,"Các kỹ sư phần mềm, nhà phát triển, và lập trình còn mới mẻ với Git.",,Giới thiệu,3:38,Video,
,,,TÓM TẮT KHÓA HỌC,Máy tính có thể yêu cầu quyền quản trị để cài đặt phần mềm.,Trải qua toàn bộ quy trình làm việc cơ bản của Git.,,,Nội dung chính,1:44,Video,
,,,"Giới thiệu tổng quan khóa học nhằm đưa ra chỉ dẫn cho khóa học này và hệ thống vận hành Git. Nghiên cứu, thảo luận các khái niệm và cách thức hoạt động cơ bản.",,Xác thực cấu hình SSH.,,,Quy trình học,1:45,Video,
,,,"Cài đặt và cấu hình cung cấp các bước hướng dẫn cài đặt Git cho Windows và Mac OS X, cách sử dụng lệnh trợ giúp Git, và các thiết lập các yêu cầu tối thiểu của cấu hình để có thể sử dụng Git.",,Tạo và sử dụng một kho lưu trữ từ xa trên GitHub.,,,Giới thiệu và Các khái niệm quan trọng,6 câu hỏi,Quiz,
,,,"Trong phần ""Làm việc với Git (Local)"", chúng tôi sẽ giảng về các dòng lệnh cần để tạo mới một project được quản lý bởi Git (hoặc dùng Git cho một project sẵn có) tất cả các cách thức thông qua thực hiện các gắn kết, bao gồm cả các thao tác của các tệp phổ biến như di chuyển và xóa các tệp. Chúng tôi cũng đưa ra các cách để loại trừ các tệp sai khác vô tình bị gắn vào và làm thế nào để xem lại lịch sử của kho lưu trữ của bạn.",,,,Phần 2: Thiết lập và Cấu hình,,,,
,,,"Phần ""Tương tác từ xa (Remote)"" chứa các phần đã được tạo tại Local (phần trên) trên GitHub. Khởi động bằng cách thiết lập chứng thực SSH, tạo ra các phiên bản từ xa (remote) trên kho lưu trữ, liên kết các kho Local với các phiên bản Remote trên GitHub, và cuối cùng chuyển những thay đổi của chúng lên đến kho lưu trữ từ xa.",,,,,Tổng quan quá trình cài đặt,1:41,Video,
,,,ĐẶC ĐIỂM KHÓA HỌC,,,,,Cài đặt mẫu Git cho hệ điều hành Windows,2:18,Video,
,,,Phần Thuyết trình cung cấp các hướng dẫn bằng âm thanh/video về các ý tưởng khái niệm.,,,,,Cài đặt Git cho Mac thông qua Xcode,1:38,Video,
,,,"Screencast (quay phim màn hình) cung cấp các video quay lại từ màn hình máy tính của giảng viên với tất cả các hoạt đồng, dòng lệnh. Có tổng cộng 56 phút thời lượng video trong khóa học này (Thuyết trình + Quay màn hình, chưa kể các Video quảng cáo)",,,,,Hỗ trợ trong quá trình sử dụng Git,1:24,Video,
,,,Sau mỗi bài giảng hay một nhóm các bài giảng liên quan đến nhau trong các phần demo của khóa học là các bài giảng về lệnh liệt kê làm tài liệu tham khảo và nhắc nhở các lệnh được đã sử dụng trong các bài giảng trước. Mỗi Lệnh liệt kê bao gồm các danh sách chính xác được sử dụng trong các bài giảng trước và hướng dẫn tham khảo cho các lệnh mới. Tất cả các lệnh được sử dụng trong khóa học này đểu có thông qua các bài giảng về danh sách các lệnh.,,,,,Các lệnh trợ giúp,Văn bản,Text,
,,,Bốn bài thi nhằm củng cố các khái niệm quan trọng bằng cách kiểm tra kiến ​​thức vừa được học trong suốt khóa học.,,,,,Cấu hình Git,2:41,Video,
,,,"Một số file đính kèm trong suốt khóa học cung cấp thông tin bổ sung, minh họa, hoặc các tài liệu tham khảo khác.",,,,,Các lệnh cấu hình,Văn bản,Text,
,,,TĂNG TỐC,,,,,Cài đặt và cấu hình,2 câu hỏi,Quiz,
,,,Học sinh có thể kiểm tra bài giảng cuối cùng của tôi về nguồn Git liên quan khác. Người hướng dẫn luôn sẵn sàng giải đáp các câu hỏi đơn giản bằng email và có thể hướng dẫn thanh toán theo yêu cầu qua trang web http://git.training/.,,,,Phần 3: Làm việc với Git (Local),,,,
,,,,,,,,Khởi động mới,2:21,Video,
,,,,,,,,Khởi động với chương trình có sẵn,1:31,Video,
,,,,,,,,Khởi động các lệnh,Text,Text,
,,,,,,,,"Lệnh cam kết đầu tiên
Xem trước",4:48,Video,
,,,,,,,,Lệnh cam kết đầu tiên,Văn bản,Text,
,,,,,,,,"Làm việc địa phương, phần 1",3:29,Video,
,,,,,,,,"Làm việc địa phương, phần 2",6:33,Video,
,,,,,,,,Các lệnh làm việc địa phương,Văn bản,Text,
,,,,,,,,Lịch sử hoạt động của Git,1:48,Video,
,,,,,,,,Loại bỏ tập tin,4:45,Video,
,,,,,,,,Di chuyển tập tin,2:18,Video,
,,,,,,,,Bỏ qua tập tin,2:39,Video,
,,,,,,,,Lịch sử và các lệnh quản lí tập tin,Văn bản,Text,
,,,,,,,,Làm việc với Git tại Local,8 câu hỏi,Quiz,
,,,,,,,Phần 4: Tương tác từ xa (Remote),,,,
,,,,,,,,Thiết lập SSH xác thực,4:39,Video,
,,,,,,,,Các lệnh với SSH xác thực,Văn bản,Text,
,,,,,,,,Phối hợp với Git Remotes và GitHub,5:47,Video,
,,,,,,,,Các lệnh với Git Remote,Văn bản,Text,
,,,,,,,,Tương tác từ xa,6 câu hỏi,Quiz,
,,,,,,,Phần 5: Kết luận,,,,
,,,,,,,,Lời kết,0:38,Video,
