Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
khoa-hoc-kiem-thu-phan-mem-tot-nhat-danh-cho-ban,Khóa học kiểm thử phần mềm tốt nhất dành cho bạn!,Khóa học đào tạo kiểm thử phần mềm cho người ở trình độ sơ cấp/trung cấp. Học và nắm được kiểm thử phần mềm thật nhanh chóng từ các chuyên gia,Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1: Buổi học video mới khóa (học) thứ 2,,,,
,,,Học và nắm được kiểm thử phần mềm thật nhanh chóng từ các chuyên gia giàu kinh nghiệm - Đảm bảo!,Bất cứ ai có kiến thức về máy tính cơ bản đều có thể tham dự khoá học này.,"Hơn 36 bài giảng và 55,5 giờ nội dung!","Các kiểm thử viên phần mềm, lập trình viên, người thiết kế, nhà tư vấn kiểm thử, các trưởng nhóm kiểm thử, các quản lý kiểm thử, các kỹ sư QA, các chỉ huy và nhà quản lý QA, các nhà phân tích kinh doanh, sinh viên, sinh viên vừa tốt nghiệp.",,Khóa học Tổng quan,28:29:00,Video,
,,,Dạy kiểm thử phần mềm tốt nhất mà bạn từng biết.,,DỰ ÁN THỰC TẾ: đào tạo kiểm thử phần mềm từ đầu đến cuối.,"Nếu bạn vừa ra trường, đây chính xác là những gì bạn đang tìm kiếm để mở ra cánh cửa cho sự nghiệp ước mơ của bạn.",,Ngày 1 - Định hướng học,1:56:16,Video,
,,,trên 20 bài giảng dễ hiểu và trên 30 giờ nội dung chất lượng cao!,,Tìm hiểu cơ bản về kiểm thử phần mềm và tự động hóa từ một giáo viên chuyên nghiệp ngay tại bàn làm việc của bạn.,"Nếu bạn là một người có kinh nghiệm chuyên nghiệp từ bất kỳ lĩnh vực nào khác nhưng muốn tìm hiểu về kiểm thử phần mềm, khóa học này sẽ giúp bạn thực hiện mong muốn của bạn.",,Ngày 2 - Mô hình V về phát triển phần mềm và giai đoạn thử nghiệm,1:53:16,Video,
,,,"Giới thiệu khóa học kiểm thử phần mềm thực tiễn nhất, chính xác nhất và rẻ nhất: kiểm thử phần mềm (Cơ bản và nâng cao) + Tổng quan tự động hóa.",,Thông tin đóng gói đào tạo thực tế bắt đầu từ cơ bản đến các kỹ thuật kiểm thử nâng cao.,"Nếu bạn là một kiểm thử viên phần mềm có kinh nghiệm chuyên nghiệp, bạn sẽ ngạc nhiên với những điều mới mẻ và các chiến thuật cực kì tiên tiến. Bạn sẽ học được cách làm việc hiệu quả và thông minh trong lĩnh vực này.",,"Ngày 3 - AUT, loại kiểm thử, Phương pháp Agile và Tổng quan dự án thực tiễn",1:56:55,Video,
,,,"Ở đây có tất cả những gì bạn cần để trở thành một người kiểm thử phần mềm chuyện nghiệp. Khóa học đào tạo kiểm thử phần mềm được thiết kế bởi các chuyên gia trong lĩnh vực này sẽ giúp bạn dần tiến bộ từ những kiến thức căn bản cho đến các chủ đề nâng cao như quản lý cấu hình phần mềm, thiết lập kế hoạch kiểm thử, dự tính kiểm thử... cùng với việc giới thiệu và làm quen với kiểm thử tự động và các công cụ quản lý kiểm thử như QTP (intro), QC, JIRA, qtest, và Bugzilla.",,Phù hợp tốt nhất cho người mới bắt đầu cho đến người ở trình độ nâng cao và người học nhanh hơn khi được chứng minh.,,,Ngày 4 - STLC và các kịch bản kiểm thử ,1:58:45,Video,
,,,LỢI ÍCH TỪ KHÓA HỌC,,Nội dung khóa học được thiết kế bằng cách xem xét mối liên quan giữa công nghệ kiểm thử phần mềm hiện tại và thị trường việc làm.,,,"Ngày 5 - ROI, Chi phí chất lượng, FSD, Viết các trường hợp kiểm thử",2:00:13,Video,
,,,- LÝ THUYẾT: Chúng tôi đã đưa ra một danh sách các chủ đề sẽ giúp bạn dần làm việc theo cách của riêng mình trong việc kiểm thử,,Bài tập thực hành ở cuối mỗi bài giảng.,,,Ngày 6 - Kiểm tra từng bước hoàn thành kế hoạch kiểm thử,2:00:54,Video,
,,,- THỰC HÀNH: Bạn sẽ nhận được các bài tập để áp dụng ngay các lý thuyết bạn học.,,Học tập kinh nghiệm thực tiễn với những ví dụ và công trình dự án thực tế.,,,"Ngày 7 - Tiến trình viết trường hợp kiểm thử, dữ liệu kiểm thử",1:50:54,Video,
,,,Các bài giảng video của giáo viên dẫn dắt một cách sống động.,,Đăng kí - Nộp lệ phí một lần và tham gia các buổi đào tạo video không giới hạn số lần.,,,"Ngày 8 - Thực hiện kiểm thử, ma trận dấu vết, đánh giá, báo cáo tình trạng",1:46:42,Video,
,,,Học tập kinh nghiệm thực tiễn với những ví dụ và dự án thực tế.,,Hướng dẫn chuẩn bị Resume cho kiểm thử viên phần mềm.,,,"Ngày 9 - Quản lý khiếm khuyết, các công cụ chất lượng, quản lý thay đổi, quản lý phiên bản",1:52:07,Video,
,,,HỖ TRỢ: Chúng tôi luôn sẵn sàng kết nối với các bạn thông qua email hoặc trang web.,,Câu hỏi phỏng vấn kiểm thử phần mềm và các chú ý cần chuẩn bị.,,,"Ngày 10 - Bugzilla, chứng chỉ kiểm thử",1:37:13,Video,
,,,Hơn 20 bài giảng và hơn 30 giờ nội dung HD!,,"Tải các mẫu kiểm thử phần mềm thật như kế hoạch kiểm thử, các trường hợp kiểm thử và các mẫu quan trọng khác.",,,Ngày 11 Công cụ Quản lý kiểm thử JIRA,1:27:47,Video,
