Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
giam-can-khong-can-do-mo-hoi,Giảm cân không cần phải đổ mồ hôi!,Giảm cân mà không cần đổ mồ hôi. Sau đây là hướng dẫn về chế độ ăn kiêng để bạn có thể giảm cân mà không cần phải luyện tập chút nào!,Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1: Làm sao để giảm cân mà không cần luyện tập,,,,
,,,Hơn 3000 học sinh tham gia đã thành công trong việc giảm cân mà không cần luyện tập,Một nồi nấu ăn và nồi ninh,"Hơn 32 bài giảng với 1,5 giờ video",Bất cứ ai muốn giảm cân mà không muốn luyện tập,,Khóa học này bao gồm những gì,0:24,Video,
,,,Cập nhật vào tháng 6/2015 với những nội dung bổ sung.,,Giảm cân mà không cần luyện tập,,,Tại sao bạn lại cố gắng để giảm cân,5:01,Video,
,,,Bạn đã từng vật lộn...,,Lựa chọn thức ăn tốt cho sức khỏe để giảm cân,,,Tại sao chế độ ăn kiêng lại k giúp bạn giảm cân,2:53,Video,
,,,Để giảm cân,,Tốn ít thời gian vào bếp hơn trong khi nấu được những món ngon không tưởng và nó lại giúp bạn giảm cân,,,Bạn có thể giảm cân mà không luyện tập,1:42,Video,
,,,Để giảm cân và giữ cân,,Ăn thỏa thích mà vẫn giảm được cân,,,Bạn sẽ tạo sự khác biệt như thế nào,1:23,Video,
,,,"Cùng với việc giảm cân là tăng cân trở lại, và hơn thế nữa?",,,,Phần 2: Thực sự thì phải ăn gì để giảm cân,,,,
,,,Cùng với việc tìm ra thời gian hoặc động lực để đi tập thể hình ?,,,,,Khước từ trách nhiệm cho khóa học,1 page,Document,
,,,Để ăn uống khỏe mạnh hơn ?,,,,,Bạn đang đốt bao nhiêu calo,3:55,Video,
,,,Để tìm thấy thời gian hoặc năng lượng để nấu ăn ?,,,,,Tặng thêm: Các nguồn tham khảo miễn phí cho việc giảm cân hiệu quả,Text,Text,
,,,Cùng với việc thử hàng tá các loại chế độ ăn kiêng khác nhau nhưng lại không có chế độ nào hiệu quả với bạn ?,,,,,Tôi có phải tính lượng Calo không?,2:20,Video,
,,,Để tìm ra người sẽ hỗ trợ bạn trong việc giảm cân?,,,,,Công thức giảm cân của bạn,3:58,Video,
,,,Điều gì sẽ xảy ra nếu tôi nói cho bạn một cách tốt hơn để giảm cân,,,,,Tại sao giảm calo nhanh chóng là 1 cách giảm cân nguy hiểm,2:14,Video,
,,,Nếu như có một cách dễ dàng hơn để giảm cân,,,,,CHÍNH XÁC thì bạn thật sự cần ăn gì để giảm cân,2:13,Video,
,,,Sẽ như thế nào nếu bạn có thể giảm tất cả cân nặng bạn muốn mà không cần tốn một giọt mồ hôi hay phải đặt chân tới trung tâm thể hình,,,,,Tại sao bạn cần phải thực sự có trách nhiệm thì mới giảm được cân,1:51,Video,
,,,"Nếu bạn đã liên tục cố gắng giảm cân trong suốt nhiều tuần, nhiều tháng haowjc nhiều năm nhưng bạn không có thời gian để tập thể dục, chương trình này chính là cho bạn",,,,,Làm sao để tiết kiệm thời gian nấu ăn nhưng vẫn nấu được món ngon,1:46,Video,
,,,"Nếu bạn quá bận suốt cả tuần để dành ra thời gian tập thể dục hay tới trung tâm thể hình, hoặc bạn không có khả năng để tập luyện, đừng lo lắng! Bạn vẫn có thể giảm cân mà không cần đổ mồ hôi",,,,,Cách đơn giản để nấu món ăn tốt cho sức khỏe nhưng vẫn ngon,2:19,Video,
