Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
day-nhay-hip-hop-cho-nguoi-moi-hoc,Dạy nhảy Hip Hop cho người mới học,Lớp học nhảy Hiphop cơ bản trực tuyến cho bạn,Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương 1: Những điều cơ bản,,,,
,,,Học và thành thạo các bài nhảy Hip Hop từ những bản nhạc đơn giản đến những bài nổi tiếng nhất,Phòng để nhảy,48 bài giảng và 5 giờ nội dung,Những người hoàn toàn nghiệp dư. Không đòi hỏi bất kỳ kinh nghiệm gì.,,Tại sao bạn yêu thích chương trình học này?,1:48,Video,
,,,Bạn luôn muốn tập nhảy Hip Hop nhưng lại ngại tới các lớp học đông người hoặc không có studio nào ở gần để đi tập?,Quyết tâm luyện tập. Bạn không thể nào trở nên giỏi ngay từ những lần đầu tiên được,Trình diễn vũ đạo hip hop một cách thoải mái,Không dành cho những người đã có kinh nghiệm vũ đạo từ 2-3 năm,,Bạn liên lạc với tôi bằng cách nào?,1:06,Video,
,,,Các bạn đừng lo! Tôi ở đây để hướng dẫn các bạn! Bạn sẽ được học những bài tập căn bản nhất để làm bệ phóng cho việc học cách các bước nhảy và chuyển động thực sự,Trang phục thoải mái để nhảy,Hiểu 8 nhịp cơ bản,Những học viên thích thử nghiệm,,Làm cách nào để tăng hiệu quả cho chương trình học này?,1:08,Video,
,,,"Nếu bạn đã từng theo dõi các nhóm như Poreotics, Mix'd Elements, Jabbawockees, thì họ cũng đều có chung một điểm xuất phát: những người nghiệp dư. Họ không hề bỗng nhiên trở thành chuyên nghiệp một cách kì diệu.",,Biết cách trình diễn với biểu cảm không nhàm chán,,,Làm thế nào để tiến bộ hơn?,1:54,Video,
,,,Tôi tạo ra khóa học này cho những người bắt đầu từ con số 0. Bạn không cần có bất kỳ kinh nghiệm nhảy múa nào cả. Vì thế nên nếu bạn đã học nhảy được 2-3 năm rồi thì khóa học này không dành cho bạn.,,"Sử dụng vũ đạo vào các mục đích riêng (đám cưới, lễ kỷ niệm,v.v.)",,,Xem kỹ trước khi bắt đầu: Bạn sẽ học qua mỗi lớp như thế nào?,1:03,Video,
,,,TÔI SẼ HƯỚNG DẪN BẠN:,,"Hiểu về nhịp điệu, cách di chuyển, động tác cơ bản của hip hop",,Chương 2: Phản hồi từ các học viên,,,,
,,,- Hiểu 8 nhịp cơ bản,,,,,Steve Yurida,0:42,Video,
,,,- Kết cấu để bài nhảy của bạn không bị đơn điệu,,,,,Annett Bone,1:15,Video,
,,,- Làm cách nào để trình diễn mà không cảm thấy ngại ngùng,,,,,Danny Barcelon,1:30,Video,
