Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
cap-cuu-bang-bam-huyet-tu-chua-nhanh-trong-cac-truong-hop-khan-cap,Cấp cứu bằng bấm huyệt: Tự chữa nhanh trong các trường hợp khẩn cẩp,"Hỗ trợ các tình huống khẩn cấp như ngất xỉu, co giật  với các video bấm huyệt chuyên nghiệp tốt nhất.",Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương 1: Bấm huyệt là gì?,,,,
,,,Chào mừng đến với bài học bấm huyệt trong trường hợp khẩn cấp - khóa học để tìm hiểu làm thế nào để nhanh chóng giúp bản thân mình và những người khác trong tình huống khẩn cấp!,Chỉ cần một thiết bị mà bạn có thể truy cập vào khi cần thiết,Hơn 64 bài giảng và 1 giờ video hướng dẫn,Chưa có kinh nghiệm châm cứu hoặc bấm huyệt,,Giới thiệu,0:47,Video,
,,,Tự giúp bản thân và người khác trong những trường hợp khẩn cấp mà không có thuốc và sử dụng phương pháp truyền thống của Trung Hoa,,"Đến cuối khóa học, bạn sẽ có thể xử lý rất nhiều tình huống khẩn cấp bằng cách sử dụng ngón tay của chính mình: co thắt cơ, ngất, chảy máu cam, bị côn trùng cắn, tăng huyết áp, khó thở, nôn mửa và nhiều hơn nữa",Bất kỳ người nào muốn mở cửa hàng bấm huyệt Trung Quốc,Chương 2: Làm sao để học tốt nhất? ,,,,
,,,Dễ dàng để tìm được điểm bấm huyệt với các video đơn giản và chuyên nghiệp,,"Đến cuối khóa học này, bạn sẽ tìm hiểu các điểm huyệt làm giảm bệnh mà thường xuyên xảy ra trong khi đi du lịch: say tàu xe, cảm lạnh, đau đầu, đau lưng và nhiều hơn nữa",Bất cứ ai muốn tự mình xử lý tình huống khẩn cấp,,Thực hành thật nhiều ,5 trang,Document,
,,,"Những điểm để làm dịu cơ co thắt, ngất và chảy máu mũi là những điểm sẽ học trong khóa học",,"Vào cuối khóa học, bạn sẽ biết những điểm huyệt để làm giảm cơn đau nửa đầu nhanh chóng",,,Thường xuyên đặt câu hỏi (FAQ) ,6 trang,Document,
,,,"Khóa học này bao gồm các phương pháp sơ cứu cho các bệnh Tiểu đường, Hôn mê, Côn trùng cắn, Cao huyết áp.",,"Vào cuối khóa học, bạn sẽ có thể tránh và chữa dị ứng của bạn mà không cần thuốc",,Chương 3: Bấm huyệt cấp cứu,,,,
,,,"Bấm huyệt trong các trường hợp hô hấp, nôn mửa và kinh nguyệt không đều.",,"Đến cuối khóa học, bạn sẽ có thể điều trị bệnh hen suyễn bằng cách nhấn các điểm huyệt ngay trên cơ thể",,,Co cơ,0:34,Video,
,,,"Khóa học dạy về thời tiết thay đổi, ốm đau và sổ mũi",,"Đến cuối khóa học này, bạn sẽ có thể làm giảm lo lắng bằng cách bấm huyệt hàng ngày",,,Ngất xỉu,0:34,Video,
,,,"Học về nhức đầu, đau lưng và đau dạ dày",,"Đến cuối khóa học này, bạn sẽ biết được vị trí bấm huyệt bằng cách sử dụng ứng dụng điện thoại và máy tính bảng",,,Chảy máu cam,0:34,Video,
,,,"Học về ngộ độc, mệt mỏi và đau nửa đầu",,,,,Hôn mê tiểu đường,0:47,Video,
,,,"Học về dị ứng, hen suyễn và thoát khỏi lo ngại",,,,,Côn trùng cắn,0:53,Video,
,,,"Tóm lại, châm cứu cung cấp lợi ích tối đa mà không có tác dụng phụ nguy hiểm liên quan đến các phương pháp tiếp cận của thuốc thông thường.",,,,,Kinh nguyệt nhiều,0:56,Video,
,,,"-William Michael Cargile, BS, DC, FIACA, Chủ tịch nghiên cứu của Hiệp hội Châm cứu và Y học Phương Đông Mỹ",,,,,Tăng huyết áp,1:02,Video,
,,,Châm cứu hoàn toàn phù hợp cho các bạn với lợi ích thấy được ngay lập tức,,,,,Khó thở,0:43,Video,
,,,"Bạn không cần tốn thời gian đến bác sĩ, nhất là trong trường hợp khẩn cấp",,,,,Chứng nôn thốc,0:43,Video,
,,,Không cần lo lắng về việc bỏ ra một núi tiền,,,,,Đoán điểm bấm huyệt,3 câu hỏi,Document,
,,,"Không có nguy cơ bị thương, lây nhiễm hoặc chịu đau đớn",,,,Chương 4: Bấm huyệt khi đi du lịch ,,,,
,,,Bạn có khả năng tự các điểm một cách nhẹ nhàng,,,,,Khi thay đổi thời tiết,0:51,Video,
,,,Những điểm được dùng:,,,,,Đến mùa ốm,0:52,Video,
