Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
chuyen-sau-ve-after-effect-xay-dung-hoat-canh-phang,Chuyên sâu về After Effect: Xây dựng hoạt cảnh phẳng,Hướng dẫn nhanh giúp bạn tự tin thực hành các hiệu ứng chuyển động đồ họa trong After Efect để dựng các cảnh hoạt hình 2D,Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương 1: Giới thiệu khóa học.,,,,
,,,"After Effects là một chương trình tuyệt vời có thể giúp bạn xây dựng các đồ họa động, hiệu ứng hình ảnh, và các hiệu ứng khác khiến cho những video của bạn trở nên hoàn hảo và hấp dẫn hơn, mặc dù vậy việc bắt đầu có vẻ rất mông lung và đáng sợ. Trong khóa học 45 phút này, bạn sẽ tìm hiểu làm thế nào để trình bày các đối tượng một cách hài hòa đẹp mắt trong các projects của After Effect. Biết cách tạo chuyển động cho từng chi tiết nhỏ một cách tự nhiên qua đó nâng cao kĩ năng After Effects của mình. Hãy làm theo các hướng dẫn của tôi để có được sản phẩm của mình dễ như chụp một tấm ảnh polaroid vậy.","Học viên không cần có kinh nghiệm về efter Efect nhưng nên tham khảo trước 2 khóa học của After Efect chuyên sâu( Tìm hiểu Cơ bản, và Chuyển động với Keyframes.)",Hơn 9 bài giảng và 43 phút nội dung.,Bất kì ai muốn học cách tạo ra những video chuyển động đồ họa vui vẻ.,,Tổng quan về khóa học.,8:03,Video,
,,,"Lớp học này là điểm đến hoàn hảo cho những người sản xuất video, các nhà thiết kế và tất cả những ai muốn tìm hiểu After Effect theo một cách gần gũi, không đao to búa lớn. Nếu bạn là người mới bắt đầu, chúng tôi khuyến khích bạn tìm hiểu khóa học Afer Effect chuyên sâu: Kiến Thức Cơ Bản Và Cách Làm Việc Với Keyframes. Chúng tôi tin rằng khi hoàn thành khóa học, bạn sẽ gần như không tốn sức khi xây dựng các chuyển động đa dạng và phức tạp cho sản phẩm video của mình.",,Thiết kế kế một đối tượng trên Adobe Illustrator.,Bất kì ai không biết gì hay biết rất ít về After Efect.,Chương 2: Xây dựng các hoạt cảnh phẳng - Thiết kế và chuyển động.,,,,
,,,,,Chuẩn bị các bản thiết kế trên Adobe Illustrator cho hiệu ứng chuyển động trên After Effect.,Bất kì ai biết Adobe Illustrator và muốn có thêm các chuyển động trong các thiết kế của mình.,,Giới thiệu chương.,11:34,Video,
,,,,,Chuyển động với phong cách xây dựng phẳng.,,,Thiết kế Đối tượng của bạn trên Adobe Illustrator.,7:55,Video,
,,,,,Xuất ra sản phẩm hoàn thiện.,,,Chuẩn bị file tranh minh họa cho After Efects,1:26,Video,
,,,,,,,,Chuyển động trong After Efects,9:27,Video,
,,,,,,,,Làm thể nào đảo ngược nhanh một chuyển động trong After Effect,5:19,Video,
,,,,,,,,Tổng kết chương,,,
,,,,,,,Chương 3: Tổng kết khóa học,,,,
,,,,,,,,Xuất và đăng một lớp dự án,1:21,Video,
,,,,,,,,Lời cảm ơn,,,
