Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
pixel-art-danh-cho-tro-choi-dien-tu,Pixel Art dành cho trò chơi điện tử ,"Khóa học cần thiết để tạo ra những tác phẩm đồ họa pixel hoành tráng cho trò chơi điện tử hoặc thiết kế phong cách, minh họa.",Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1: giới thiệu,,,,
,,,Tưởng tượng trò chơi của bạn sẽ tuyệt thế nào khi ở dạng pixel! Dừng tưởng tượng ngay!,Hiểu biết cơ bản về photoshop là một lợi thế.,Hơn 73 bài giảng và 8 tiếng nội dung.,Lập trình viên muốn tạo ra hình ảnh cho trò chơi điện tử của họ.,,Video giới thiệu,1:43,Video,
,,,"Khóa học có bổ sung một phần mới về làm việc với Isometric Pixel. Khuyến cáo là bạn nên học hết 4 phần đầu của khóa học. Ngoài ra khóa học sẽ tăng giá bắt đầu từ tuần sau, vì vậy hãy nói với các bạn của bạn đi!",,Học kỹ năng căn bản để thiết kế mọi thứ ở dạng pixel.,Nghệ sĩ và nhà thiết kế yêu thích phong cách pixel.,,Vẽ pixel và hạn chế của nó,5:22,Video,
,,,"Trong khóa học này tôi sẽ dùng hơn 10 năm kinh nghiệm để dạy bạn tất cả những điều bạn cần biết về cách tạo ra tác phẩm pixel của riêng bạn. Bạn sẽ đi từ con số 0 đến mức cao nhất trong một khoảng thời gian ngắn và nó sẽ dạy bạn những điều cốt lõi cùng với khái niệm nâng cao, giúp bạn tạo ra sản phẩm pixel với một hình ảnh chuyên nghiệp",,Vẽ đường thẳng chắc chắn và đổ bóng tuyệt vời.,Họa sĩ trò chơi muốn mở rộng kỹ năng với nghệ thuật pixel.,Phần 2: Tạo pixel - nghệ thuật vẽ đường thẳng,,,,
,,,"Trong 6 tiếng thời lượng của khóa học, bạn sẽ có thể bước từng bước một khi tôi cho bạn thấy được những sáng tạo khá ngầu trong dạng pixel!",,Học cách tạo ra trò chơi điện tử ăn theo trò chơi của bạn.,,,Làm việc với photoshop,9:47,Video,
,,,BẠN SẼ HỌC ĐƯỢC:,,Tạo ra nhân vật và biến nó có sức sống trong vài phút.,,,Tinh chỉnh dụng cụ vẽ pixel,8:19,Video,
,,,Điều chỉnh photoshop để vẽ pixel,,Tạo các ô vuông dạng lưới bằng nhau từ trên xuống (theo phong cách game RPG).,,,Tạo đường thẳng,5:10,Video,
,,,"Vẽ đường thẳng và những hình không góc cạnh, như hình tròn",,Vẽ pixel Isometric như game RTS.,,,Tạo hình tròn,5:28,Video,
,,,Đổ bóng và họa tiết,,,,,Tạo hình pixel đường thẳng,5 câu hỏi,Quiz,
,,,Công dụng của viền,,,,,Vẽ sprite đầu tiên của bạn - thanh gươm,5:41,Video,
,,,"Và khi bạn đã nắm được những nội dung này, bạn sẽ biết cách để:",,,,,Luyện tập - vẽ lại hình một quyển sách,31.4 KB,Document,
,,,Tạo ra hình khối và thêm chi tiết cho hình ảnh dạng hình khối,,,,,Tổng kết phần 2.,0:51,Video,
,,,Tạo ra sprite khi sử dụng mảng,,,,Phần 3: Vẽ pixel - Đổ bóng,,,,
,,,Tạo các ô vuông dạng lưới bằng nhau từ trên xuống (theo phong cách game RPG),,,,,Đổ bóng trong đời thật,2:03,Video,
,,,BẠN CŨNG SẼ:,,,,,Đổ bóng hình cầu và hình hộp,8:14,Video,
,,,Tạo ra một NHÂN VẬT,,,,,Đổ bóng kim tự tháp và ống rỗng,5:14,Video,
,,,Và làm nó sống lên trong vài phút!,,,,,Tạo hình sprite 1 quả táo - Đánh bóng,8:40,Video,
,,,CẬP NHẬT:,,,,,Tạo hình sprite 1 quả táo - Viền,6:04,Video,
,,,Một phần mới được thêm vào sẽ dạy cho bạn cách tạo ô vuông địa hình trong game nhập vai cổ điển,,,,,Tạo hình sprite 1 quả táo - Chi tiết,3:25,Video,
,,,"Thêm vào đó, bạn sẽ có cơ hội tạo ra một dự án hoàn chỉnh và được thật sự thấy nhân vật của mình di chuyển, nhảy nhót xung quanh màn hình như là trong trò chơi điện tử.",,,,,Tạo hình sprite 1 quả táo - Ánh sáng hắt lên,4:17,Video,
,,,Hãy đăng ký khóa học này và kỹ năng vẽ pixel của bạn sẽ tiến bộ nhanh chóng.,,,,,Đổ bóng,5 câu hỏi,Quiz,
,,,,,,,,Xem lại sprite thanh gươm - vẽ thêm đổ bóng và viền,7:58,Video,
,,,,,,,,Bài tập - đánh bóng một cái chén,1 trang,Document,
,,,,,,,,Tổng kết phần 3,1:26,Video,
,,,,,,,Phần 4: Làm việc với ô vuông vẽ,,,,
,,,,,,,,Khái niệm cơ bản về ô vuông vẽ,9:56,Video,
,,,,,,,,Tạo ô vuông vẽ cơ bản,9:29,Video,
,,,,,,,,Tạo nền cơ bản và điều chỉnh màu sắc,6:38,Video,
,,,,,,,,Kết luận phần 4,0:27,Video,
,,,,,,,Phần 5: cải thiện môi trường,,,,
,,,,,,,,Thêm ô vuông vẽ để đa dạng hóa,10:47,Video,
,,,,,,,,Ô vuông vẽ trang trí,8:37,Video,
,,,,,,,,Vẽ một cây thông,8:31,Video,
,,,,,,,,Vẽ lại phông nền,10:08,Video,
,,,,,,,,Bài tập - Vẽ bức tường,1 trang,Document,
,,,,,,,,Tổng kết phần 5,0:51,Video,
,,,,,,,Phần 6: Tạo một nhân vật,,,,
,,,,,,,,Tạo đầu,10:15,Video,
,,,,,,,,Tạo thân hình,7:06,Video,
,,,,,,,,Chi tiết thân hình,5:22,Video,
,,,,,,,,Thêm viền,4:38,Video,
,,,,,,,,Tổng kết phần 6,0:36,Video,
,,,,,,,Phần 7: chuyển động của nhân vật,,,,
,,,,,,,,Công cụ và kỹ năng cơ bản,7:53,Video,
,,,,,,,,Tạo nền cho chuyển động nhân vật,7:53,Video,
,,,,,,,,Thổi sức sống vào nhân vật với chuyển động thứ 2,5:20,Video,
,,,,,,,,Chuyển động vòng tròn khi chạy,8:13,Video,
,,,,,,,,Hoàn thành cuộc chạy,4:16,Video,
,,,,,,,,Chuyển động tấn công,5:09,Video,
,,,,,,,,Luyện tập - Nhân vật,1 trang,Document,
,,,,,,,,Tổng kết phần 7,1:34,Video,
,,,,,,,Phần 8: Phần phụ - chuyển thành một thể thống nhất,,,,
,,,,,,,,Nhập sprites thành thống nhất,6:20,Video,
,,,,,,,,Tạo lại các chuyển động thành thống nhất,6:07,Video,
,,,,,,,,Làm cho nó tương tác với kịch bản tự do,5:02,Video,
,,,,,,,Phần 9: ô vuông vẽ trên xuống,,,,
,,,,,,,,Góc nhìn trên dưới là gì?,5:50,Video,
,,,,,,,,Các thể loại kỹ năng,7:42,Video,
,,,,,,,,Tạo ô vuông vẽ đường đi - xây dựng từng phần một,10:15,Video,
,,,,,,,,Tạo ô vuông vẽ đường đi - xây dựng một xu hướng sử dụng được,7:04,Video,
,,,,,,,,Tạo ô  vuông vẽ đường đi - thêm đổ bóng vào ô vẽ,10:02,Video,
,,,,,,,,Tạo ô vuông vẽ đường đi - Thử từng ô vuông vẽ,4:57,Video,
,,,,,,,,Dùng ô vuông vẽ để vá - Hiểu được xu hướng,8:21,Video,
,,,,,,,,Dùng ô vuông vẽ để vá - tạo nền cỏ,9:39,Video,
,,,,,,,,Dùng ô vuông vẽ để vá - cải thiện nền cỏ,11:36,Video,
,,,,,,,,Dùng ô vuông vẽ để vá - tạo nền đất,7:01,Video,
,,,,,,,,Dùng ô vuông vẽ để vá - tạo xu hướng vẽ,10:38,Video,
,,,,,,,,Ô vuông vẽ hình hộp - Vách núi,6:10,Video,
,,,,,,,,Ô vuông vẽ hình hộp - tạo sự chuyển đổi,8:23,Video,
,,,,,,,,Ô vuông vẽ hình hộp - đổ bóng,7:07,Video,
,,,,,,,,Ô vuông vẽ hình hộp - thử sử dụng xu hướng,7:39,Video,
,,,,,,,,Bài tập - Xu hướng của sông,1 trang,Video,
,,,,,,,Phần 10: Học viên chỉnh sửa,,,,
,,,,,,,,Alan Pauley - Đổ bóng cái chén,12:13,Video,
,,,,,,,,Jason Brennan - Cá và nến,14:26,Video,
,,,,,,,Phần 11: Isometric pixel,,,,
,,,,,,,,Hiểu được góc nhìn isometric,9:01,Video,
,,,,,,,,Tạo một khu vực isometric,7:16,Video,
,,,,,,,,Tạo dòng kẻ cho tòa nhà isometric,7:46,Video,
,,,,,,,,Tạo dòng kẻ và hoàn tất chi tiết đường thẳng,10:20,Video,
,,,,,,,,Vẽ dòng kẻ xây dựng cho phần còn lại của tòa nhà,12:42,Video,
,,,,,,,,Đổ bóng tòa tháp,10:53,Video,
,,,,,,,,Thêm bóng cho Barrac's ,10:13,Video,
,,,,,,,,Các hình thù khác trong góc nhìn isometric,9:45,Video,
,,,,,,,,Vẽ thêm chi tiết cho cảnh,9:01,Video,
,,,,,,,,Bài tập - vẽ Iso cottage,1 trang,Document,
