Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
nam-vung-ve-thiet-ke-web-trong-photoshop,Thiết kế Website tuyệt đẹp bằng Photoshop,"Thành thạo và làm chủ những nguyên tắc căn bản của Photoshop và Thiết kế web. Thiết kế những trang web, tùy chỉnh đồ họa và gây ấn tượng với khách hàng ngay từ cái nhìn đầu tiên. ",Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1: Cập nhật mới nhất,,,,
,,,"Thiết kế ra một trang web tuyệt đẹp bắt đầu từ những kiến thức thực tế về các công cụ và tính năng của Adobe Photoshop. Khóa học này, vừa dành cho người mới bắt đầu vừa dành cho các nhà thiết kế giàu kinh nghiệm, sẽ cho bạn biết cách làm thế nào sử dụng Photoshop để thiết kế trang web, tùy chỉnh đồ họa và hơn nữa, nó còn thu hút người dùng cuối và gây ấn tượng với khách hàng.",Bạn cần ít nhất biết Photoshop CS4 và có hiểu biết cơ bản về cách làm việc với Photoshop.,Hơn 73 bài giảng và 9 giờ nội dung!,Khóa học rất bổ ích dành cho những ai có niềm yêu thích với thiết kế web.,,Giới thiệu về phần này,2:12,Video,
,,,Chuẩn bị cho sự nghiệp thiết kế web của bạn bằng cách học Photoshop cơ bản và các vấn đề chi tiết của ngành công nghiệp thiết kế.,,Tạo ra được thiết kế website tuyệt đẹp với Photoshop.,Bất cứ ai muốn học một kỹ năng sống mới có thể áp dụng ngay lập tức và kiếm tiền.,,Styles chữ & đoạn,8:21,Video,
,,,Nắm vững các nguyên tắc thiết kế web & mẫu in.,,Nâng cao kiến thức và sự hiểu biết về nguyên tắc thiết kế web.,Cả người mới bắt đầu và người có kinh nghiệm đều được chào đón nhờ vào nội dung phong phú của khóa học.,,Giải thích về Smart Objects,3:05,Video,
,,,Học thiết kế tùy chỉnh đồ họa và các biểu tượng sao cho đẹp mắt.,,Dễ dàng làm việc với Photoshop cùng tất cả các công cụ chính.,,,Làm thế nào để sử dụng Smart Objects,3:51,Video,
,,,Nắm quyền truy cập vào các file psd và các mẫu cao cấp để lấy cảm hứng cho các dự án của riêng bạn.,,Tìm hiểu những kỹ thuật nhanh chóng mà hiệu quả để có được kết quả tuyệt vời ngay lập tức.,,,Làm thế nào để tạo ra một mockup thực tế với Smart Objects,2:09,Video,
,,,Làm thế nào để làm việc với khách hàng và duy trì sức cạnh tranh trong một ngành công nghiệp mũi nhọn.,,,,,Làm thế nào để sử dụng Adobe Generator,3:47,Video,
,,,Tạo trang web thu hút khách hàng và làm đẹp thêm Porfolio của bạn,,,,,Làm thế nào để sử dụng Layer Comps,5:47,Video,
,,,"Thiết kế web chuyên nghiệp đang được cầu rất lớn bởi các loại hình doanh nghiệp khác nhau, từ các tập đoàn lớn tới những cửa hàng nhỏ đang tìm kiếm những nhà thiết kế web để cải thiện hoạt động online của họ và xây dựng thương hiệu. Khóa học này sẽ dạy cho bạn những kỹ năng bạn cần để tạo ra các thiết kế website tuyệt đẹp bằng cách sử dụng Photoshop, nhờ đó bạn có thể biến mong muốn của khách hàng của bạn thành hiện thực. Bạn cũng sẽ tìm hiểu được là làm thế nào để nói chuyện với khách hàng, hiểu được các yêu cầu của họ và đáp ứng chúng.",,,,,Layer Comps với Smart Objects,1:51,Video,
,,,NỘI DUNG VÀ TỔNG QUAN,,,,Phần 2: Giới thiệu - Câu chuyện của tôi,,,,
,,,"Cho dù bạn là một người mới bắt đầu hay một nhà thiết kế web giàu kinh nghiệm, bạn sẽ thấy khóa học này mang lại lợi ích cho bạn với những bài học rõ ràng, chỉ dẫn ngắn gọn cùng các ví dụ thực tế và bài tập thực hành.",,,,,Giới thiệu - Câu chuyện của tôi,6:11,Video,
,,,"Photoshop & Thiết kế Web từ A đến Z: Trong một lộ trình từng bước của khóa học, bạn sẽ tìm hiểu được các nguyên tắc thiết kế web và các kỹ năng Photoshop cần thiết để tạo ra các trang web và đồ họa sống động, bắt đầu với các chủ đề cơ bản như so sánh các phiên bản khác nhau của Photoshop và lựa chọn một monitor (giao diện), trước khi học đến spacing (khoảng cách), typography (bố cục chữ), thiết kế logo, bố trí và hơn nữa.",,,,Phần 3: Kiến thức cơ bản,,,,
,,,Tình huống với khách hàng: Bạn sẽ hiểu biết sâu hơn về thế giới thiết kế web bằng cách nghiên cứu các tình huống có thực để biết điều nên và không nên làm khi làm việc với khách hàng.,,,,,Yêu cầu hệ thống & thiết lập tốt nhất,7:48,Video,
,,,Giả lập: Bạn sẽ được xem việc tạo ra hai trang web từ đầu đến cuối để hiểu biết tốt hơn về quá trình thiết kế.,,,,,Quản lý màu sắc,5:35,Video,
,,,"Mẫu miễn phí và nguồn: Bạn sẽ được truy cập vào một kho độc quyền các tập tin psd, hướng dẫn phím tắt, cùng với rất nhiều mẫu trang web mà bạn có thể sử dụng cho các dự án của riêng mình",,,,,Quản lý màu sắc - câu hỏi,3 câu hỏi,Quiz,
,,,TÍNH NĂNG CỦA KHÓA HỌC:,,,,, So sánh các phiên bản Photoshop,14:25,Video,
,,,- Âm thanh rõ ràng từ người nói tiếng Anh bản ngữ,,,,,Vi phạm bản quyền & ăn cắp,3:07,Video,
,,,- Ghi âm full HD: 1920x1080,,,,,"Màn hình: các loại bảng, độ phân giải, thương hiệu, kích thước tốt nhất",8:31,Video,
,,,- Photoshop CC 2014 (phiên bản mới nhất) được sử dụng trong suốt khóa học,,,,,Monitor - câu hỏi,1 câu hỏi,Quiz,
,,,- Các file psd đính kèm. Bạn hãy xem trước bài giảng 64. Tài liệu đang được bổ sung một cách thường xuyên.,,,,,"Thiết kế web chỉ cần Photoshop, không cần coding",3:05,Video,
,,,"- Chỉnh sửa chuyên nghiệp: nhấn mạnh liên tục vào các phần quan trọng, các phím tắt được thể hiện trong phụ đề, những kĩ thuật lặp lại dần được tua nhanh",,,,,Những gì bạn cần biết về Photoshop,5:49,Video,
,,,- Tất cả các bài giảng đều có dang file .psd đính kèm cùng một file .pdf với bất kỳ liên kết nào được thể hiện trong video.,,,,,Làm thế nào để kiếm tiền từ những kỹ năng bạn đang tìm hiểu,5:35,Video,
,,,"Sau khi hoàn thành khóa học này, bạn sẽ có hiểu biết tương đối tốt về các nguyên tắc thiết kế web và các nền tảng của Photoshop cần thiết để tạo ra các trang web và đồ họa xịn. Bạn cũng sẽ được làm quen với ngành công nghiệp thiết kế web và các chiến lược chuyên môn cần thiết để xây dựng một tập khách hàng.",,,,,Hệ thống lưới,5:06,Video,
,,,,,,,,Hệ thống lưới - câu hỏi,1 câu hỏi,Quiz,
,,,,,,,,Thiết lập không gian làm việc của bạn,2:55,Video,
,,,,,,,,Các chủ đề mà tôi sẽ không nói sâu,1:51,Video,
,,,,,,,Phần 4: Các nguyên tắc,,,,
,,,,,,,,Giao tiếp hiệu quả,6:31,Video,
,,,,,,,,Giao tiếp hiệu quả - câu hỏi,4 câu hỏi,Quiz,
,,,,,,,,Một trang web phải kể được một câu chuyện và tạo ra một bầu không khí,10:49,Video,
,,,,,,,,Đơn giản & cân đối hay cực kì chi tiết?,5:25,Video,
,,,,,,,,Làm thế nào để hiểu nhu cầu của khách hàng,9:04,Video,
,,,,,,,,Tất cả về nguồn cảm hứng,6:44,Video,
,,,,,,,,Bài tập: Cảm hứng,Văn bản,Text,
,,,,,,,,Thực hành: Làm thế nào để khơi dậy cảm hứng của tôi,8:46,Video,
,,,,,,,,Tiếp cận từng bước ,4:55,Video,
,,,,,,,,Thực hành: Sử dụng  tiếp cận từng bước để tạo ra một biểu tượng,19:43,Video,
,,,,,,,,Tất cả nội dung về wireframe,8:23,Video,
,,,,,,,,Tất cả nội dung về wireframe - câu hỏi,4 câu hỏi,Quiz,
,,,,,,,,"Vai trò của hình ảnh, hình ảnh có sẵn và hình ảnh miễn phí",9:12,Video,
,,,,,,,,Tùy chỉnh đồ họa,6:10,Video,
,,,,,,,,Thực hành: Tạo tùy chỉnh đồ họa,14:21,Video,
,,,,,,,,Các công cụ căn chỉnh,4:18,Video,
,,,,,,,,"Đối xứng, khoảng cách thích hợp và khoảng trắng",12:35,Video,
,,,,,,,,Làm việc với một bản tóm tắt,6:50,Video,
,,,,,,,,Làm việc trên một 'dự án nhỏ',4:56,Video,
