Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
phong-cach-thoi-trang-cho-nam-gioi,Phong cách thời trang cho nam giới,Tìm hiểu về tất cả các nguyên tắc bạn cần để ăn mặc một cách tự tin.,Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1: Giới Thiệu,,,,
,,,"Để giữ đầu óc luôn nhẹ nhàng, điều giản đơn nhất bạn cần có đó là khiếu thời trang.",Khát vọng muốn cải thiện bản thân,Hơn 52 bài giảng và 2.5 giờ nội dung!,Nam giới.,,Giới thiệu về Hệ thống phong cách,4:32,Video,
,,,"Và, tôi không đề cập đến những ""mẫu thời trang mới nhất"" hay những chiếc quần jeans của các nhãn hiệu đắt tiền mà các tạp chí thời trang vẫn hay gán mác là ""phải có"" (must have) - những thứ đó có thể quá mắc và sẽ không hợp với bạn. Điều mà tôi nói đến ở đây đó là cách tạo nên sự khác biệt nhờ vào khiếu thời trang mà không phải tốn sức hay bỏ nhiều tiền vào đó.",,Cảm thấy thật sự tự tin với cách ăn mặc mới của bạn,Những người phụ nữ muốn làm cho người đàn ông của mình đẹp hơn.,,Tầm quan trọng của sự phù hợp,1:59,Video,
,,,"Nói tôi nghe, có James Bond nào trong lịch sử lại không biết cách ăn mặc? Có điều gì ở những nam diễn viên đó mà phụ nữ (hay ngay cả đàn ông) đều phát cuồng?",,Biết được cách vận dụng tốt nhất với mỗi món đồ trong tủ quần áo của bạn.,,,Thương hiệu quan trọng đến mức nào?,2:28,Video,
,,,"Thực tế là, đây là một thế giời đầy tính cạnh tranh. Biết được cách ăn mặc sẽ giúp bạn nổi bật vào đúng thời điểm - bất kể khi ở môi trường làm việc chuyên nghiệp hay chỉ đơn giản là trong một cuộc hẹn.",,"Học cách ""xây"" tủ quần áo của bạn.",,,Checklist Tủ đồ,1:47,Video,
,,,"Trong khóa học này, chúng ta sẽ làm quen với các nguyên tắc - các đường cắt, các chất vải và một số điều quan trong giúp bạn có thể kiểm soát tủ đồ của bạn.",,Học cách sao chép mọi loại trang phục bạn nhìn thấy.,,,Phân công: In ra và theo dõi Checklist,3 trang,Document,
,,,Điểm mấu chốt ở đây là: Điều mà một fashionista sẽ không làm đó là tiêu tốn hàng tấn tiền vào quần áo để mặc đẹp.,,,,Phần 2: Giày,,,,
,,,"Sau 6 năm làm công việc tư vấn cho hàng nghìn nam giới, cũng như xuất hiện trên các kênh truyền hình ABC, VH1, NBC và Askmen.com, tôi xây dựng một hệ thống giúp bạn có thể ăn mặc đẹp như bạn muốn.",,,,,Giới thiệu về Giày,1:13,Video,
,,,"Tronng chương trình này, Tôi sẽ chỉ cho bạn:",,,,,Những đôi Giày đen,3:01,Video,
,,,Những lỗi sai cơ bản rất nhiều nam giới mắc phải về phong cách cá nhân của họ.,,,,,Những đôi Giày nâu,2:46,Video,
,,,"Một checklist tủ đồ bao gồm những bộ đồ chủ yếu như giầy, quần, áo, com- lê và khoác ngoài.",,,,,Những đôi Giày thường ngày,2:33,Video,
,,,Trình tự chọn lựa mỗi thứ bạn có và kết hợp chúng lại cho phù hợp - một trình tự mà bạn có thể tốn hàng nghìn đô la nếu nhờ một nhà tư vấn phong cách chuyên nghiệp hướng dẫn.,,,,,Thời trang giày thể thao,1:51,Video,
,,,"Hệ thống này có thể giúp bạn không cần phải tiêu tốn hàng đống tiền vào dịch vụ tư vấn phong cách, nhưng vẫn biến bạn thành phiên bản tuyệt vời nhất của chính mình. Bạn sẽ không còn phải hỏi những câu hỏi như ""Cái gì hợp với chiếc áo này?""",,,,,Giày mùa hè,2:32,Video,
,,,Một vài tâm sự của các học viên cũ của tôi:,,,,,Bảo quản Giày như thế nào?,5:07,Video,
,,,"Cảm on Aaron, bây giờ tôi cảm thấy tự tin lựa chọn phong cách cho mình. Nghe theo những điều tư vấn của Aaron giúp tôi trông bảnh bao hơn, đây là một những quyết định sáng suốt nhất của tôi.",,,,Phần 3: Phần Dưới,,,,
,,,Thực sự rất thú vị khi bước xuống phố và thấy các bạn gái xinh đẹp để ý đến bạn...Bạn sẽ không phải thất vọng đâu.,,,,,Quần Jeans - phần 1,7:49,Video,
,,,"Hôm nay đã có một bạn gái lạ mặt tiến tới gần tôi ở bến xe bus và nói, ""Anh mặc đẹp đấy."" Đó là lần đầu tiên có người nói thế với tôi .",,,,,Quần Jeans - phần 2,1:43,Video,
,,,Tôi đã kết hợp lời khuyên về phong cách từ Aaron và những mẹo chải chuốt vào đời sống hàng ngày của mình.....thành quả thật là quá tuyệt! Anh ấy đúng là một chuyên gia. Cảm ơn Aaron.,,,,,Quần dài,1:44,Video,
,,,Một lần nữa cảm ơn về những lời tư vấn chuyên môn của bạn... Có lẽ tôi trông hoàn toàn thảm hại và ngớ ngẩn nếu không dành thời gian lắng nghe những tư vấn từ bạn.,,,,,Quần Kaki Cotton thường ngày,3:19,Video,
,,,Bây giờ chính là lúc bạn tìm hiểu về những ảnh hưởng hiệu quả đến cuộc sống cá nhân và công việc của bạn chỉ bằng một chút thay đổi trong tủ đồ.,,,,,Quần lửng màu xám,1:55,Video,
,,,Mong rằng sẽ được gặp bạn trong khóa học này.,,,,,Quần âu công sở,2:38,Video,
,,,"Hẹn gặp lại,",,,,,Quần short,3:31,Video,
,,,Tudemy,,,,,Đồ bơi,3:26,Video,
,,,"Tái bút: Tôi biết đây là một khóa học mới, và mức giá hiện tại là mức giá ban đầu được đưa ra để thu hút học viên và nhận được phản hồi tích cực. Đăng ký ngay để có được mức giá ưu đãi này và bắt đầu xây dựng phong cách thời trang cho riêng mình ngay bây giờ.",,,,Phần 4: Phần Trên,,,,
,,,Tái tái bút: Bởi tôi là một anh chàng tốt bụng nên tôi đã bổ sung thêm các tài liệu tặng kèm trong một số phần để giúp bạn trông cao hơn và thon thả hơn. Chúng ta sẽ bắt đầu ngay chứ?,,,,,Áo sơ mi công sở,7:08,Video,
,,,,,,,,Áo sơ mi công sở thiết yếu,2:57,Video,
,,,,,,,,Áo sơ mi thường ngày,2:12,Video,
,,,,,,,,Áo sơ mi có cúc thông thường,2:34,Video,
,,,,,,,,Áo phông cổ V,3:30,Video,
,,,,,,,,Áo phông dài tay,1:24,Video,
,,,,,,,,Áo len cổ V,2:34,Video,
,,,,,,,Phần 5: Com-lê và Khoác ngoài,,,,
,,,,,,,,Com-lê,4:21,Video,
,,,,,,,,Áo khoác ngoài,0:33,Video,
,,,,,,,,Áo khoác thể thao,4:18,Video,
,,,,,,,,Áo khoác da,1:27,Video,
,,,,,,,,Áo dạ Xám,1:45,Video,
,,,,,,,,Áo khoác nhẹ thường ngày,1:21,Video,
,,,,,,,Phần 6: Phụ Kiện,,,,
,,,,,,,,Giới thiệu về các phụ kiện,1:21,Video,
,,,,,,,,Thắt lưng,3:44,Video,
,,,,,,,,Đồng hồ đeo tay,1:10,Video,
,,,,,,,,Khuy măng sét,1:12,Video,
,,,,,,,,Ví,1:15,Video,
,,,,,,,,Cà vạt,1:18,Video,
,,,,,,,,White Pocket Square,2:35,Video,
,,,,,,,,Kính râm,1:29,Video,
,,,,,,,,Tất,1:44,Video,
,,,,,,,,Đồ lót đen,2:19,Video,
,,,,,,,,Nước hoa,2:15,Video,
,,,,,,,Phần 7: Kết hợp,,,,
,,,,,,,,Chúc mừng,2:03,Video,
,,,,,,,,Gallery quần jean,0:49,Video,
,,,,,,,,Gallery quần dài,0:49,Video,
,,,,,,,,Gallery Complê,0:30,Video,
,,,,,,,,Gallery quần ngắn,1:05,Video,
,,,,,,,,Phong cách đặc trưng,0:12,Video,
,,,,,,,Phần 8: Tài liệu tham khảo,,,,
,,,,,,,,Mặc để cao hơn,9:19,Video,
,,,,,,,,Mặc để mảnh mai hơn,11:51,Video,
