Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
nguyen-tac-co-ban-ve-thiet-ke-ux,Nguyên tắc cơ bản về thiết kế UX,Thiết kế trang web và ứng dụng di động mà người dùng yêu thích và dùng đi dùng lại cùng với chuyên gia UX Joe Natoli,Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1: Thiết kế trải nghiệm người dùng là gì?,,,,
,,,"Tỷ lệ chuyển đổi trên trang web của bạn thấp? Bạn có biết liệu trang web của bạn có hiệu quả trong đáp ứng mục tiêu của bạn? Liệu người sử dụng có bị ""mắc kẹt"" và không thể làm điều mà họ muốn? Đơn từ của bạn có hiệu quả? Cách nào để ứng dụng điện thoại di động của bạn có thể được cải thiện?",Máy tính với kết nối internet và trình duyệt web,Hơn 58 bài giảng và 11 giờ nội dung,Nhà thiết kế web,,Giới thiệu: Khái niệm về thiết kế UX,4:24,Video,
,,,"Thiết kế trang web và ứng dụng di động đang càng ngày trở nên dễ dàng hơn -- nhưng lại khó khăn hơn để đo lường sự hiệu quả của các ứng dụng này. Trong khóa học được thiết kế cẩn thận của Joe Natoli về cơ sở thiết kế UX bạn sẽ học được cách làm thế nào để tạo ra các trang web hiệu quả, các trang web điện thoại di động và các ứng dụng di động khuyến khích sự chuyển đổi và làm người dùng muốn nhiều hơn nữa.",,Hiểu cách thiết kế trải nghiệm người dùng và lý do tại sao nó quan trọng,Nhà thiết kế di động,,Những gì không phải là thiết kế UX,18:06,Video,
,,,"Chỉ có trang web thôi là chưa đủ - nó phải có sức sống và nó phải hiệu quả để thành công. Trong khóa học vô cùng linh hoạt này Joe sẽ hướng dẫn bạn qua các yếu tố quan trọng đối với UX - chiến lược , phạm vi , cơ cấu , cốt lõi và bề mặt .Khi học bạn sẽ có thể áp dụng những kiến thức Joe dạy trong các bài tập ở phòng thí nghiệm -- và sau đó áp dụng vào việc riêng của bạn như phát triển hoặc thiết kế.",,Hiểu được các yếu tố của trải nghiệm người dùng,Nhà phát triển web,,UX là gì?,17:03,Video,
,,,"Nếu bạn là một nhà thiết kế muốn hiểu sâu hơn về thế giới kỹ thuật số phức tạp hoặc là một nhà phát triển đôi khi hoạt động như một nhà thiết kế , khóa học này rất phù hợp với bạn. Bạn sẽ cảm thấy tự tin hơn khi bạn thực hiện các hành động liên quan đến thiết kế như bố cục, màu sắc, thông tin và kiểu chữ sau khi hoàn thành khóa học thú vị này.",,Hiểu được các yếu tố của trải nghiệm người dùng hoạt động với nhau thế nào,Kỹ sư,,Tại sao ta cần quan tâm tới Thiết kế UX,16:50,Video,
,,,,,Hiểu được chiến lược là một yếu tố trong trải nghiệm người dùng,Doanh nghiệp,Phần 2: Hiểu được các yếu tố của trải nghiệm người dùng,,,,
,,,,,Hiểu được quá trình nghiên cứu,Nhà kinh doanh,,Các yếu tố của UX,10:06,Video,
,,,,,Xác định mục tiêu kinh doanh và nhu cầu người dùng,Học sinh,,Khám phá các yếu tố của UX,16:02,Video,
,,,,,Hiểu được cơ hội là một yếu tố của trải nghiệm người dùng,Bất kỳ ai muốn tạo ra trang web và web di động hiệu quả,,Cách các yếu tố làm việc với nhau.,11:07,Video,
,,,,,Tính thông số kỹ thuật hoạt động được,,Phần 3: Sử dụng các yếu tố - Chiến lược,,,,
,,,,,Học cách phát triển yêu cầu nội dung,,,Sử dụng các yếu tố: Chiến lược,1:47,Video,
,,,,,Học cách ưu tiên thông số kỹ thuật và yêu cầu,,,Quá trình nghiên cứu,9:29,Video,
,,,,,Hiểu được kết cấu là một yếu tố của trải nghiệm người dùngThiết kế thông tin hiệu quả,,,Xác định mục tiêu kinh doanh,5:05,Video,
,,,,,Hiểu được cách sắp đặt các yếu tố chính cho phương tiện truyền thông số,,,Xác định nhu cầu người dùng giao dịch giữa các cơ sở kinh doanh,5:42,Video,
,,,,,Hiểu được khung xương cốt lõi là một yếu tố của trải nghiệm người dùng,,,Xác định nhu cầu người dùng giao dịch giữa cơ sở kinh doanh và khách hàng,7:34,Video,
,,,,,Hiểu được cách thiết kế tương tác trên trang web,,,Ba câu hỏi quan trọng,8:03,Video,
,,,,,Tạo ra một thiết kế thông tin hiệu quả.,,,"Những câu hỏi ""dùng lần đầu""",3:26,Video,
,,,,,Học cách thiết kế wireframes.,,,Khái niệm cơ bản về chiến lược ,3:15,Video,
,,,,,Hiểu được bề mặt là một yếu tố của trải nghiệm người dùng,,,Chiến lược bài tập thực hành.,6:04,Video,
,,,,,Học cách thiết kế các nét chính của đồ họa,,Phần 4: Sử dụng các yếu tố - Phạm vi,,,,
,,,,,Hiểu độ tương phản và đồng nhất,,,Sử dụng các yếu tố: Phạm vi,3:49,Video,
,,,,,Học cách sử dụng màu sắc và phông chữ một cách tốt nhất.,,,Định nghĩa phạm vi,40:57,Video,
,,,,,Hiểu quy trình thử A/B,,,Thông số kỹ thuật hoạt động,24:44,Video,
,,,,,Biết được các tài nguyên nào mình có để sử dụng trong quá trình thiết kế trải nghiệm,,,Yêu cầu nội dung,31:39,Video,
,,,,,,,,Tạo yêu cầu hiệu quả,27:55,Video,
,,,,,,,,Ưu tiên thông số kỹ thuật & Yêu cầu,7:07,Video,
,,,,,,,,Khái niệm cơ bản phạm vi ,3:22,Video,
,,,,,,,,Bài tập phạm vi thực hành.,4:34,Video,
,,,,,,,Phần 5: Sử dụng các yếu tố - Cấu trúc,,,,
,,,,,,,,Sử dụng các yếu tố: Cơ cấu,2:06,Video,
,,,,,,,,Xác định cấu trúc,9:42,Video,
,,,,,,,,Thiết kế tương tác,35:16,Video,
,,,,,,,,Kiến trúc thông tin,9:56,Video,
,,,,,,,,Nguyên tắc tổ chức.,4:59,Video,
,,,,,,,,Vai trò và quy trình,6:24,Video,
,,,,,,,,Khái niệm cơ bản cấu trúc,1:49,Video,
,,,,,,,,Bài tập cấu trúc phòng thí nghiệm,1:59,Video,
,,,,,,,Phần 6: Sử dụng các yếu tố - khung xương cốt lõi,,,,
,,,,,,,,Sử dụng các yếu tố: khung xương cốt lõi,3:42,Video,
,,,,,,,,Xác định khung xương cốt lõi,10:59,Video,
,,,,,,,,Thiết kế giao diện,21:39,Video,
,,,,,,,,Thiết kế tương tác người dùng,20:16,Video,
,,,,,,,,Quy luật thông thường và phép ẩn dụ,14:51,Video,
,,,,,,,,Thiết kế thông tin,32:03,Video,
,,,,,,,,Wireframes,27:53,Video,
